Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Тобольская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639					
1	"Число избирателей, внесенных в список"	15649	1399	469	605	278	625	410	690	450	292	216	457	368	228	162	423	186	78	182	1031	210	74	93	517	221	764	239	596	69	294	62	606	168	178	239	567	236	264	685	297	162	559					
2	Число полученных избирательных бюллетеней	15960	1370	470	620	278	590	400	685	445	285	213	475	360	245	175	415	180	85	185	1200	215	80	92	500	205	800	301	605	65	287	62	598	189	169	220	577	240	270	736	330	178	565					
3	"Число избирательных бюллетеней, выданных  досрочно"	1555	0	30	0	266	0	0	0	0	0	38	40	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	30	0	0	75	0	297	161	540					
4	"Число избирательных бюллетеней, выданных в день голосования"	10862	998	390	425	0	498	341	491	383	231	153	328	307	161	143	362	157	54	163	972	152	60	83	353	77	559	214	430	61	186	53	492	147	149	165	271	168	158	527	0	0	0					
5	"Число избирательных бюллетеней, выданных вне помещения"	1901	168	18	150	0	92	42	75	33	24	19	68	27	43	15	39	15	8	5	59	38	9	6	69	128	127	25	76	4	32	5	76	3	20	25	240	39	28	51	0	0	0					
6	Число погашенных избирательных бюллетеней	1642	204	32	45	12	0	17	119	29	30	3	39	26	41	17	14	8	8	17	169	25	11	3	78	0	114	62	99	0	6	4	30	39	0	0	66	33	9	158	33	17	25					
7	Число избирательных бюллетеней в переносных ящиках	3456	168	48	150	266	92	42	75	33	24	57	108	27	43	15	39	15	23	5	59	38	9	6	69	128	127	25	76	4	95	5	76	3	20	55	240	39	103	51	297	161	540					
8	Число бюллетеней в стационарных ящиках для голосования	10861	997	390	425	0	498	341	491	383	231	153	328	307	161	143	362	157	54	163	972	152	60	83	353	77	559	214	430	61	186	53	492	147	149	165	271	168	158	527	0	0	0					
9	Число недействительных избирательных бюллетеней	103	11	1	6	1	3	2	7	0	0	0	2	1	2	2	3	3	0	2	11	0	1	0	0	0	9	2	4	0	0	2	4	3	3	1	5	1	0	6	2	0	3					
10	Число действительных избирательных бюллетеней	14214	1154	437	569	265	587	381	559	416	255	210	434	333	202	156	398	169	77	166	1020	190	68	89	422	205	677	237	502	65	281	56	564	147	166	219	506	206	261	572	295	161	537					
11	Число полученных открепительных  удостоверений	415	29	10	16	5	7	12	6	5	10	5	21	15	15	14	12	5	5	5	15	5	8	3	9	1	22	2	15	1	3	1	13	5	5	5	10	5	6	20	35	16	13					
12	Число выданных открепительных удостоверений	393	29	8	16	0	7	12	6	4	10	5	21	15	15	13	12	5	5	4	15	5	8	3	8	1	22	0	15	0	2	0	13	5	4	1	10	5	5	20	35	16	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	190	5	0	0	0	4	15	4	5	3	2	5	4	2	4	7	2	1	0	6	5	1	1	4	4	5	7	17	2	4	1	9	3	3	10	25	6	1	11	0	1	1					
14	Число неиспользованных открепительных удостоверений	22	0	2	0	5	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	2	0	1	1	1	0	0	1	4	0	0	1	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
