Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Дубенская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184					
1	"Число избирателей, внесенных в список"	12148	940	391	84	967	947	723	469	574	246	121	276	522	487	285	79	480	491	389	742	855	436	210	553	413	468					
2	Число полученных избирательных бюллетеней	12346	958	397	85	996	961	760	480	580	258	121	281	530	501	303	80	477	495	390	752	850	421	209	555	415	491					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9717	803	337	68	760	790	504	363	442	194	105	247	391	353	199	61	385	396	315	602	701	375	161	437	327	401					
5	"Число избирательных бюллетеней, выданных вне помещения"	2378	133	52	16	204	144	216	106	132	52	16	29	129	134	86	18	92	95	74	139	148	46	48	116	86	67					
6	Число погашенных избирательных бюллетеней	251	22	8	1	32	27	40	11	6	12	0	5	10	14	18	1	0	4	1	11	1	0	0	2	2	23					
7	Число избирательных бюллетеней в переносных ящиках	2378	133	52	16	204	144	216	106	132	52	16	29	129	134	86	18	92	95	74	139	148	46	48	116	86	67					
8	Число бюллетеней в стационарных ящиках для голосования	9716	803	337	68	760	790	504	363	442	194	105	247	391	353	199	61	385	396	315	602	700	375	161	437	327	401					
9	Число недействительных избирательных бюллетеней	4	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	12090	936	389	84	964	931	720	468	574	246	121	276	520	487	285	79	477	491	389	741	848	421	209	553	413	468					
11	Число полученных открепительных  удостоверений	298	23	13	2	22	41	33	15	15	3	1	5	10	5	4	3	2	10	10	10	10	3	5	18	10	25					
12	Число выданных открепительных удостоверений	254	22	11	1	19	41	33	11	15	0	1	2	10	3	4	0	0	3	8	10	4	0	3	18	10	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	64	6	0	0	5	6	2	8	3	4	0	1	0	0	0	1	5	6	2	1	2	3	0	3	3	3					
14	Число неиспользованных открепительных удостоверений	44	1	2	1	3	0	0	4	0	3	0	3	0	2	0	3	2	7	2	0	6	3	2	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	11	1	0	0	2	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0					
		0.09%	0.11%	0.00%	0.00%	0.21%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%					
