Выборы Президента Российской Федерации																																																																																
Дата голосования: 02.03.2008																																																																																
																																																																																
"Наименование Избирательной комиссии:    Новосибирск, Дзержинская"																																																																																
																																																																																
Сводная таблица результатов выборов																																																																																
																																																																																
	Число участковых избирательных комиссий	73																																																																														
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	73																																																																														
																																																																																
		Сумма	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520					
11	Число полученных открепительных  удостоверений	3042	20	75	70	60	60	60	55	40	0	40	25	25	25	22	50	53	38	50	50	23	37	40	30	20	60	50	50	30	25	10	30	40	40	40	30	20	30	40	30	0	0	48	52	47	50	48	55	67	65	75	35	30	60	45	50	35	50	50	30	30	0	35	50	50	35	45	40	67	55	75	60	50	65					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2697	19	75	68	60	60	60	48	37	0	40	25	24	20	22	43	49	35	44	49	18	28	31	25	13	42	39	42	30	23	9	24	32	33	36	27	14	27	32	29	0	0	41	46	41	42	43	47	62	65	71	34	28	54	45	41	35	47	41	29	30	0	32	41	40	28	39	30	58	43	67	47	40	58					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	3346	23	237	146	40	49	72	26	16	677	49	59	23	19	35	55	30	23	57	29	25	24	46	22	20	27	28	27	20	30	25	22	14	27	28	20	19	28	22	31	167	178	42	29	31	30	31	35	29	19	31	16	24	33	20	30	16	38	17	10	20	25	18	25	17	28	25	23	44	24	25	27	33	16					
14	Число неиспользованных открепительных удостоверений	345	1	0	2	0	0	0	7	3	0	0	0	1	5	0	7	4	3	6	1	5	9	9	5	7	18	11	8	0	2	1	6	8	7	4	3	6	3	8	1	0	0	7	6	6	8	5	8	5	0	4	1	2	6	0	9	0	3	9	1	0	0	3	9	10	7	6	10	9	12	8	13	10	7					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	912	7	11	16	12	15	15	9	12	0	34	44	9	24	9	11	21	19	8	13	10	7	13	8	8	21	14	5	27	7	3	16	6	12	16	6	13	7	21	6	0	0	36	16	12	15	14	13	14	22	17	13	9	9	11	14	7	11	6	9	9	0	11	14	9	9	13	8	6	6	12	19	24	9					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																
