Выборы Президента Российской Федерации																																																
																																																
"Наименование Избирательной комиссии:    Орск, Советская"																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК  1253	УИК  1254	УИК  1255	УИК  1256	УИК  1257	УИК  1258	УИК  1259	УИК  1260	УИК  1261	УИК  1262	УИК  1263	УИК  1264	УИК  1265	УИК  1266	УИК  1267	УИК  1268	УИК  1269	УИК  1270	УИК  1271	УИК  1272	УИК  1273	УИК  1274	УИК  1275	УИК  1276	УИК  1277	УИК  1278	УИК  1279	УИК  1280	УИК  1281	УИК  1282	УИК  1283	УИК  1284	УИК  1285	УИК  1286	УИК  1287	УИК  1288	УИК  1289	УИК  1290	УИК  1291	УИК  1292	УИК  1293					
1	"Число избирателей, внесенных в список"	57933	234	250	491	920	1124	946	1021	1269	1718	872	1438	606	1086	2249	2318	2464	2729	2424	1711	890	1542	983	2255	1434	1737	2272	1782	2501	2095	958	1349	2045	899	1669	208	1967	1551	1576	897	451	1002					
2	Число полученных избирательных бюллетеней	56759	220	230	603	850	1080	900	1150	1200	1660	850	1400	580	1030	2230	2330	2480	2730	2360	1660	850	1490	940	2170	1400	1710	2200	1740	2430	2040	900	1340	2020	880	1680	216	1880	1460	1530	900	430	1010					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	27786	179	210	491	436	478	362	480	530	734	346	641	303	568	1046	1156	1226	1286	1223	813	282	693	450	1177	595	867	1222	699	1275	935	438	586	1075	344	868	208	957	757	599	602	156	493					
5	"Число избирательных бюллетеней, выданных вне помещения"	1838	9	15	0	30	61	72	44	27	92	34	47	12	21	46	66	18	59	22	22	100	30	49	65	66	51	30	74	17	34	45	72	54	117	4	0	38	60	80	25	26	104					
6	Число погашенных избирательных бюллетеней	27135	32	5	112	384	541	466	626	643	834	470	712	265	441	1138	1108	1236	1385	1115	825	468	767	441	928	739	792	948	967	1138	1071	417	682	891	419	808	8	885	643	851	273	248	413					
7	Число избирательных бюллетеней в переносных ящиках	1838	9	15	0	30	61	72	44	27	92	34	47	12	21	46	66	18	59	22	22	100	30	49	65	66	51	30	74	17	34	45	72	54	117	4	0	38	60	80	25	26	104					
8	Число бюллетеней в стационарных ящиках для голосования	27768	179	210	491	436	478	362	480	530	734	346	641	303	568	1046	1156	1208	1286	1223	813	282	693	450	1177	595	867	1222	699	1275	935	438	586	1075	344	868	208	957	757	599	602	156	493					
9	Число недействительных избирательных бюллетеней	296	1	2	0	5	3	0	4	6	9	5	14	5	5	11	7	16	24	6	6	7	2	6	5	10	12	9	11	15	5	9	6	7	6	20	0	10	4	9	8	1	5					
10	Число действительных избирательных бюллетеней	29310	187	223	491	461	536	434	520	551	817	375	674	310	584	1081	1215	1210	1321	1239	829	375	721	493	1237	651	906	1243	762	1277	964	474	652	1122	455	852	208	985	813	670	619	181	592					
11	Число полученных открепительных  удостоверений	820	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20					
12	Число выданных открепительных удостоверений	201	0	1	0	0	3	0	3	1	2	0	2	5	5	16	6	9	17	10	9	5	4	2	2	8	8	9	6	11	13	0	5	7	1	2	0	13	2	4	3	1	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	116	0	1	0	7	4	1	2	6	7	2	4	0	0	4	3	1	6	2	2	5	4	3	7	5	0	8	3	4	6	1	2	2	0	0	0	3	2	3	4	0	2					
14	Число неиспользованных открепительных удостоверений	619	20	19	20	20	17	20	17	19	18	20	18	15	15	4	14	11	3	10	11	15	16	18	18	12	12	11	14	9	7	20	15	13	19	18	20	7	18	16	17	19	14					
