Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Савеловский район																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №3061	УИК №3062					
1	"Число избирателей, внесенных в список"	38243	2770	2112	2364	2876	2377	2527	2695	2644	2684	2829	2571	2322	2247	2676	2207	156	186					
2	Число полученных избирательных бюллетеней	38440	2800	2200	2300	2900	2300	2500	2700	2600	2800	2800	2700	2300	2200	2700	2200	160	280					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21147	1480	1262	1214	1695	1218	1365	1417	1214	1392	1439	1741	1280	1324	1487	1300	156	163					
5	"Число избирательных бюллетеней, выданных вне помещения"	702	50	28	41	36	22	61	39	75	49	66	66	41	37	49	42	0	0					
6	Число погашенных избирательных бюллетеней	16591	1270	910	1045	1169	1060	1074	1244	1311	1359	1295	893	979	839	1164	858	4	117					
7	Число избирательных бюллетеней в переносных ящиках	702	50	28	41	36	22	61	39	75	49	66	66	41	37	49	42	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	21000	1473	1262	1214	1693	1216	1286	1411	1211	1387	1433	1741	1280	1287	1487	1300	156	163					
9	Число недействительных избирательных бюллетеней	194	9	11	12	6	17	15	14	7	10	15	5	5	56	6	6	0	0					
10	Число действительных избирательных бюллетеней	21508	1514	1279	1243	1723	1221	1332	1436	1279	1426	1484	1802	1316	1268	1530	1336	156	163					
11	Число полученных открепительных  удостоверений	900	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	0	0					
12	Число выданных открепительных удостоверений	590	50	41	30	48	39	31	40	45	39	36	54	26	39	35	37	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	498	28	21	57	45	22	11	35	37	13	28	29	19	23	24	47	36	23					
14	Число неиспользованных открепительных удостоверений	310	10	19	30	12	21	29	20	15	21	24	6	34	21	25	23	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	15	0	0	1	1	1	0	2	0	3	2	0	2	1	0	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	1441	100	109	86	94	79	103	83	79	128	110	97	80	83	121	77	3	9					
		6.64%	6.57%	8.45%	6.85%	5.44%	6.38%	7.65%	5.72%	6.14%	8.91%	7.34%	5.37%	6.06%	6.27%	7.88%	5.74%	1.92%	5.52%					
19	. Малышкин Олег Александрович	252	17	10	21	25	16	19	22	14	19	11	21	16	17	11	10	2	1					
		1.16%	1.12%	0.78%	1.67%	1.45%	1.29%	1.41%	1.52%	1.09%	1.32%	0.73%	1.16%	1.21%	1.28%	0.72%	0.75%	1.28%	0.61%					
20	. Миронов Сергей Михайлович	118	6	8	10	13	4	8	6	8	9	7	9	5	8	8	9	0	0					
		0.54%	0.39%	0.62%	0.80%	0.75%	0.32%	0.59%	0.41%	0.62%	0.63%	0.47%	0.50%	0.38%	0.60%	0.52%	0.67%	0.00%	0.00%					
21	. Путин Владимир Владимирович	14412	967	739	813	1186	820	943	983	869	909	990	1323	890	849	1000	906	115	110					
		66.41%	63.49%	57.29%	64.78%	68.59%	66.24%	70.01%	67.79%	67.57%	63.30%	66.04%	73.22%	67.37%	64.12%	65.10%	67.51%	73.72%	67.48%					
22	. Хакамада Ирина Муцуовна	2079	173	163	127	185	134	90	135	114	165	129	110	105	126	155	148	13	7					
		9.58%	11.36%	12.64%	10.12%	10.70%	10.82%	6.68%	9.31%	8.86%	11.49%	8.61%	6.09%	7.95%	9.52%	10.09%	11.03%	8.33%	4.29%					
23	. Харитонов Николай Михайлович	1773	127	156	98	103	85	93	118	111	105	150	131	127	105	131	109	5	19					
		8.17%	8.34%	12.09%	7.81%	5.96%	6.87%	6.90%	8.14%	8.63%	7.31%	10.01%	7.25%	9.61%	7.93%	8.53%	8.12%	3.21%	11.66%					
																								
24	Против всех	1433	124	94	88	117	83	76	89	84	91	87	111	93	80	104	77	18	17					
		6.60%	8.14%	7.29%	7.01%	6.77%	6.70%	5.64%	6.14%	6.53%	6.34%	5.80%	6.14%	7.04%	6.04%	6.77%	5.74%	11.54%	10.43%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
