Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Верховажская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198					
1	"Число избирателей, внесенных в список"	11747	1558	1196	1124	443	534	198	112	326	172	239	416	398	285	144	322	101	154	665	279	128	131	305	323	878	132	479	282	423					
2	Число полученных избирательных бюллетеней	11690	1500	1100	1090	435	526	215	116	333	170	230	435	395	290	160	330	125	170	665	285	135	135	305	325	885	135	485	290	425					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6665	752	629	527	228	347	180	77	191	116	175	212	264	192	81	163	77	56	386	163	86	76	194	159	538	70	320	180	226					
5	"Число избирательных бюллетеней, выданных вне помещения"	2514	214	158	144	79	129	18	27	110	39	29	161	101	49	53	99	20	90	163	80	33	39	44	126	154	52	77	55	171					
6	Число погашенных избирательных бюллетеней	2511	534	313	419	128	50	17	12	32	15	26	62	30	49	26	68	28	24	116	42	16	20	67	40	193	13	88	55	28					
7	Число избирательных бюллетеней в переносных ящиках	2514	214	158	144	79	129	18	27	110	39	29	161	101	49	53	99	20	90	163	80	33	39	44	126	154	52	77	55	171					
8	Число бюллетеней в стационарных ящиках для голосования	6661	751	629	524	228	347	180	77	191	116	175	212	264	192	81	163	77	56	386	163	86	76	194	159	538	70	320	180	226					
9	Число недействительных избирательных бюллетеней	56	4	14	0	0	1	1	0	3	2	2	0	3	2	1	1	0	0	3	1	0	1	1	2	4	3	2	3	2					
10	Число действительных избирательных бюллетеней	9119	961	773	668	307	475	197	104	298	153	202	373	362	239	133	261	97	146	546	242	119	114	237	283	688	119	395	232	395					
11	Число полученных открепительных  удостоверений	288	26	10	9	2	6	6	5	1	5	6	19	18	8	12	16	16	6	20	10	6	6	10	6	18	6	9	11	15					
12	Число выданных открепительных удостоверений	277	25	10	8	1	6	6	4	1	5	6	19	18	8	12	16	16	6	20	10	5	6	9	6	16	3	9	11	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	111	22	12	6	7	4	0	1	1	0	2	3	9	5	0	6	0	1	5	4	2	0	2	6	5	2	1	1	4					
14	Число неиспользованных открепительных удостоверений	11	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	3	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	120	16	15	14	2	1	1	0	4	1	3	8	2	5	2	6	2	4	6	3	2	0	1	2	14	1	0	3	2					
