Выборы Президента Российской Федерации																																																												
																																																												
"Наименование Избирательной комиссии:    Новороссийск, Центральная"																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК №3701	УИК №3702	УИК №3703	УИК №3704	УИК №3705	УИК №3706	УИК №3707	УИК №3708	УИК №3709	УИК №3710	УИК №3711	УИК №3712	УИК №3713	УИК №3714	УИК №3715	УИК №3716	УИК №3717	УИК №3718	УИК №3719	УИК №3720	УИК №3721	УИК №3722	УИК №3723	УИК №3724	УИК №3725	УИК №3726	УИК №3727	УИК №3728	УИК №3729	УИК №3730	УИК №3731	УИК №3732	УИК №3733	УИК №3734	УИК №3735	УИК №3736	УИК №3737	УИК №3738	УИК №3739	УИК №3740	УИК №3741	УИК №3742	УИК №3743	УИК №3744	УИК №3745	УИК №3746	УИК №3747	УИК №3748	УИК №3749	УИК №3750	УИК №3797	УИК №3798	УИК №3799					
1	"Число избирателей, внесенных в список"	97816	1923	1798	2633	1351	1524	1572	1517	1332	1493	1987	1258	1638	1713	2190	2141	2237	2300	2165	1901	2293	2268	2406	2056	1857	1761	1768	2292	1250	2088	1626	1653	2181	1798	2096	2795	2296	1968	2065	2198	2027	1647	1800	1635	2179	270	2824	2199	2121	1624	2848	701	144	409					
2	Число полученных избирательных бюллетеней	95945	1950	1700	2650	1200	1500	1500	1450	1250	1450	1900	1250	1550	1650	2150	2050	2150	2350	2100	2050	2250	2200	2350	2000	1800	1750	1750	2200	1250	2050	1600	1600	2100	1750	2100	2750	2300	1900	2000	2200	2000	1700	1700	1700	2100	260	2600	2200	2050	1650	2800	800	200	435					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	54672	1172	890	1119	860	827	833	691	767	778	1030	606	900	855	1354	1251	1089	1088	1182	1176	1234	1248	1315	1046	841	957	1043	1234	730	1215	1003	914	1151	952	1213	1580	1217	1077	1075	1294	1179	980	1106	825	1447	167	1826	1354	1196	840	1691	701	144	409					
5	"Число избирательных бюллетеней, выданных вне помещения"	1267	41	38	32	21	26	18	35	48	37	54	34	32	24	31	33	45	65	43	11	43	27	28	22	9	14	23	12	26	26	20	18	27	8	9	8	24	18	8	12	11	19	11	8	2	85	14	17	29	3	18	0	0	0					
6	Число погашенных избирательных бюллетеней	40006	737	772	1499	319	647	649	724	435	635	816	610	618	771	765	766	1016	1197	875	863	973	925	1007	932	950	779	684	954	494	809	577	668	922	790	878	1162	1059	805	917	894	810	701	583	867	651	8	760	829	825	807	1091	99	56	26					
7	Число избирательных бюллетеней в переносных ящиках	1267	41	38	32	21	26	18	35	48	37	54	34	32	24	31	33	45	65	43	11	43	27	28	22	9	14	23	12	26	26	20	18	27	8	9	8	24	18	8	12	11	19	11	8	2	85	14	17	29	3	18	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	54661	1172	889	1119	860	827	833	690	767	778	1030	606	900	854	1354	1251	1089	1088	1182	1176	1233	1248	1315	1046	841	957	1043	1234	730	1215	1003	909	1151	952	1213	1580	1217	1077	1075	1294	1179	980	1106	825	1445	167	1826	1354	1196	840	1691	701	144	409					
9	Число недействительных избирательных бюллетеней	374	0	10	10	0	4	8	2	2	2	3	2	0	5	5	12	11	9	4	5	4	2	4	7	13	14	10	4	1	10	6	2	9	11	7	6	4	6	10	5	9	7	8	9	4	2	6	9	8	8	74	1	0	0					
10	Число действительных избирательных бюллетеней	55554	1213	917	1141	881	849	843	723	813	813	1081	638	932	873	1380	1272	1123	1144	1221	1182	1272	1273	1339	1061	837	957	1056	1242	755	1231	1017	925	1169	949	1215	1582	1237	1089	1073	1301	1181	992	1109	824	1443	250	1834	1362	1217	835	1635	700	144	409					
11	Число полученных открепительных  удостоверений	1195	150	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	22	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	73	0	50	20	20	20	20	0	0	0					
12	Число выданных открепительных удостоверений	607	132	6	3	3	8	7	3	12	2	12	5	5	6	7	10	8	5	11	15	10	11	9	8	3	14	12	15	7	5	10	14	7	7	9	20	15	16	6	2	11	9	9	8	38	0	35	10	6	5	16	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	645	33	12	8	23	6	3	5	27	6	17	4	7	7	5	11	11	4	4	6	11	6	10	5	7	7	5	3	4	1	4	5	4	6	5	5	1	8	6	9	7	6	9	3	4	2	50	5	5	9	15	184	18	17					
14	Число неиспользованных открепительных удостоверений	588	18	14	17	17	12	13	17	8	18	8	15	15	14	13	10	12	15	11	5	10	9	11	12	17	6	8	5	13	15	10	6	13	13	11	0	5	4	14	18	9	11	11	12	35	0	15	10	14	15	4	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	128	0	2	6	2	1	2	3	2	1	2	1	0	1	2	4	2	5	3	1	0	1	3	1	4	1	0	1	1	3	0	1	5	2	0	2	1	4	1	1	2	1	2	3	0	0	41	1	1	2	3	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																												
18	. Глазьев Сергей Юрьевич	1979	39	41	35	39	36	37	20	31	38	38	25	29	30	68	52	46	40	51	40	47	46	52	44	45	35	40	33	23	37	56	32	49	34	47	74	46	29	24	43	46	27	35	20	53	3	37	56	41	15	52	6	5	12					
		3.54%	3.22%	4.42%	3.04%	4.43%	4.22%	4.35%	2.76%	3.80%	4.66%	3.51%	3.91%	3.11%	3.42%	4.91%	4.05%	4.06%	3.47%	4.16%	3.37%	3.68%	3.61%	3.87%	4.12%	5.29%	3.60%	3.75%	2.65%	3.04%	2.98%	5.47%	3.45%	4.16%	3.54%	3.85%	4.66%	3.71%	2.65%	2.22%	3.29%	3.87%	2.70%	3.13%	2.40%	3.66%	1.19%	2.01%	4.08%	3.35%	1.78%	3.04%	0.86%	3.47%	2.93%					
