Выборы Президента Российской Федерации																																																												
																																																												
Наименование Избирательной комиссии:    Рославльская																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271					
1	"Число избирателей, внесенных в список"	64474	1999	1387	1690	2381	1012	1600	1835	2485	1397	1045	1980	1880	1159	2336	2177	1029	2376	1978	1212	1850	2631	2337	2435	2880	1912	334	864	395	273	511	433	228	360	1491	567	188	2114	242	563	267	192	446	696	526	471	1513	1506	828	614	518	360	405	566					
2	Число полученных избирательных бюллетеней	64667	1999	1386	1716	2410	1018	1599	1849	2515	1387	1044	1977	1868	1148	2329	2180	1026	2375	1977	1023	1865	2656	2356	2439	2910	1938	341	885	411	283	508	431	231	378	1442	591	198	2099	267	563	270	197	381	770	525	480	1549	1540	855	614	489	384	420	575					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	28463	818	488	768	1061	285	643	642	1221	563	414	760	680	441	1079	926	401	849	820	438	814	1147	1232	1148	1342	989	146	361	199	119	193	224	166	120	1022	322	111	789	102	238	214	87	195	424	349	273	777	633	379	261	236	221	191	142					
5	"Число избирательных бюллетеней, выданных вне помещения"	4643	30	35	31	85	62	42	32	40	32	57	34	41	23	85	56	118	42	24	203	5	35	23	14	20	8	110	210	85	95	189	118	30	127	119	106	39	271	109	181	38	71	184	113	48	70	109	152	143	133	148	120	120	228					
6	Число погашенных избирательных бюллетеней	31561	1151	863	917	1264	671	914	1175	1254	792	573	1183	1147	684	1165	1198	507	1484	1133	382	1046	1474	1101	1277	1548	941	85	314	127	69	126	89	35	131	301	163	48	1039	56	144	18	39	2	233	128	137	663	755	333	220	105	43	109	205					
7	Число избирательных бюллетеней в переносных ящиках	4643	30	35	31	85	62	42	32	40	32	57	34	41	23	85	56	118	42	24	203	5	35	23	14	20	8	110	210	85	95	189	118	30	127	119	106	39	271	109	181	38	71	184	113	48	70	109	152	143	133	148	120	120	228					
8	Число бюллетеней в стационарных ящиках для голосования	28454	818	488	768	1061	285	643	642	1214	563	414	760	679	441	1079	926	401	849	820	438	814	1147	1232	1148	1342	989	146	361	199	119	193	224	166	120	1022	322	111	789	102	238	214	87	195	424	349	273	777	633	378	261	236	221	191	142					
9	Число недействительных избирательных бюллетеней	192	5	8	3	5	2	4	6	9	1	4	8	5	3	5	8	2	6	6	6	7	5	2	5	8	9	1	0	5	2	3	0	3	2	2	1	1	9	0	0	1	1	4	6	2	2	8	1	0	1	0	4	0	1					
10	Число действительных избирательных бюллетеней	32905	843	515	796	1141	345	681	668	1245	594	467	786	715	461	1159	974	517	885	838	635	812	1177	1253	1157	1354	988	255	571	279	212	379	342	193	245	1139	427	149	1051	211	419	251	157	375	531	395	341	878	784	521	393	384	337	311	369					
11	Число полученных открепительных  удостоверений	815	15	15	15	15	15	15	15	25	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	25	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15					
12	Число выданных открепительных удостоверений	202	3	4	2	7	0	1	5	17	4	2	2	3	2	5	10	0	1	0	3	5	9	5	8	17	6	3	0	5	0	3	1	1	0	3	6	0	9	11	0	0	1	5	0	0	3	1	5	4	5	1	7	5	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	188	8	4	1	8	1	5	1	5	11	2	4	8	1	7	9	2	4	6	3	2	5	8	1	7	7	1	3	3	1	3	0	1	1	7	1	2	4	0	4	2	3	6	2	0	3	5	1	3	2	2	2	5	1					
14	Число неиспользованных открепительных удостоверений	613	12	11	13	8	15	14	10	8	11	13	13	12	13	10	5	15	14	15	12	10	6	10	7	8	9	12	15	10	15	12	14	14	15	12	9	15	6	4	15	15	14	10	15	15	12	14	10	11	10	14	8	10	13					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																												
18	. Глазьев Сергей Юрьевич	1135	25	16	38	31	16	12	23	54	22	20	33	26	15	59	37	17	36	15	21	32	68	49	52	61	67	2	15	14	11	3	11	3	0	26	4	2	31	2	5	4	5	6	7	6	11	25	32	11	4	6	20	14	10					
		3.43%	2.95%	3.06%	4.76%	2.71%	4.61%	1.75%	3.41%	4.31%	3.70%	4.25%	4.16%	3.61%	3.23%	5.07%	3.77%	3.28%	4.04%	1.78%	3.28%	3.91%	5.75%	3.90%	4.48%	4.48%	6.72%	0.78%	2.63%	4.93%	5.14%	0.79%	3.22%	1.53%	0.00%	2.28%	0.93%	1.33%	2.92%	0.95%	1.19%	1.59%	3.16%	1.58%	1.30%	1.51%	3.21%	2.82%	4.08%	2.11%	1.02%	1.56%	5.87%	4.50%	2.70%					
19	. Малышкин Олег Александрович	927	34	12	17	31	10	37	20	19	10	15	14	26	8	38	29	26	29	25	18	22	37	35	37	54	33	4	15	10	5	8	8	7	4	12	11	1	34	6	6	8	6	6	14	10	9	20	23	17	7	5	11	14	10					
		2.80%	4.01%	2.29%	2.13%	2.71%	2.88%	5.40%	2.97%	1.52%	1.68%	3.18%	1.76%	3.61%	1.72%	3.26%	2.95%	5.01%	3.25%	2.96%	2.81%	2.69%	3.13%	2.79%	3.18%	3.96%	3.31%	1.56%	2.63%	3.52%	2.34%	2.09%	2.34%	3.57%	1.62%	1.05%	2.57%	0.67%	3.21%	2.84%	1.43%	3.17%	3.80%	1.58%	2.61%	2.52%	2.62%	2.26%	2.93%	3.26%	1.78%	1.30%	3.23%	4.50%	2.70%					
20	. Миронов Сергей Михайлович	241	5	1	7	8	3	2	2	11	1	3	6	4	4	6	6	3	6	4	7	4	14	10	12	12	11	1	2	5	3	1	0	1	2	6	4	0	5	2	3	1	1	3	5	2	2	5	10	2	4	3	10	3	3					
		0.73%	0.59%	0.19%	0.88%	0.70%	0.86%	0.29%	0.30%	0.88%	0.17%	0.64%	0.76%	0.56%	0.86%	0.52%	0.61%	0.58%	0.67%	0.47%	1.09%	0.49%	1.18%	0.80%	1.03%	0.88%	1.10%	0.39%	0.35%	1.76%	1.40%	0.26%	0.00%	0.51%	0.81%	0.53%	0.93%	0.00%	0.47%	0.95%	0.72%	0.40%	0.63%	0.79%	0.93%	0.50%	0.58%	0.56%	1.27%	0.38%	1.02%	0.78%	2.93%	0.96%	0.81%					
21	. Путин Владимир Владимирович	19812	482	301	458	703	189	393	347	642	352	282	478	415	265	613	587	336	504	455	343	435	683	742	667	797	533	181	378	150	109	237	236	87	158	873	327	80	605	149	347	181	122	261	301	311	198	500	470	364	289	284	211	217	184					
		59.86%	56.84%	57.55%	57.32%	61.34%	54.47%	57.37%	51.48%	51.20%	59.16%	59.87%	60.20%	57.64%	57.11%	52.66%	59.78%	64.74%	56.57%	53.91%	53.51%	53.11%	57.78%	59.12%	57.40%	58.52%	53.46%	70.70%	66.20%	52.82%	50.93%	62.04%	69.01%	44.39%	63.97%	76.51%	76.40%	53.33%	57.08%	70.62%	82.82%	71.83%	77.22%	68.87%	56.05%	78.34%	57.73%	56.43%	59.87%	69.87%	73.35%	73.96%	61.88%	69.77%	49.73%					
22	. Хакамада Ирина Муцуовна	745	24	10	14	33	13	19	20	46	18	4	19	12	10	35	21	10	21	11	15	25	39	44	30	36	26	5	8	7	0	13	3	2	4	3	5	2	29	4	3	1	1	5	6	4	5	22	21	2	10	4	7	3	11					
