Выборы Президента Российской Федерации																																																																										
																																																																										
Наименование Избирательной комиссии:    Буинская																																																																										
																																																																										
Итоги голосования 																																																																										
																																																																										
		Сумма	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250					
1	"Число избирателей, внесенных в список"	19817	696	528	315	185	505	102	271	317	199	82	602	375	449	229	165	471	301	88	886	145	525	195	329	269	294	188	73	190	99	164	155	260	81	201	455	88	117	197	491	102	613	79	132	211	439	154	199	1136	319	212	137	64	619	82	413	130	395	73	368	383	504	114	215	241	507	141	553					
2	Число полученных избирательных бюллетеней	20013	703	539	319	190	507	107	280	319	200	83	602	376	448	238	172	471	303	95	891	146	525	195	336	269	299	190	75	195	100	164	158	260	83	202	456	91	121	197	496	105	617	81	133	219	447	157	201	1151	318	215	137	64	619	85	414	129	395	75	368	383	504	118	219	243	518	142	555					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18908	623	490	289	176	489	102	271	312	194	76	578	375	420	199	144	434	286	84	873	135	507	193	314	260	268	188	69	190	99	164	155	251	81	181	450	84	114	187	467	94	581	79	132	168	433	147	188	1058	296	203	134	60	547	76	407	125	383	72	355	379	504	114	215	241	498	140	507					
5	"Число избирательных бюллетеней, выданных вне помещения"	818	63	38	26	9	0	0	0	5	5	6	20	0	26	30	21	37	8	4	11	10	18	0	8	9	26	0	4	0	0	0	0	9	0	20	5	4	3	10	21	8	32	0	0	42	5	7	8	58	20	9	3	4	72	6	6	4	12	1	13	4	0	0	0	0	9	1	38					
6	Число погашенных избирательных бюллетеней	287	17	11	4	5	18	5	9	2	1	1	4	1	2	9	7	0	9	7	7	1	0	2	14	0	5	2	2	5	1	0	3	0	2	1	1	3	4	0	8	3	4	2	1	9	9	3	5	35	2	3	0	0	0	3	1	0	0	2	0	0	0	4	4	2	11	1	10					
7	Число избирательных бюллетеней в переносных ящиках	818	63	38	26	9	0	0	0	5	5	6	20	0	26	30	21	37	8	4	11	10	18	0	8	9	26	0	4	0	0	0	0	9	0	20	5	4	3	10	21	8	32	0	0	42	5	7	8	58	20	9	3	4	72	6	6	4	12	1	13	4	0	0	0	0	9	1	38					
8	Число бюллетеней в стационарных ящиках для голосования	18908	623	490	289	176	489	102	271	312	194	76	578	375	420	199	144	434	286	84	873	135	507	193	314	260	268	188	69	190	99	164	155	251	81	181	450	84	114	187	467	94	581	79	132	168	433	147	188	1058	296	203	134	60	547	76	407	125	383	72	355	379	504	114	215	241	498	140	507					
9	Число недействительных избирательных бюллетеней	36	4	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	9	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0					
10	Число действительных избирательных бюллетеней	19690	682	528	311	184	489	102	271	317	199	82	598	375	446	229	165	471	294	88	884	145	525	193	313	269	294	188	73	190	99	164	155	260	81	201	455	88	117	197	487	101	604	79	132	210	438	154	196	1116	313	212	137	64	619	82	413	129	395	73	368	382	504	114	214	239	507	141	545					
