Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Дюртюлинская городская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854					
1	"Число избирателей, внесенных в список"	45344	2270	2124	2239	2222	2328	2299	2118	1593	1860	2632	27	323	1654	1298	736	390	596	402	403	118	558	252	288	436	556	276	493	286	514	291	1412	418	442	503	952	283	200	388	340	422	68	1069	441	191	98	602	711	667	409	404	640	455	501	264	352	1223	307					
2	Число полученных избирательных бюллетеней	46099	2332	2168	2284	2306	2417	2400	2200	1657	1878	2571	30	340	1692	1332	764	402	596	403	403	119	559	251	291	435	556	265	490	284	523	301	1445	437	447	507	954	285	198	369	332	425	68	1088	447	193	98	602	715	668	414	413	643	454	501	263	351	1224	309					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	40884	1997	1884	2016	1921	2004	1993	1862	1256	1601	2235	27	323	1499	1207	721	363	573	351	403	118	552	222	286	391	553	261	443	278	443	256	1175	393	411	495	854	246	198	354	324	422	68	1022	410	179	83	586	662	651	351	360	608	426	495	259	336	1185	292					
5	"Число избирательных бюллетеней, выданных вне помещения"	1144	17	27	26	14	36	6	54	7	19	36	0	0	17	9	11	26	17	51	0	0	6	27	2	33	0	4	47	6	56	31	51	25	27	7	22	18	0	15	8	0	0	36	26	12	15	16	44	15	58	41	32	26	6	4	15	28	12					
6	Число погашенных избирательных бюллетеней	4071	318	257	242	371	377	401	284	394	258	300	3	17	176	116	32	13	6	1	0	1	1	2	3	11	3	0	0	0	24	14	219	19	9	5	78	21	0	0	0	3	0	30	11	2	0	0	9	2	5	12	3	2	0	0	0	11	5					
7	Число избирательных бюллетеней в переносных ящиках	1144	17	27	26	14	36	6	54	7	19	36	0	0	17	9	11	26	17	51	0	0	6	27	2	33	0	4	47	6	56	31	51	25	27	7	22	18	0	15	8	0	0	36	26	12	15	16	44	15	58	41	32	26	6	4	15	28	12					
8	Число бюллетеней в стационарных ящиках для голосования	40875	1997	1884	2016	1921	2004	1993	1862	1249	1601	2235	27	323	1499	1207	721	363	573	351	403	118	552	222	286	391	553	261	443	278	443	256	1175	393	411	495	854	244	198	354	324	422	68	1022	410	179	83	586	662	651	351	360	608	426	495	259	336	1185	292					
9	Число недействительных избирательных бюллетеней	120	5	10	2	19	2	8	9	5	9	3	0	0	9	1	4	1	0	0	0	0	0	0	0	3	2	3	0	0	4	0	7	0	0	0	1	3	0	0	0	0	0	6	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	41899	2009	1901	2040	1916	2038	1991	1907	1251	1611	2268	27	323	1507	1215	728	388	590	402	403	118	558	249	288	421	551	262	490	284	495	287	1219	418	438	502	875	259	198	369	332	422	68	1052	436	191	98	602	706	663	409	401	640	451	501	263	351	1213	304					
11	Число полученных открепительных  удостоверений	955	45	35	30	45	52	55	35	40	30	45	0	0	30	30	25	10	10	10	10	10	10	10	10	10	10	10	13	10	10	10	10	20	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	25	10					
12	Число выданных открепительных удостоверений	641	42	33	29	39	52	42	31	33	23	45	0	0	30	26	25	10	6	4	4	0	0	1	2	1	0	0	10	1	10	6	6	20	5	3	9	0	1	3	0	8	1	18	9	2	0	3	2	5	1	3	8	5	4	2	1	13	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	558	2	11	7	2	6	4	4	9	3	11	27	323	0	4	8	2	1	5	6	0	1	3	3	3	2	2	5	3	4	3	7	3	4	2	5	2	3	1	6	6	4	4	3	1	2	2	3	6	1	3	2	5	2	1	1	14	1					
14	Число неиспользованных открепительных удостоверений	314	3	2	1	6	0	13	4	7	7	0	0	0	0	4	0	0	4	6	6	10	10	9	8	9	10	10	3	9	0	4	4	0	5	7	1	10	9	7	10	2	9	2	1	8	10	7	8	5	9	7	2	5	6	8	9	12	6					
15	"Число открепительных удостоверений, выданных в ТИК"	15	4	1	1	1	2	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																
18	. Глазьев Сергей Юрьевич	133	15	10	3	8	12	8	5	17	0	19	0	0	4	6	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	2	0	1	0	10	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0					
		0.32%	0.74%	0.52%	0.15%	0.41%	0.59%	0.40%	0.26%	1.35%	0.00%	0.84%	0.00%	0.00%	0.26%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.60%	0.00%	0.16%	0.00%	0.23%	0.00%	1.14%	1.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.08%	0.00%					
19	. Малышкин Олег Александрович	117	8	5	9	12	6	12	3	4	12	15	0	0	0	3	1	0	0	0	0	0	0	1	0	0	1	0	2	0	1	2	5	0	1	1	3	3	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0					
		0.28%	0.40%	0.26%	0.44%	0.62%	0.29%	0.60%	0.16%	0.32%	0.74%	0.66%	0.00%	0.00%	0.00%	0.25%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.18%	0.00%	0.41%	0.00%	0.20%	0.70%	0.41%	0.00%	0.23%	0.20%	0.34%	1.15%	0.51%	0.00%	0.90%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.16%	0.00%					
20	. Миронов Сергей Михайлович	68	9	3	8	4	1	3	4	2	11	6	0	0	0	4	0	0	0	0	0	0	1	0	0	0	2	0	1	0	2	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
		0.16%	0.45%	0.16%	0.39%	0.21%	0.05%	0.15%	0.21%	0.16%	0.68%	0.26%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.36%	0.00%	0.20%	0.00%	0.40%	0.00%	0.33%	0.00%	0.23%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%					
21	. Путин Владимир Владимирович	40289	1908	1836	1921	1758	1915	1876	1812	1169	1491	2048	27	320	1492	1170	718	385	584	402	403	118	554	243	285	421	543	258	481	274	478	279	1178	417	421	495	816	244	197	363	292	419	67	1048	434	191	98	596	693	662	406	397	640	445	497	261	349	1190	304					
		95.88%	94.74%	96.08%	94.07%	90.85%	93.87%	93.85%	94.57%	93.07%	92.04%	90.18%	100.00%	99.07%	98.42%	96.22%	98.09%	98.97%	98.98%	100.00%	100.00%	100.00%	99.28%	97.59%	98.96%	99.29%	98.19%	97.36%	98.16%	96.48%	95.79%	97.21%	96.08%	99.76%	96.12%	98.61%	93.15%	93.13%	99.49%	98.37%	87.95%	99.29%	98.53%	99.05%	99.54%	100.00%	100.00%	99.00%	98.16%	99.40%	99.27%	99.00%	100.00%	98.45%	99.20%	99.24%	99.43%	98.10%	100.00%					
22	. Хакамада Ирина Муцуовна	167	20	0	20	39	6	3	8	13	2	18	0	0	0	1	0	0	0	0	0	0	1	1	1	0	2	0	1	0	2	0	3	0	1	2	5	1	0	2	4	0	0	0	0	0	0	1	2	0	1	2	0	0	1	0	0	4	0					
		0.40%	0.99%	0.00%	0.98%	2.02%	0.29%	0.15%	0.42%	1.04%	0.12%	0.79%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.40%	0.35%	0.00%	0.36%	0.00%	0.20%	0.00%	0.40%	0.00%	0.24%	0.00%	0.23%	0.40%	0.57%	0.38%	0.00%	0.54%	1.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.28%	0.00%	0.24%	0.50%	0.00%	0.00%	0.20%	0.00%	0.00%	0.33%	0.00%					
23	. Харитонов Николай Михайлович	998	36	40	79	86	98	84	71	39	75	147	0	2	11	28	5	3	4	0	0	0	1	4	2	0	3	4	3	10	6	5	15	1	12	2	36	5	0	4	33	2	1	4	0	0	0	4	8	1	2	2	0	3	2	2	2	11	0					
		2.38%	1.79%	2.09%	3.87%	4.44%	4.80%	4.20%	3.71%	3.11%	4.63%	6.47%	0.00%	0.62%	0.73%	2.30%	0.68%	0.77%	0.68%	0.00%	0.00%	0.00%	0.18%	1.61%	0.69%	0.00%	0.54%	1.51%	0.61%	3.52%	1.20%	1.74%	1.22%	0.24%	2.74%	0.40%	4.11%	1.91%	0.00%	1.08%	9.94%	0.47%	1.47%	0.38%	0.00%	0.00%	0.00%	0.66%	1.13%	0.15%	0.49%	0.50%	0.00%	0.66%	0.40%	0.76%	0.57%	0.91%	0.00%					
																																																																
24	Против всех	127	13	7	0	9	0	5	4	7	20	15	0	1	0	3	4	0	2	0	0	0	0	0	0	0	0	0	1	0	3	1	12	0	1	1	5	2	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	1	1	0	0	4	0					
		0.30%	0.65%	0.37%	0.00%	0.47%	0.00%	0.25%	0.21%	0.56%	1.23%	0.66%	0.00%	0.31%	0.00%	0.25%	0.55%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.60%	0.35%	0.98%	0.00%	0.23%	0.20%	0.57%	0.76%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.46%	0.00%	0.00%	0.17%	0.14%	0.00%	0.00%	0.00%	0.00%	0.22%	0.20%	0.00%	0.00%	0.33%	0.00%					
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
