Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
"Наименование Избирательной комиссии:    г. Грозный, Заводская"																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397					
1	"Число избирателей, внесенных в список избирателей"	28695	2638	2708	2471	2572	2507	2495	2396	1317	1169	1014	671	1857	2164	2116	600					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28761	2640	2710	2480	2584	2510	2500	2400	1323	1174	1018	672	1860	2170	2120	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	28308	2633	2693	2456	2565	2488	2479	2381	1304	1145	1008	661	1834	2152	2109	400					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	75	1	2	1	1	10	8	9	7	6	1	6	17	6	0	0					
6	Число погашенных избирательных бюллетеней	178	6	15	23	18	12	13	10	12	23	9	5	9	12	11	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	275	1	2	1	1	10	8	9	7	6	1	6	17	6	0	200					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	28308	2633	2693	2456	2565	2488	2479	2381	1304	1145	1008	661	1834	2152	2109	400					
9	Число недействительных избирательных бюллетеней	5	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0					
10	Число действительных избирательных бюллетеней	28578	2633	2695	2457	2566	2497	2485	2390	1311	1151	1009	667	1851	2158	2108	600					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	299	19	20	20	20	20	20	20	20	20	20	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	9	0	0	0	0	2	0	0	0	0	0	4	0	2	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	68	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	290	19	20	20	20	18	20	20	20	20	20	16	20	18	19	20					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	38	5	2	3	3	3	2	2	2	3	1	1	2	3	4	2					
		0.13%	0.19%	0.07%	0.12%	0.12%	0.12%	0.08%	0.08%	0.15%	0.26%	0.10%	0.15%	0.11%	0.14%	0.19%	0.33%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	11	1	0	1	1	1	2	0	0	1	1	0	0	0	2	1					
		0.04%	0.04%	0.00%	0.04%	0.04%	0.04%	0.08%	0.00%	0.00%	0.09%	0.10%	0.00%	0.00%	0.00%	0.09%	0.17%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	12	1	1	2	2	0	1	0	1	2	0	1	0	1	0	0					
		0.04%	0.04%	0.04%	0.08%	0.08%	0.00%	0.04%	0.00%	0.08%	0.17%	0.00%	0.15%	0.00%	0.05%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	13	2	1	1	1	1	2	1	0	1	0	2	0	0	1	0					
		0.05%	0.08%	0.04%	0.04%	0.04%	0.04%	0.08%	0.04%	0.00%	0.09%	0.00%	0.30%	0.00%	0.00%	0.05%	0.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	8	0	0	1	1	1	0	0	0	0	1	1	1	0	2	0					
		0.03%	0.00%	0.00%	0.04%	0.04%	0.04%	0.00%	0.00%	0.00%	0.00%	0.10%	0.15%	0.05%	0.00%	0.09%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	28488	2624	2690	2448	2558	2489	2477	2387	1307	1143	1006	662	1847	2154	2099	597					
		99.67%	99.62%	99.81%	99.63%	99.69%	99.64%	99.60%	99.87%	99.69%	99.30%	99.70%	99.25%	99.78%	99.81%	99.53%	99.50%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	8	0	1	1	0	2	1	0	1	1	0	0	1	0	0	0					
		0.03%	0.00%	0.04%	0.04%	0.00%	0.08%	0.04%	0.00%	0.08%	0.09%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
