Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Старокулаткинская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552					
1	"Число избирателей, внесенных в список"	13188	2917	1514	791	399	379	246	305	357	417	157	595	348	242	427	137	654	969	748	1005	169	412					
2	Число полученных избирательных бюллетеней	12924	2837	1420	784	382	385	245	297	379	414	178	595	341	241	413	140	635	954	734	968	179	403					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10116	1767	850	670	338	327	205	263	287	357	145	551	305	217	393	124	613	716	580	871	161	376					
5	"Число избирательных бюллетеней, выданных вне помещения"	730	84	100	61	20	37	31	18	56	24	12	27	22	19	19	6	22	64	49	46	6	7					
6	Число погашенных избирательных бюллетеней	2078	986	470	53	24	21	9	16	36	33	21	17	14	5	1	10	0	174	105	51	12	20					
7	Число избирательных бюллетеней в переносных ящиках	730	84	100	61	20	37	31	18	56	24	12	27	22	19	19	6	22	64	49	46	6	7					
8	Число бюллетеней в стационарных ящиках для голосования	10116	1767	850	670	338	327	205	263	287	357	145	551	305	217	393	124	613	716	580	871	161	376					
9	Число недействительных избирательных бюллетеней	226	34	23	11	1	0	1	2	3	5	0	12	1	9	26	0	69	19	1	6	2	1					
10	Число действительных избирательных бюллетеней	10620	1817	927	720	357	364	235	279	340	376	157	566	326	227	386	130	566	761	628	911	165	382					
11	Число полученных открепительных  удостоверений	500	65	40	25	10	30	20	10	40	20	10	15	10	10	25	10	30	45	35	20	10	20					
12	Число выданных открепительных удостоверений	356	54	23	24	4	27	10	6	37	20	8	11	6	9	6	2	20	33	24	12	10	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	91	11	31	3	2	4	1	1	3	2	3	6	1	1	0	1	5	4	4	7	1	0					
14	Число неиспользованных открепительных удостоверений	144	11	17	1	6	3	10	4	3	0	2	4	4	1	19	8	10	12	11	8	0	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	214	79	33	23	9	2	3	7	0	2	0	3	2	11	9	1	3	12	1	6	3	5					
		1.97%	4.27%	3.47%	3.15%	2.51%	0.55%	1.27%	2.49%	0.00%	0.52%	0.00%	0.52%	0.61%	4.66%	2.18%	0.77%	0.47%	1.54%	0.16%	0.65%	1.80%	1.31%					
19	. Малышкин Олег Александрович	79	12	8	6	2	4	1	3	2	6	2	2	0	3	1	0	8	6	1	12	0	0					
		0.73%	0.65%	0.84%	0.82%	0.56%	1.10%	0.42%	1.07%	0.58%	1.57%	1.27%	0.35%	0.00%	1.27%	0.24%	0.00%	1.26%	0.77%	0.16%	1.31%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	60	11	8	4	1	0	1	1	1	1	0	5	0	3	3	2	3	5	5	4	1	1					
		0.55%	0.59%	0.84%	0.55%	0.28%	0.00%	0.42%	0.36%	0.29%	0.26%	0.00%	0.87%	0.00%	1.27%	0.73%	1.54%	0.47%	0.64%	0.79%	0.44%	0.60%	0.26%					
21	. Путин Владимир Владимирович	7591	1188	565	497	224	272	201	230	222	284	131	465	253	153	258	110	440	463	475	713	138	309					
		69.99%	64.18%	59.47%	67.99%	62.57%	74.73%	85.17%	81.85%	64.72%	74.54%	83.44%	80.45%	77.37%	64.83%	62.62%	84.62%	69.29%	59.36%	75.52%	77.75%	82.63%	80.68%					
22	. Хакамада Ирина Муцуовна	87	25	16	5	4	3	1	2	5	2	0	4	3	0	2	0	5	2	1	4	2	1					
		0.80%	1.35%	1.68%	0.68%	1.12%	0.82%	0.42%	0.71%	1.46%	0.52%	0.00%	0.69%	0.92%	0.00%	0.49%	0.00%	0.79%	0.26%	0.16%	0.44%	1.20%	0.26%					
23	. Харитонов Николай Михайлович	2473	465	279	178	114	80	26	32	109	80	24	84	60	53	106	17	107	268	143	170	16	62					
		22.80%	25.12%	29.37%	24.35%	31.84%	21.98%	11.02%	11.39%	31.78%	21.00%	15.29%	14.53%	18.35%	22.46%	25.73%	13.08%	16.85%	34.36%	22.73%	18.54%	9.58%	16.19%					
																												
24	Против всех	116	37	18	7	3	3	2	4	1	1	0	3	8	4	7	0	0	5	2	2	5	4					
		1.07%	2.00%	1.89%	0.96%	0.84%	0.82%	0.85%	1.42%	0.29%	0.26%	0.00%	0.52%	2.45%	1.69%	1.70%	0.00%	0.00%	0.64%	0.32%	0.22%	2.99%	1.04%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
