Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Прилузская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК  466	УИК  467	УИК  468	УИК  469	УИК  470	УИК  471	УИК  472	УИК  473	УИК  474	УИК  475	УИК  476	УИК  477	УИК  478	УИК  479	УИК  480	УИК  481	УИК  482	УИК  483	УИК  484	УИК  485	УИК  486	УИК  487	УИК  488	УИК  489	УИК  490	УИК  491	УИК  492	УИК  493	УИК  494	УИК  495	УИК  496	УИК  497	УИК  498	УИК  499	УИК  500	УИК  501	УИК  502	УИК  503	УИК  504	УИК  505	УИК  506					
1	"Число избирателей, внесенных в список"	18135	203	96	407	129	103	634	115	86	255	345	690	120	436	1367	1545	1595	1106	386	337	378	606	141	777	92	245	56	132	203	159	146	1148	1081	272	719	309	194	112	629	282	258	241					
2	Число полученных избирательных бюллетеней	18212	200	98	408	125	105	620	117	96	265	362	727	135	433	1342	1521	1575	1165	390	342	391	601	143	777	90	242	56	139	207	167	157	1076	1083	264	724	315	186	111	646	294	254	263					
3	"Число избирательных бюллетеней, выданных  досрочно"	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10701	138	66	250	90	62	429	81	71	179	234	422	97	256	650	879	847	624	248	229	252	308	95	490	74	204	43	92	122	114	70	609	520	171	467	205	121	72	298	191	180	151					
5	"Число избирательных бюллетеней, выданных вне помещения"	1270	9	17	78	14	25	112	19	12	27	20	27	5	38	53	39	33	18	18	15	23	50	0	39	0	9	2	6	18	34	9	30	104	16	44	3	11	9	154	21	50	59					
6	Число погашенных избирательных бюллетеней	6199	53	15	80	21	18	79	17	13	59	108	278	33	139	639	603	695	523	124	98	116	201	48	248	16	29	11	41	67	19	78	437	459	77	213	107	54	30	194	82	24	53					
7	Число избирательных бюллетеней в переносных ящиках	1312	9	17	78	14	25	112	19	12	27	20	27	5	38	53	39	33	18	18	15	23	92	0	39	0	9	2	6	18	34	9	30	104	16	44	3	11	9	154	21	50	59					
8	Число бюллетеней в стационарных ящиках для голосования	10701	138	66	250	90	62	429	81	71	179	234	422	97	256	650	879	847	624	248	229	252	308	95	490	74	204	43	92	122	114	70	609	520	171	467	205	121	72	298	191	180	151					
9	Число недействительных избирательных бюллетеней	177	3	0	7	4	1	8	1	1	2	2	4	2	6	13	13	5	7	5	0	3	7	4	7	1	2	1	6	3	6	4	11	13	4	11	2	3	0	1	0	0	4					
10	Число действительных избирательных бюллетеней	11836	144	83	321	100	86	533	99	82	204	252	445	100	288	690	905	875	635	261	244	272	393	91	522	73	211	44	92	137	142	75	628	611	183	500	206	129	81	451	212	230	206					
11	Число полученных открепительных  удостоверений	372	3	3	7	5	3	15	5	7	13	12	30	3	3	20	20	20	20	5	8	6	7	5	7	3	5	3	5	5	8	3	25	15	3	7	8	3	3	19	10	5	15					
12	Число выданных открепительных удостоверений	241	3	1	1	1	0	8	5	7	10	12	30	3	0	7	12	6	12	4	4	5	1	2	7	1	3	0	4	5	6	2	17	10	1	7	5	0	0	17	3	5	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	97	0	0	2	3	1	4	4	3	1	1	3	1	3	8	11	5	6	6	1	1	1	1	2	1	4	1	1	1	1	2	4	2	1	0	2	0	2	2	3	2	0					
14	Число неиспользованных открепительных удостоверений	131	0	2	6	4	3	7	0	0	3	0	0	0	3	13	8	14	8	1	4	1	6	3	0	2	2	3	1	0	2	1	8	5	2	0	3	3	3	2	7	0	1					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	186	2	0	4	2	1	2	1	0	1	1	10	1	2	13	29	19	9	1	2	1	3	0	6	0	1	1	1	0	2	1	23	18	3	4	5	5	0	3	2	4	3					
		1.55%	1.36%	0.00%	1.22%	1.92%	1.15%	0.37%	1.00%	0.00%	0.49%	0.39%	2.23%	0.98%	0.68%	1.85%	3.16%	2.16%	1.40%	0.38%	0.82%	0.36%	0.75%	0.00%	1.13%	0.00%	0.47%	2.22%	1.02%	0.00%	1.35%	1.27%	3.60%	2.88%	1.60%	0.78%	2.40%	3.79%	0.00%	0.66%	0.94%	1.74%	1.43%					
19	. Малышкин Олег Александрович	316	8	1	5	4	1	10	4	1	6	4	15	4	17	17	18	17	13	7	9	10	6	0	11	1	1	2	2	1	0	5	23	30	1	19	3	0	2	14	5	6	13					
		2.63%	5.44%	1.20%	1.52%	3.85%	1.15%	1.85%	4.00%	1.20%	2.91%	1.57%	3.34%	3.92%	5.78%	2.42%	1.96%	1.93%	2.02%	2.63%	3.69%	3.64%	1.50%	0.00%	2.08%	1.35%	0.47%	4.44%	2.04%	0.71%	0.00%	6.33%	3.60%	4.81%	0.53%	3.72%	1.44%	0.00%	2.47%	3.10%	2.36%	2.61%	6.19%					
20	. Миронов Сергей Михайлович	99	1	1	3	0	1	0	0	0	1	1	5	0	2	1	15	10	5	2	1	1	4	0	4	0	0	0	0	2	1	1	9	7	0	3	0	3	0	2	1	6	6					
		0.82%	0.68%	1.20%	0.91%	0.00%	1.15%	0.00%	0.00%	0.00%	0.49%	0.39%	1.11%	0.00%	0.68%	0.14%	1.63%	1.14%	0.78%	0.75%	0.41%	0.36%	1.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	1.43%	0.68%	1.27%	1.41%	1.12%	0.00%	0.59%	0.00%	2.27%	0.00%	0.44%	0.47%	2.61%	2.86%					
21	. Путин Владимир Владимирович	9604	101	68	256	83	67	456	83	75	178	231	342	68	232	586	714	680	514	211	203	238	338	86	452	67	205	40	82	126	93	53	489	454	152	395	171	105	70	352	180	149	159					
		79.95%	68.71%	81.93%	78.05%	79.81%	77.01%	84.29%	83.00%	90.36%	86.41%	90.94%	76.17%	66.67%	78.91%	83.36%	77.78%	77.27%	80.06%	79.32%	83.20%	86.55%	84.50%	90.53%	85.44%	90.54%	96.24%	88.89%	83.67%	90.00%	62.84%	67.09%	76.53%	72.76%	81.28%	77.30%	82.21%	79.55%	86.42%	77.88%	84.91%	64.78%	75.71%					
22	. Хакамада Ирина Муцуовна	250	2	2	2	3	2	4	1	3	2	2	9	3	3	13	21	26	20	7	4	5	7	2	15	1	0	0	3	2	7	3	17	15	4	12	1	5	1	5	5	4	7					
		2.08%	1.36%	2.41%	0.61%	2.88%	2.30%	0.74%	1.00%	3.61%	0.97%	0.79%	2.00%	2.94%	1.02%	1.85%	2.29%	2.95%	3.12%	2.63%	1.64%	1.82%	1.75%	2.11%	2.84%	1.35%	0.00%	0.00%	3.06%	1.43%	4.73%	3.80%	2.66%	2.40%	2.14%	2.35%	0.48%	3.79%	1.23%	1.11%	2.36%	1.74%	3.33%					
23	. Харитонов Николай Михайлович	1213	28	10	46	7	13	52	10	3	15	12	58	23	26	54	90	103	56	30	23	17	31	1	26	3	4	1	2	6	34	10	61	78	22	61	25	8	8	71	17	52	16					
		10.10%	19.05%	12.05%	14.02%	6.73%	14.94%	9.61%	10.00%	3.61%	7.28%	4.72%	12.92%	22.55%	8.84%	7.68%	9.80%	11.70%	8.72%	11.28%	9.43%	6.18%	7.75%	1.05%	4.91%	4.05%	1.88%	2.22%	2.04%	4.29%	22.97%	12.66%	9.55%	12.50%	11.76%	11.94%	12.02%	6.06%	9.88%	15.71%	8.02%	22.61%	7.62%					
																																																
24	Против всех	168	2	1	5	1	1	9	0	0	1	1	6	1	6	6	18	20	18	3	2	0	4	2	8	1	0	0	2	0	5	2	6	9	1	6	1	3	0	4	2	9	2					
		1.40%	1.36%	1.20%	1.52%	0.96%	1.15%	1.66%	0.00%	0.00%	0.49%	0.39%	1.34%	0.98%	2.04%	0.85%	1.96%	2.27%	2.80%	1.13%	0.82%	0.00%	1.00%	2.11%	1.51%	1.35%	0.00%	0.00%	2.04%	0.00%	3.38%	2.53%	0.94%	1.44%	0.53%	1.17%	0.48%	2.27%	0.00%	0.88%	0.94%	3.91%	0.95%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
