Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																												
Дата голосования: 04.12.2011																																																												
																																																												
Наименование Избирательной комиссии:    Ботлихская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	14	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3					
		0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.20%	1.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2					
		0.05%	2.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1819	2	40	35	0	0	0	0	1	45	68	5	1	8	3	50	74	104	6	8	129	19	3	330	2	1	4	33	10	7	6	1	18	58	15	22	5	5	110	7	7	6	6	12	280	4	6	47	8	6	8	44	4	146					
		7.32%	4.26%	5.06%	10.06%	0.00%	0.00%	0.00%	0.00%	0.18%	5.33%	10.18%	6.41%	7.69%	4.49%	1.51%	3.15%	7.33%	8.77%	1.73%	28.57%	10.82%	10.67%	1.69%	23.04%	11.11%	5.00%	8.70%	7.57%	6.54%	3.74%	3.41%	5.56%	1.84%	4.18%	5.68%	6.83%	23.81%	0.57%	9.89%	2.61%	9.09%	1.84%	2.61%	3.41%	20.77%	0.67%	2.03%	13.43%	3.10%	20.00%	5.06%	7.72%	7.27%	19.52%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2					
		0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	1.77%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22927	43	750	313	1400	844	61	12	560	800	600	73	12	170	196	1516	928	1031	340	20	1063	159	175	1100	16	19	42	400	143	180	170	17	960	1324	249	300	16	870	1000	261	70	320	224	340	1065	590	290	303	250	24	150	524	51	593					
		92.25%	91.49%	94.94%	89.94%	100.00%	100.00%	100.00%	100.00%	99.82%	94.67%	89.82%	93.59%	92.31%	95.51%	98.49%	95.59%	91.88%	86.93%	98.27%	71.43%	89.18%	89.33%	98.31%	76.82%	88.89%	95.00%	91.30%	91.74%	93.46%	96.26%	96.59%	94.44%	98.16%	95.46%	94.32%	93.17%	76.19%	99.43%	89.93%	97.39%	90.91%	98.16%	97.39%	96.59%	79.01%	99.33%	97.97%	86.57%	96.90%	80.00%	94.94%	91.93%	92.73%	79.28%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
		0.03%	2.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
