Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Никольская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650					
1	"Число избирателей, внесенных в список"	19199	1920	2127	1026	1300	318	656	417	422	628	132	1003	78	81	494	355	532	513	134	945	475	703	154	215	75	55	221	326	406	221	268	89	192	553	123	98	378	310	267	187	525	277					
2	Число полученных избирательных бюллетеней	18949	1865	2110	1024	1010	320	645	418	427	630	214	1010	85	80	495	350	525	510	137	946	474	711	154	217	77	55	222	329	419	222	270	91	193	547	123	98	366	298	270	202	530	280					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10613	978	1148	541	701	195	276	266	213	389	132	574	56	54	249	181	330	264	66	564	210	358	78	114	47	30	152	213	202	151	157	48	124	276	45	77	238	172	150	121	330	143					
5	"Число избирательных бюллетеней, выданных вне помещения"	1732	72	39	15	33	4	82	14	85	29	0	57	13	0	65	17	53	81	36	68	76	95	44	30	22	17	26	11	87	27	44	6	22	89	32	11	48	50	66	33	67	66					
6	Число погашенных избирательных бюллетеней	6604	815	923	468	276	121	287	138	129	212	82	379	16	26	181	152	142	165	35	314	188	258	32	73	8	8	44	105	130	44	69	37	47	182	46	10	80	76	54	48	133	71					
7	Число избирательных бюллетеней в переносных ящиках	1732	72	39	15	33	4	82	14	85	29	0	57	13	0	65	17	53	81	36	68	76	95	44	30	22	17	26	11	87	27	44	6	22	89	32	11	48	50	66	33	67	66					
8	Число бюллетеней в стационарных ящиках для голосования	10611	978	1148	541	699	195	276	266	213	389	132	574	56	54	249	181	330	264	66	564	210	358	78	114	47	30	152	213	202	151	157	48	124	276	45	77	238	172	150	121	330	143					
9	Число недействительных избирательных бюллетеней	121	17	7	3	4	1	2	1	3	3	0	7	0	0	4	6	4	3	0	13	3	2	3	1	0	0	6	2	3	1	3	2	2	7	0	1	0	6	0	0	1	0					
10	Число действительных избирательных бюллетеней	12222	1033	1180	553	728	198	356	279	295	415	132	624	69	54	310	192	379	342	102	619	283	451	119	143	69	47	172	222	286	177	198	52	144	358	77	87	286	216	216	154	396	209					
11	Число полученных открепительных  удостоверений	435	15	15	15	15	15	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	52	7	9	4	15	0	2	0	1	0	0	1	1	0	0	0	1	0	0	1	2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	56	10	4	1	3	2	10	0	4	0	0	1	0	1	0	1	0	1	0	3	3	1	0	0	0	0	1	0	2	0	0	0	0	3	2	0	0	1	0	2	0	0					
14	Число неиспользованных открепительных удостоверений	383	8	6	11	0	15	8	10	9	10	10	9	9	10	10	10	9	10	10	9	8	9	10	10	10	10	10	10	9	10	10	10	10	9	10	10	10	10	8	7	10	10					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
