Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																							
Дата голосования: 04.12.2011																																																							
																																																							
Наименование Избирательной комиссии:    Миякинская																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769	УИК №2770	УИК №2771	УИК №2772	УИК №2773	УИК №2774	УИК №2775	УИК №2776	УИК №2777	УИК №2778	УИК №2779	УИК №2780	УИК №2781	УИК №2782	УИК №2783	УИК №2784	УИК №2785	УИК №2786	УИК №2787	УИК №2788	УИК №2789	УИК №2790	УИК №2791	УИК №2792	УИК №2793					
1	"Число избирателей, внесенных в список избирателей"	22419	481	259	342	230	392	477	194	394	454	219	442	409	355	719	204	426	416	308	354	189	145	153	537	334	136	557	317	593	828	115	422	708	149	1305	1453	830	970	879	825	847	388	443	286	397	104	442	559	433					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23793	499	280	336	235	410	489	205	423	448	221	448	425	363	876	213	444	430	322	354	188	139	149	556	350	135	570	319	715	935	116	441	733	163	1374	1530	860	992	888	873	969	400	462	286	470	112	478	697	472					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16151	407	223	282	204	268	297	151	285	272	150	370	384	294	579	168	317	333	272	226	148	120	96	352	294	113	437	288	436	463	83	323	450	125	974	915	474	489	581	519	502	293	379	197	305	104	365	459	385					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1635	21	23	16	5	14	68	24	28	63	18	23	7	37	65	15	38	25	15	18	9	10	23	38	6	5	84	13	47	89	8	18	16	11	34	13	57	91	126	31	142	46	34	47	50	0	10	38	16					
6	Число погашенных избирательных бюллетеней	6007	71	34	38	26	128	124	30	110	113	53	55	34	32	232	30	89	72	35	110	31	9	30	166	50	17	49	18	232	383	25	100	267	27	366	602	329	412	181	323	325	61	49	42	115	8	103	200	71					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1635	21	23	16	5	14	68	24	28	63	18	23	7	37	65	15	38	25	15	18	9	10	23	38	6	5	84	13	47	89	8	18	16	11	34	13	57	91	126	31	142	46	34	47	50	0	10	38	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16151	407	223	282	204	268	297	151	285	272	150	370	384	294	579	168	317	333	272	226	148	120	96	352	294	113	437	288	436	463	83	323	450	125	974	915	474	489	581	519	502	293	379	197	305	104	365	459	385					
9	Число недействительных избирательных бюллетеней	275	4	1	2	0	9	7	0	5	8	8	38	6	2	9	0	4	1	0	0	3	0	0	8	18	0	0	7	5	10	4	4	5	21	0	22	1	4	11	6	11	3	0	1	7	0	10	9	1					
10	Число действительных избирательных бюллетеней	17511	424	245	296	209	273	358	175	308	327	160	355	385	329	635	183	351	357	287	244	154	130	119	382	282	118	521	294	478	542	87	337	461	115	1008	906	530	576	696	544	633	336	413	243	348	104	365	488	400					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	406	8	2	2	7	11	10	1	2	5	2	4	6	5	19	2	5	5	2	4	4	3	5	6	3	2	4	3	3	25	2	5	10	4	20	40	15	10	25	31	14	15	6	3	3	3	3	22	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	395	8	2	2	7	11	10	1	2	5	2	4	6	5	19	2	5	5	0	4	4	3	5	6	3	2	4	3	3	25	2	5	10	4	16	40	15	5	25	31	14	15	6	3	3	3	3	22	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	187	2	2	3	1	2	7	2	1	3	1	2	2	2	4	1	0	2	1	2	2	5	2	6	4	2	4	1	4	11	4	6	6	7	14	15	4	6	10	2	6	6	2	5	2	0	2	5	4					
14	Число погашенных неиспользованных открепительных удостоверений	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	1	0	3	5	2	3	0	2	2	0	0	1	1	0	1	8	4					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1272	37	0	3	8	30	31	3	26	33	6	23	14	15	39	7	26	31	1	0	8	2	13	25	17	9	0	12	24	60	7	34	62	6	116	99	43	50	86	68	62	20	16	13	3	1	26	38	19					
		7.15%	8.64%	0.00%	1.01%	3.83%	10.64%	8.49%	1.71%	8.31%	9.85%	3.57%	5.85%	3.58%	4.53%	6.06%	3.83%	7.32%	8.66%	0.35%	0.00%	5.10%	1.54%	10.92%	6.41%	5.67%	7.63%	0.00%	3.99%	4.97%	10.87%	7.69%	9.97%	13.30%	4.41%	11.51%	10.67%	8.10%	8.62%	12.16%	12.36%	9.63%	5.90%	3.87%	5.33%	0.85%	0.96%	6.93%	7.65%	4.74%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	913	37	1	4	19	16	11	4	21	16	3	22	10	7	34	3	7	15	4	0	6	3	8	25	13	8	1	23	25	35	9	39	39	15	50	64	56	40	33	27	34	39	9	19	1	3	21	17	17					
		5.13%	8.64%	0.41%	1.34%	9.09%	5.67%	3.01%	2.29%	6.71%	4.78%	1.79%	5.60%	2.56%	2.11%	5.28%	1.64%	1.97%	4.19%	1.39%	0.00%	3.82%	2.31%	6.72%	6.41%	4.33%	6.78%	0.19%	7.64%	5.18%	6.34%	9.89%	11.44%	8.37%	11.03%	4.96%	6.90%	10.55%	6.90%	4.67%	4.91%	5.28%	11.50%	2.18%	7.79%	0.28%	2.88%	5.60%	3.42%	4.24%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	131	5	0	0	0	5	4	0	9	5	2	2	1	1	4	0	3	3	0	0	0	0	0	1	6	7	0	0	1	10	1	3	5	1	5	5	3	7	13	4	1	1	3	3	2	0	4	1	0					
		0.74%	1.17%	0.00%	0.00%	0.00%	1.77%	1.10%	0.00%	2.88%	1.49%	1.19%	0.51%	0.26%	0.30%	0.62%	0.00%	0.85%	0.84%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	2.00%	5.93%	0.00%	0.00%	0.21%	1.81%	1.10%	0.88%	1.07%	0.74%	0.50%	0.54%	0.56%	1.21%	1.84%	0.73%	0.16%	0.29%	0.73%	1.23%	0.56%	0.00%	1.07%	0.20%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3490	76	18	38	42	56	79	42	63	54	26	88	66	27	99	7	56	87	32	55	31	6	24	112	57	25	66	59	77	142	18	62	100	13	248	187	144	163	160	158	118	60	91	32	83	8	101	89	45					
		19.62%	17.76%	7.32%	12.75%	20.10%	19.86%	21.64%	24.00%	20.13%	16.12%	15.48%	22.39%	16.88%	8.16%	15.37%	3.83%	15.77%	24.30%	11.15%	22.54%	19.75%	4.62%	20.17%	28.72%	19.00%	21.19%	12.67%	19.60%	15.94%	25.72%	19.78%	18.18%	21.46%	9.56%	24.60%	20.15%	27.12%	28.10%	22.63%	28.73%	18.32%	17.70%	22.03%	13.11%	23.38%	7.69%	26.93%	17.91%	11.22%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	147	11	1	0	0	4	5	1	4	1	1	1	0	2	5	3	3	0	0	0	1	0	0	1	1	2	0	2	1	6	0	2	2	0	14	13	12	5	11	11	7	0	4	0	2	1	3	1	3					
