Выборы Президента Российской Федерации																																																																					
Дата голосования: 02.03.2008																																																																					
																																																																					
Наименование Избирательной комиссии:    Славянская																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
	Число участковых избирательных комиссий	62																																																																			
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	62																																																																			
																																																																					
		Сумма	УИК №4201	УИК №4202	УИК №4203	УИК №4204	УИК №4205	УИК №4206	УИК №4207	УИК №4208	УИК №4209	УИК №4210	УИК №4211	УИК №4212	УИК №4213	УИК №4214	УИК №4215	УИК №4216	УИК №4217	УИК №4218	УИК №4219	УИК №4220	УИК №4221	УИК №4222	УИК №4223	УИК №4224	УИК №4225	УИК №4226	УИК №4227	УИК №4228	УИК №4229	УИК №4230	УИК №4231	УИК №4232	УИК №4233	УИК №4234	УИК №4235	УИК №4236	УИК №4237	УИК №4238	УИК №4239	УИК №4240	УИК №4241	УИК №4242	УИК №4243	УИК №4244	УИК №4245	УИК №4246	УИК №4247	УИК №4248	УИК №4249	УИК №4250	УИК №4251	УИК №4252	УИК №4253	УИК №4254	УИК №4255	УИК №4256	УИК №4257	УИК №4258	УИК №4259	УИК №4260	УИК №4261	УИК №4299					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	654	87	19	83	8	6	6	20	8	18	33	8	15	5	37	6	21	18	10	12	18	13	9	8	6	6	7	6	0	8	6	0	0	0	0	11	2	3	2	0	2	0	6	2	0	0	14	1	8	15	2	4	4	0	5	13	6	2	2	4	5	1	33					
14	Число неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	99	3	5	0	0	1	2	1	2	2	4	2	2	1	10	1	9	1	1	4	1	2	7	0	0	1	0	2	0	0	3	0	2	1	0	3	0	2	1	0	0	2	1	2	0	0	2	1	0	1	1	1	4	0	8	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																					
18	Богданов Андрей Владимирович	656	19	17	13	5	31	5	24	16	6	15	16	6	8	4	14	20	15	5	20	2	23	21	15	17	8	13	13	1	8	15	0	16	11	1	17	13	5	11	15	3	3	28	6	8	2	25	11	12	11	2	6	5	13	10	3	7	0	3	4	4	0	6					
		0.78%	0.78%	1.14%	0.84%	0.43%	1.44%	0.34%	1.04%	0.72%	0.42%	0.82%	0.69%	0.29%	0.61%	0.24%	1.15%	0.88%	1.30%	0.48%	0.81%	0.16%	1.05%	0.86%	1.48%	0.77%	0.51%	1.02%	0.59%	0.41%	0.76%	0.83%	0.00%	1.04%	1.75%	0.29%	0.67%	2.49%	0.80%	1.07%	0.76%	0.18%	0.17%	1.64%	0.38%	1.11%	0.66%	1.11%	0.91%	1.03%	0.55%	0.24%	0.55%	0.42%	1.07%	1.19%	0.28%	0.84%	0.00%	0.99%	0.92%	1.08%	0.00%	1.15%					
