Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																										
Дата голосования: 04.12.2011																																																										
																																																										
Наименование Избирательной комиссии:    Рыбно-Слободская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444	УИК №2445	УИК №2446	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	300	4	4	4	4	4	4	5	4	10	4	3	4	4	4	4	7	4	4	5	4	10	4	10	4	4	5	5	5	5	4	18	12	12	15	20	10	4	4	4	4	4	4	4	4	4	4	4	4	4	4	11					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	130	2	1	1	4	4	0	0	0	7	4	0	0	0	1	2	4	0	0	0	4	2	0	2	0	0	5	0	0	0	0	16	8	11	12	20	5	0	4	4	2	0	0	0	0	0	0	0	3	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	86	2	2	0	0	0	1	3	0	6	0	1	0	0	0	2	1	0	0	0	1	4	0	1	1	0	3	2	2	2	0	11	7	6	4	5	3	2	0	2	1	3	3	0	0	0	0	0	1	2	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	170	2	3	3	0	0	4	5	4	3	0	3	4	4	3	2	3	4	4	5	0	8	4	8	4	4	0	5	5	5	4	2	4	1	3	0	5	4	0	0	2	4	4	4	4	4	4	4	1	2	4	11					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	195	1	3	1	0	0	0	2	0	5	4	2	0	4	2	1	0	2	2	12	0	3	1	4	1	2	9	2	0	5	5	24	10	15	18	11	21	3	4	3	0	2	2	0	0	2	1	0	2	2	0	2					
		0.89%	0.17%	0.93%	0.33%	0.00%	0.00%	0.00%	0.32%	0.00%	0.59%	1.26%	1.39%	0.00%	2.56%	0.71%	0.45%	0.00%	0.52%	1.22%	2.55%	0.00%	0.34%	0.93%	0.41%	0.22%	0.90%	1.51%	0.34%	0.00%	0.87%	1.66%	2.32%	0.95%	1.63%	1.86%	0.97%	3.08%	0.66%	1.38%	1.52%	0.00%	1.07%	1.37%	0.00%	0.00%	0.68%	0.76%	0.00%	0.48%	0.49%	0.00%	0.30%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	156	3	2	2	1	2	1	4	2	0	2	1	3	0	1	0	3	3	0	3	3	2	0	3	2	2	7	2	3	1	5	8	14	19	9	9	6	8	2	2	1	1	0	0	0	2	1	6	2	2	0	1					
		0.72%	0.51%	0.62%	0.67%	0.51%	2.11%	0.73%	0.64%	0.49%	0.00%	0.63%	0.69%	0.76%	0.00%	0.35%	0.00%	1.20%	0.78%	0.00%	0.64%	3.16%	0.23%	0.00%	0.31%	0.45%	0.90%	1.18%	0.34%	0.81%	0.17%	1.66%	0.77%	1.33%	2.06%	0.93%	0.79%	0.88%	1.77%	0.69%	1.01%	0.72%	0.53%	0.00%	0.00%	0.00%	0.68%	0.76%	1.54%	0.48%	0.49%	0.00%	0.15%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	37	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	3	2	6	1	10	2	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0					
		0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.21%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.29%	0.19%	0.65%	0.10%	0.88%	0.29%	0.00%	0.35%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	461	2	9	0	2	2	3	9	3	5	4	1	5	1	4	3	8	7	3	6	1	7	2	9	2	3	14	3	5	15	16	44	35	24	49	39	28	15	14	2	1	0	2	0	0	9	2	8	7	11	11	6					
		2.11%	0.34%	2.80%	0.00%	1.01%	2.11%	2.19%	1.43%	0.74%	0.59%	1.26%	0.69%	1.27%	0.64%	1.42%	1.35%	3.20%	1.81%	1.83%	1.28%	1.05%	0.79%	1.85%	0.92%	0.45%	1.35%	2.35%	0.51%	1.35%	2.61%	5.32%	4.26%	3.33%	2.60%	5.06%	3.44%	4.11%	3.32%	4.84%	1.01%	0.72%	0.00%	1.37%	0.00%	0.00%	3.04%	1.52%	2.05%	1.68%	2.68%	2.16%	0.91%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	40	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	2	0	0	0	5	4	4	2	5	4	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0					
		0.18%	0.00%	0.31%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.20%	0.22%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.48%	0.38%	0.43%	0.21%	0.44%	0.59%	0.44%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20805	578	307	295	195	91	133	611	402	821	300	140	382	151	275	217	238	373	159	446	90	870	105	960	441	214	565	583	358	553	275	941	981	851	882	1032	617	424	266	191	135	184	139	160	147	282	126	376	403	395	497	648					
		95.41%	98.97%	95.34%	98.33%	98.48%	95.79%	97.08%	97.14%	98.77%	96.59%	94.64%	97.22%	97.20%	96.79%	97.52%	97.75%	95.20%	96.63%	96.95%	94.89%	94.74%	97.97%	97.22%	97.76%	98.66%	96.40%	94.96%	98.15%	96.76%	96.17%	91.36%	91.09%	93.25%	92.30%	91.02%	90.93%	90.47%	93.81%	92.04%	96.46%	97.83%	98.40%	95.21%	99.38%	100.00%	95.27%	95.45%	96.41%	96.88%	96.11%	97.64%	98.33%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	33	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	1	0	3	0	2	0	0	0	0	0	0	0	2	1	1	1	15	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
		0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.26%	0.00%	0.21%	0.00%	0.34%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.10%	0.11%	0.10%	1.32%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%					
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
