Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Нерчинско-Заводская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК  645	УИК  646	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655	УИК  656	УИК  657	УИК  658	УИК  659	УИК  660	УИК  661	УИК  662	УИК  663	УИК  664	УИК  665	УИК  666					
1	"Число избирателей, внесенных в список"	8777	524	611	280	93	228	132	217	251	1000	85	340	222	509	2209	291	47	60	238	252	222	272	694					
2	Число полученных избирательных бюллетеней	8247	500	570	260	92	220	120	200	240	1036	85	330	200	484	2000	280	48	62	220	230	200	250	620					
3	"Число избирательных бюллетеней, выданных  досрочно"	93	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4877	263	293	165	73	138	80	108	165	466	58	178	169	282	1050	159	46	46	179	166	145	170	478					
5	"Число избирательных бюллетеней, выданных вне помещения"	309	25	38	0	0	14	10	10	8	40	3	17	7	19	82	7	0	0	11	11	5	2	0					
6	Число погашенных избирательных бюллетеней	2968	119	239	95	19	68	30	82	67	530	24	135	24	183	868	114	2	16	30	53	50	78	142					
7	Число избирательных бюллетеней в переносных ящиках	402	118	38	0	0	14	10	10	8	40	3	17	7	19	82	7	0	0	11	11	5	2	0					
8	Число бюллетеней в стационарных ящиках для голосования	4877	263	293	165	73	138	80	108	165	466	58	178	169	282	1050	159	46	46	179	166	145	170	478					
9	Число недействительных избирательных бюллетеней	66	1	2	3	0	0	2	0	2	5	2	4	1	6	12	1	0	3	2	6	2	2	10					
10	Число действительных избирательных бюллетеней	5213	380	329	162	73	152	88	118	171	501	59	191	175	295	1120	165	46	43	188	171	148	170	468					
11	Число полученных открепительных  удостоверений	69	5	5	3	1	2	2	2	3	7	1	3	3	3	10	3	1	1	2	2	2	3	5					
12	Число выданных открепительных удостоверений	30	0	0	1	0	1	0	0	0	7	0	1	0	2	10	1	0	0	2	0	0	1	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	20	0	0	2	1	1	1	0	0	2	0	1	1	1	4	0	0	0	2	0	0	1	3					
14	Число неиспользованных открепительных удостоверений	39	5	5	2	1	1	2	2	3	0	1	2	3	1	0	2	1	1	0	2	2	2	1					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	205	8	5	7	3	1	6	2	61	14	4	4	1	7	55	8	0	1	3	2	0	3	10					
		3.88%	2.10%	1.51%	4.24%	4.11%	0.66%	6.67%	1.69%	35.26%	2.77%	6.56%	2.05%	0.57%	2.33%	4.86%	4.82%	0.00%	2.17%	1.58%	1.13%	0.00%	1.74%	2.09%					
19	. Малышкин Олег Александрович	127	22	6	4	0	0	0	5	4	7	0	3	8	4	18	3	3	1	12	0	3	3	21					
		2.41%	5.77%	1.81%	2.42%	0.00%	0.00%	0.00%	4.24%	2.31%	1.38%	0.00%	1.54%	4.55%	1.33%	1.59%	1.81%	6.52%	2.17%	6.32%	0.00%	2.00%	1.74%	4.39%					
20	. Миронов Сергей Михайлович	38	2	4	0	1	0	0	1	6	3	0	0	1	1	13	0	0	0	1	1	0	1	3					
		0.72%	0.52%	1.21%	0.00%	1.37%	0.00%	0.00%	0.85%	3.47%	0.59%	0.00%	0.00%	0.57%	0.33%	1.15%	0.00%	0.00%	0.00%	0.53%	0.56%	0.00%	0.58%	0.63%					
21	. Путин Владимир Владимирович	3776	304	243	114	57	126	50	88	84	377	37	140	133	197	755	132	41	37	135	81	136	140	369					
		71.53%	79.79%	73.41%	69.09%	78.08%	82.89%	55.56%	74.58%	48.55%	74.51%	60.66%	71.79%	75.57%	65.45%	66.70%	79.52%	89.13%	80.43%	71.05%	45.76%	90.67%	81.40%	77.20%					
22	. Хакамада Ирина Муцуовна	65	1	5	2	2	2	1	0	0	2	0	4	1	4	24	1	0	4	0	6	2	2	2					
		1.23%	0.26%	1.51%	1.21%	2.74%	1.32%	1.11%	0.00%	0.00%	0.40%	0.00%	2.05%	0.57%	1.33%	2.12%	0.60%	0.00%	8.70%	0.00%	3.39%	1.33%	1.16%	0.42%					
23	. Харитонов Николай Михайлович	929	35	63	35	9	21	31	20	13	91	17	39	28	76	238	18	2	0	33	80	6	20	54					
		17.60%	9.19%	19.03%	21.21%	12.33%	13.82%	34.44%	16.95%	7.51%	17.98%	27.87%	20.00%	15.91%	25.25%	21.02%	10.84%	4.35%	0.00%	17.37%	45.20%	4.00%	11.63%	11.30%					
																													
24	Против всех	73	8	3	0	1	2	0	2	3	7	1	1	3	6	17	3	0	0	4	1	1	1	9					
		1.38%	2.10%	0.91%	0.00%	1.37%	1.32%	0.00%	1.69%	1.73%	1.38%	1.64%	0.51%	1.70%	1.99%	1.50%	1.81%	0.00%	0.00%	2.11%	0.56%	0.67%	0.58%	1.88%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
