Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Омутинская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546					
1	"Число избирателей, внесенных в список"	15001	779	1040	857	769	220	184	422	596	903	1313	860	720	1016	534	451	846	343	560	86	566	493	165	698	465	115					
2	Число полученных избирательных бюллетеней	15208	789	1050	842	775	220	207	425	588	913	1343	911	723	1064	580	406	821	367	564	88	568	498	170	710	467	119					
3	"Число избирательных бюллетеней, выданных  досрочно"	18	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11897	645	745	508	535	160	167	356	449	767	1051	710	540	794	479	346	734	287	492	67	494	406	101	629	332	103					
5	"Число избирательных бюллетеней, выданных вне помещения"	1097	96	71	65	81	49	15	33	72	47	36	68	60	58	16	38	59	48	22	13	17	23	38	16	44	12					
6	Число погашенных избирательных бюллетеней	2196	48	234	269	159	11	25	18	67	99	256	133	123	212	85	22	28	32	50	8	57	69	31	65	91	4					
7	Число избирательных бюллетеней в переносных ящиках	1115	96	71	65	81	49	15	51	72	47	36	68	60	58	16	38	59	48	22	13	17	23	38	16	44	12					
8	Число бюллетеней в стационарных ящиках для голосования	11895	645	745	506	535	160	167	356	449	767	1051	710	540	794	479	346	734	287	492	67	494	406	101	629	332	103					
9	Число недействительных избирательных бюллетеней	75	0	0	5	0	3	0	0	3	0	6	5	6	8	5	9	7	0	7	0	4	5	0	0	1	1					
10	Число действительных избирательных бюллетеней	12935	741	816	566	616	206	182	407	518	814	1081	773	594	844	490	375	786	335	507	80	507	424	139	645	375	114					
11	Число полученных открепительных  удостоверений	260	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	83	2	7	3	0	0	2	2	6	8	10	10	3	18	1	2	4	0	0	0	0	0	2	1	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	50	1	3	6	3	1	0	4	3	3	6	3	1	3	1	1	2	3	1	0	0	0	0	4	0	1					
14	Число неиспользованных открепительных удостоверений	177	8	3	7	10	10	8	8	4	2	0	0	7	2	9	8	6	10	10	10	10	10	8	9	8	10					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	232	9	6	6	6	6	3	2	4	6	39	20	8	25	11	14	26	6	8	0	11	5	0	4	7	0					
		1.78%	1.21%	0.74%	1.05%	0.97%	2.87%	1.65%	0.49%	0.77%	0.74%	3.59%	2.57%	1.33%	2.93%	2.22%	3.65%	3.28%	1.79%	1.56%	0.00%	2.15%	1.17%	0.00%	0.62%	1.86%	0.00%					
19	. Малышкин Олег Александрович	409	5	11	12	30	11	10	2	19	0	53	30	28	32	24	18	29	4	26	0	27	19	3	2	14	0					
		3.14%	0.67%	1.35%	2.10%	4.87%	5.26%	5.49%	0.49%	3.65%	0.00%	4.88%	3.86%	4.67%	3.76%	4.85%	4.69%	3.66%	1.19%	5.06%	0.00%	5.28%	4.43%	2.16%	0.31%	3.72%	0.00%					
20	. Миронов Сергей Михайлович	91	1	1	5	0	0	1	2	3	2	9	7	4	6	2	3	26	2	1	0	4	2	1	3	6	0					
		0.70%	0.13%	0.12%	0.88%	0.00%	0.00%	0.55%	0.49%	0.58%	0.25%	0.83%	0.90%	0.67%	0.70%	0.40%	0.78%	3.28%	0.60%	0.19%	0.00%	0.78%	0.47%	0.72%	0.47%	1.60%	0.00%					
21	. Путин Владимир Владимирович	9897	685	750	494	479	152	120	381	438	759	662	477	422	460	297	227	536	271	423	70	399	369	117	585	221	103					
		76.07%	92.44%	91.91%	86.51%	77.76%	72.73%	65.93%	93.61%	84.07%	93.24%	60.90%	61.31%	70.33%	53.99%	60.00%	59.11%	67.59%	80.90%	82.30%	87.50%	78.08%	86.01%	84.17%	90.70%	58.78%	89.57%					
22	. Хакамада Ирина Муцуовна	185	5	4	8	8	0	3	2	6	0	26	27	18	23	10	10	10	2	5	0	7	2	1	3	5	0					
		1.42%	0.67%	0.49%	1.40%	1.30%	0.00%	1.65%	0.49%	1.15%	0.00%	2.39%	3.47%	3.00%	2.70%	2.02%	2.60%	1.26%	0.60%	0.97%	0.00%	1.37%	0.47%	0.72%	0.47%	1.33%	0.00%					
23	. Харитонов Николай Михайлович	1883	33	37	37	85	37	45	15	42	47	226	179	99	257	124	100	157	49	40	10	53	19	17	46	118	11					
		14.47%	4.45%	4.53%	6.48%	13.80%	17.70%	24.73%	3.69%	8.06%	5.77%	20.79%	23.01%	16.50%	30.16%	25.05%	26.04%	19.80%	14.63%	7.78%	12.50%	10.37%	4.43%	12.23%	7.13%	31.38%	9.57%					
																																
24	Против всех	238	3	7	4	8	0	0	3	6	0	66	33	15	41	22	3	2	1	4	0	6	8	0	2	4	0					
		1.83%	0.40%	0.86%	0.70%	1.30%	0.00%	0.00%	0.74%	1.15%	0.00%	6.07%	4.24%	2.50%	4.81%	4.44%	0.78%	0.25%	0.30%	0.78%	0.00%	1.17%	1.86%	0.00%	0.31%	1.06%	0.00%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
