Выборы Президента Российской Федерации																	
																	
Наименование Избирательной комиссии:    Енисейская городская																	
																	
Итоги голосования 																	
																	
		Сумма	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96					
1	"Число избирателей, внесенных в список"	15691	1478	1672	1687	1647	1601	1951	1423	1425	1290	1517					
2	Число полученных избирательных бюллетеней	15100	1480	1600	1530	1580	1500	1780	1460	1440	1300	1430					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6565	644	629	609	625	606	672	646	544	505	1085					
5	"Число избирательных бюллетеней, выданных вне помещения"	550	31	18	74	33	84	162	74	50	13	11					
6	Число погашенных избирательных бюллетеней	7985	805	953	847	922	810	946	740	846	782	334					
7	Число избирательных бюллетеней в переносных ящиках	550	31	18	74	33	84	162	74	50	13	11					
8	Число бюллетеней в стационарных ящиках для голосования	6564	644	629	609	625	605	672	646	544	505	1085					
9	Число недействительных избирательных бюллетеней	56	7	4	5	3	7	8	5	4	3	10					
10	Число действительных избирательных бюллетеней	7058	668	643	678	655	682	826	715	590	515	1086					
11	Число полученных открепительных  удостоверений	200	20	20	20	20	20	20	20	20	20	20					
12	Число выданных открепительных удостоверений	51	6	2	9	5	4	5	4	2	4	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	119	5	8	2	1	5	88	2	3	0	5					
14	Число неиспользованных открепительных удостоверений	149	14	18	11	15	16	15	16	18	16	10					
15	"Число открепительных удостоверений, выданных в ТИК"	12	0	1	2	0	1	0	2	2	4	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																	
18	. Глазьев Сергей Юрьевич	1252	119	121	105	127	122	139	147	136	129	107					
		17.60%	17.63%	18.70%	15.37%	19.30%	17.71%	16.67%	20.42%	22.90%	24.90%	9.76%					
19	. Малышкин Олег Александрович	165	17	21	21	22	17	15	9	13	11	19					
		2.32%	2.52%	3.25%	3.07%	3.34%	2.47%	1.80%	1.25%	2.19%	2.12%	1.73%					
20	. Миронов Сергей Михайлович	36	5	1	5	4	2	7	2	3	2	5					
		0.51%	0.74%	0.15%	0.73%	0.61%	0.29%	0.84%	0.28%	0.51%	0.39%	0.46%					
21	. Путин Владимир Владимирович	4032	384	364	389	349	375	485	363	308	239	776					
		56.68%	56.89%	56.26%	56.95%	53.04%	54.43%	58.15%	50.42%	51.85%	46.14%	70.80%					
22	. Хакамада Ирина Муцуовна	336	45	27	33	30	33	28	47	23	32	38					
		4.72%	6.67%	4.17%	4.83%	4.56%	4.79%	3.36%	6.53%	3.87%	6.18%	3.47%					
23	. Харитонов Николай Михайлович	867	68	87	95	99	95	105	108	77	80	53					
		12.19%	10.07%	13.45%	13.91%	15.05%	13.79%	12.59%	15.00%	12.96%	15.44%	4.84%					
																	
24	Против всех	370	30	22	30	24	38	47	39	30	22	88					
		5.20%	4.44%	3.40%	4.39%	3.65%	5.52%	5.64%	5.42%	5.05%	4.25%	8.03%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
