Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    Черемшанская																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК  2770	УИК  2771	УИК  2772	УИК  2773	УИК  2774	УИК  2775	УИК  2776	УИК  2777	УИК  2778	УИК  2779	УИК  2780	УИК  2781	УИК  2782	УИК  2783	УИК  2784	УИК  2785	УИК  2786	УИК  2787	УИК  2788	УИК  2789	УИК  2790	УИК  2791	УИК  2792	УИК  2793	УИК  2794	УИК  2795	УИК  2796	УИК  2797	УИК  2798	УИК  2799	УИК  2800	УИК  2801	УИК  2802	УИК  2803					
11	Число полученных открепительных  удостоверений	488	15	10	10	20	10	10	10	10	10	15	15	10	20	10	10	10	10	10	10	10	13	15	20	15	10	20	30	30	30	15	15	15	15	10					
12	Число выданных открепительных удостоверений	239	1	7	3	11	9	4	3	4	0	3	2	0	20	7	5	3	1	10	7	4	7	1	13	14	10	9	9	20	30	10	4	0	5	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	102	6	1	4	7	3	0	2	1	1	3	4	2	3	2	0	3	0	3	1	2	2	4	1	0	2	5	4	20	0	6	1	1	2	6					
14	Число неиспользованных открепительных удостоверений	249	14	3	7	9	1	6	7	6	10	12	13	10	0	3	5	7	9	0	3	6	6	14	7	1	0	11	21	10	0	5	11	15	10	7					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																									
18	. Глазьев Сергей Юрьевич	90	0	0	0	2	0	0	1	0	0	1	4	0	1	0	0	1	0	2	0	0	5	0	0	0	1	3	21	15	11	15	7	0	0	0					
		0.63%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.52%	0.00%	0.00%	0.28%	1.02%	0.00%	0.11%	0.00%	0.00%	0.45%	0.00%	0.54%	0.00%	0.00%	1.23%	0.00%	0.00%	0.00%	0.26%	0.62%	2.53%	1.85%	1.00%	2.96%	1.38%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	50	0	0	0	4	0	0	2	0	0	0	2	0	1	0	0	1	0	3	2	0	1	0	0	0	0	2	5	7	3	11	6	0	0	0					
		0.35%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	1.04%	0.00%	0.00%	0.00%	0.51%	0.00%	0.11%	0.00%	0.00%	0.45%	0.00%	0.81%	0.40%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.41%	0.60%	0.87%	0.27%	2.17%	1.19%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	201	3	0	0	48	5	2	1	0	0	0	7	0	3	1	2	7	0	3	1	0	9	3	3	1	2	3	19	14	19	26	13	2	0	4					
		1.40%	0.66%	0.00%	0.00%	7.59%	0.99%	1.42%	0.52%	0.00%	0.00%	0.00%	1.78%	0.00%	0.32%	0.51%	0.55%	3.12%	0.00%	0.81%	0.20%	0.00%	2.22%	0.39%	0.60%	0.25%	0.51%	0.62%	2.29%	1.73%	1.73%	5.13%	2.57%	0.50%	0.00%	3.54%					
21	. Путин Владимир Владимирович	13441	450	237	87	527	497	137	172	408	131	352	362	240	897	191	358	210	216	358	488	178	355	767	490	395	374	472	687	702	1036	402	417	398	341	109					
		93.78%	99.34%	94.80%	100.00%	83.39%	98.22%	97.16%	89.12%	100.00%	97.76%	99.15%	92.11%	100.00%	96.45%	96.46%	99.17%	93.75%	98.63%	96.76%	97.99%	99.44%	87.44%	99.10%	97.80%	99.75%	95.41%	97.52%	82.67%	86.77%	94.35%	79.29%	82.41%	99.25%	99.42%	96.46%					
22	. Хакамада Ирина Муцуовна	63	0	0	0	8	0	0	2	0	0	2	1	0	1	0	0	1	1	0	2	0	1	0	0	0	0	0	14	12	4	7	7	0	0	0					
		0.44%	0.00%	0.00%	0.00%	1.27%	0.00%	0.00%	1.04%	0.00%	0.00%	0.56%	0.25%	0.00%	0.11%	0.00%	0.00%	0.45%	0.46%	0.00%	0.40%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	1.68%	1.48%	0.36%	1.38%	1.38%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	301	0	5	0	35	0	0	10	0	0	0	8	0	4	2	1	2	2	4	0	0	29	4	2	0	15	2	63	31	18	31	33	0	0	0					
		2.10%	0.00%	2.00%	0.00%	5.54%	0.00%	0.00%	5.18%	0.00%	0.00%	0.00%	2.04%	0.00%	0.43%	1.01%	0.28%	0.89%	0.91%	1.08%	0.00%	0.00%	7.14%	0.52%	0.40%	0.00%	3.83%	0.41%	7.58%	3.83%	1.64%	6.11%	6.52%	0.00%	0.00%	0.00%					
																																									
24	Против всех	64	0	0	0	3	2	0	0	0	0	0	1	0	9	0	0	2	0	0	0	0	3	0	1	0	0	0	15	10	4	7	7	0	0	0					
		0.45%	0.00%	0.00%	0.00%	0.47%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.97%	0.00%	0.00%	0.89%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.20%	0.00%	0.00%	0.00%	1.81%	1.24%	0.36%	1.38%	1.38%	0.00%	0.00%	0.00%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
