Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																
Дата голосования: 18.09.2016																
																
Наименование Избирательной комиссии:    Анадырская городская																
																
Сводная таблица итогов голосования по федеральному избирательному округу																
																
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8283	1410	2167	2078	2199	429									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6915	1100	1800	1700	1905	410									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	3	0	0	0	3	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3911	679	971	952	1005	304									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	166	119	19	9	13	6									
6	Число погашенных избирательных бюллетеней	2835	302	810	739	884	100									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	168	118	19	9	16	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3904	679	970	951	1000	304									
9	Число недействительных избирательных бюллетеней	165	19	55	39	38	14									
10	Число действительных избирательных бюллетеней	3907	778	934	921	978	296									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	150	30	30	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	30	3	7	4	14	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	75	32	18	16	9	0									
14	Число погашенных неиспользованных открепительных удостоверений	120	27	23	26	16	28									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	129	11	19	20	52	27									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0									
																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	41	10	10	6	12	3									
		1.01%	1.25%	1.01%	0.63%	1.18%	0.97%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	79	16	20	23	16	4									
		1.94%	2.01%	2.02%	2.40%	1.57%	1.29%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	89	21	23	26	14	5									
		2.19%	2.63%	2.33%	2.71%	1.38%	1.61%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1959	414	413	446	503	183									
		48.11%	51.94%	41.76%	46.46%	49.51%	59.03%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	48	7	18	13	8	2									
		1.18%	0.88%	1.82%	1.35%	0.79%	0.65%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	2	2	3	1	0									
		0.20%	0.25%	0.20%	0.31%	0.10%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	920	150	276	203	232	59									
		22.59%	18.82%	27.91%	21.15%	22.83%	19.03%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	24	4	9	6	4	1									
		0.59%	0.50%	0.91%	0.63%	0.39%	0.32%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	37	7	4	14	9	3									
		0.91%	0.88%	0.40%	1.46%	0.89%	0.97%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	2	1	0	4	0									
		0.17%	0.25%	0.10%	0.00%	0.39%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	63	25	9	15	13	1									
		1.55%	3.14%	0.91%	1.56%	1.28%	0.32%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	390	77	87	107	98	21									
		9.58%	9.66%	8.80%	11.15%	9.65%	6.77%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	20	2	3	3	10	2									
		0.49%	0.25%	0.30%	0.31%	0.98%	0.65%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	222	41	59	56	54	12									
		5.45%	5.14%	5.97%	5.83%	5.31%	3.87%									
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
