Выборы Президента Российской Федерации																		
																		
Наименование Избирательной комиссии:    Улаганская																		
																		
Итоги голосования 																		
																		
		Сумма	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127					
1	"Число избирателей, внесенных в список"	7319	193	435	135	835	220	549	147	2379	442	1613	371					
2	Число полученных избирательных бюллетеней	6830	185	430	125	830	205	530	135	2050	430	1550	360					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3842	114	251	91	405	109	352	50	1225	227	823	195					
5	"Число избирательных бюллетеней, выданных вне помещения"	589	57	94	16	39	51	52	18	114	35	53	60					
6	Число погашенных избирательных бюллетеней	2399	14	85	18	386	45	126	67	711	168	674	105					
7	Число избирательных бюллетеней в переносных ящиках	589	57	94	16	39	51	52	18	114	35	53	60					
8	Число бюллетеней в стационарных ящиках для голосования	3842	114	251	91	405	109	352	50	1225	227	823	195					
9	Число недействительных избирательных бюллетеней	48	5	4	3	6	1	1	2	10	0	14	2					
10	Число действительных избирательных бюллетеней	4383	166	341	104	438	159	403	66	1329	262	862	253					
11	Число полученных открепительных  удостоверений	199	10	10	0	50	10	10	10	50	10	29	10					
12	Число выданных открепительных удостоверений	37	0	0	0	1	0	0	0	21	3	11	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	14	1	1	0	1	2	0	0	5	0	3	1					
14	Число неиспользованных открепительных удостоверений	162	10	10	0	49	10	10	10	29	7	18	9					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																		
18	. Глазьев Сергей Юрьевич	63	2	3	0	9	1	3	1	25	0	16	3					
		1.42%	1.17%	0.87%	0.00%	2.03%	0.62%	0.74%	1.47%	1.87%	0.00%	1.83%	1.18%					
19	. Малышкин Олег Александрович	38	4	2	1	1	1	0	0	24	2	2	1					
		0.86%	2.34%	0.58%	0.93%	0.23%	0.62%	0.00%	0.00%	1.79%	0.76%	0.23%	0.39%					
20	. Миронов Сергей Михайлович	37	0	2	2	8	1	4	1	11	1	5	2					
		0.84%	0.00%	0.58%	1.87%	1.80%	0.62%	0.99%	1.47%	0.82%	0.38%	0.57%	0.78%					
21	. Путин Владимир Владимирович	3436	112	225	58	329	129	348	55	1080	193	700	207					
		77.54%	65.50%	65.22%	54.21%	74.10%	80.62%	86.14%	80.88%	80.66%	73.66%	79.91%	81.18%					
22	. Хакамада Ирина Муцуовна	180	3	14	1	17	8	10	0	46	30	44	7					
		4.06%	1.75%	4.06%	0.93%	3.83%	5.00%	2.48%	0.00%	3.44%	11.45%	5.02%	2.75%					
23	. Харитонов Николай Михайлович	593	45	93	41	73	19	35	9	119	36	93	30					
		13.38%	26.32%	26.96%	38.32%	16.44%	11.88%	8.66%	13.24%	8.89%	13.74%	10.62%	11.76%					
																		
24	Против всех	36	0	2	1	1	0	3	0	24	0	2	3					
		0.81%	0.00%	0.58%	0.93%	0.23%	0.00%	0.74%	0.00%	1.79%	0.00%	0.23%	1.18%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
