Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Дмитровский район																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №3051	УИК №3052					
1	"Число избирателей, внесенных в список"	54419	2135	2419	2447	2301	2510	2461	2263	1877	2680	2602	2394	2463	2767	2323	2505	2425	2579	2568	2365	2622	2887	2268	527	31					
2	Число полученных избирательных бюллетеней	48745	1907	2107	2197	2055	2183	2213	2030	1706	2425	2363	2150	2172	2473	2065	2246	2176	2275	2318	2077	2372	2628	2003	505	99					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	28040	1117	1157	1187	1180	1286	1287	1225	975	1313	1420	1200	1299	1403	1201	1408	1245	1228	1385	1334	1381	1448	1099	234	28					
5	"Число избирательных бюллетеней, выданных вне помещения"	934	25	28	29	31	46	20	18	13	47	25	24	43	30	28	26	49	31	35	32	29	53	13	256	3					
6	Число погашенных избирательных бюллетеней	19771	765	922	981	844	851	906	787	718	1065	918	926	830	1040	836	812	882	1016	898	711	962	1127	891	15	68					
7	Число избирательных бюллетеней в переносных ящиках	923	25	28	29	31	46	20	18	13	47	25	24	43	30	28	26	48	31	35	32	29	53	3	256	3					
8	Число бюллетеней в стационарных ящиках для голосования	27923	1117	1155	1158	1180	1240	1267	1225	975	1313	1420	1195	1299	1403	1199	1408	1245	1228	1372	1334	1381	1448	1099	234	28					
9	Число недействительных избирательных бюллетеней	296	11	11	9	8	19	17	21	14	4	16	16	13	13	15	9	14	11	13	10	19	17	14	2	0					
10	Число действительных избирательных бюллетеней	28550	1131	1172	1178	1203	1267	1270	1222	974	1356	1429	1203	1329	1420	1212	1425	1279	1248	1394	1356	1391	1484	1088	488	31					
11	Число полученных открепительных  удостоверений	1120	50	50	50	50	50	50	50	50	50	70	50	50	50	50	50	50	50	50	50	50	50	50	0	0					
12	Число выданных открепительных удостоверений	650	20	30	41	23	25	35	25	25	20	51	26	26	28	26	30	27	22	41	34	35	32	28	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	396	23	16	4	11	22	3	16	17	11	10	16	12	22	8	28	19	16	15	19	16	13	14	63	2					
14	Число неиспользованных открепительных удостоверений	470	30	20	9	27	25	15	25	25	30	19	24	24	22	24	20	23	28	9	16	15	18	22	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	27	0	2	2	1	0	0	1	1	1	2	4	2	0	0	3	3	2	1	1	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	1614	70	70	80	52	60	66	48	44	94	74	49	75	71	83	81	87	67	86	89	84	100	58	25	1					
		5.60%	6.13%	5.92%	6.74%	4.29%	4.67%	5.13%	3.86%	4.45%	6.91%	5.12%	4.02%	5.59%	4.95%	6.76%	5.65%	6.73%	5.32%	6.11%	6.52%	5.96%	6.66%	5.26%	5.10%	3.23%					
19	. Малышкин Олег Александрович	408	10	22	18	17	20	32	18	12	10	23	17	14	25	19	14	17	24	15	11	28	18	18	6	0					
		1.41%	0.88%	1.86%	1.52%	1.40%	1.56%	2.49%	1.45%	1.21%	0.74%	1.59%	1.39%	1.04%	1.74%	1.55%	0.98%	1.31%	1.91%	1.07%	0.81%	1.99%	1.20%	1.63%	1.22%	0.00%					
20	. Миронов Сергей Михайлович	162	7	4	3	5	12	5	6	4	4	5	8	6	8	5	11	7	7	7	17	9	12	4	6	0					
		0.56%	0.61%	0.34%	0.25%	0.41%	0.93%	0.39%	0.48%	0.40%	0.29%	0.35%	0.66%	0.45%	0.56%	0.41%	0.77%	0.54%	0.56%	0.50%	1.24%	0.64%	0.80%	0.36%	1.22%	0.00%					
21	. Путин Владимир Владимирович	20716	821	880	836	876	916	929	934	768	918	1021	897	978	1049	878	1063	918	861	981	951	982	1065	799	367	28					
		71.82%	71.89%	74.39%	70.43%	72.34%	71.23%	72.18%	75.14%	77.73%	67.50%	70.66%	73.58%	72.88%	73.20%	71.56%	74.13%	71.00%	68.39%	69.72%	69.62%	69.65%	70.95%	72.50%	74.90%	90.32%					
22	. Хакамада Ирина Муцуовна	1725	67	61	63	71	112	94	64	54	111	89	58	68	61	54	77	74	85	105	100	88	96	55	18	0					
		5.98%	5.87%	5.16%	5.31%	5.86%	8.71%	7.30%	5.15%	5.47%	8.16%	6.16%	4.76%	5.07%	4.26%	4.40%	5.37%	5.72%	6.75%	7.46%	7.32%	6.24%	6.40%	4.99%	3.67%	0.00%					
23	. Харитонов Николай Михайлович	2215	75	69	99	111	77	74	83	39	117	114	97	112	119	115	110	117	100	109	116	110	126	86	40	0					
		7.68%	6.57%	5.83%	8.34%	9.17%	5.99%	5.75%	6.68%	3.95%	8.60%	7.89%	7.96%	8.35%	8.30%	9.37%	7.67%	9.05%	7.94%	7.75%	8.49%	7.80%	8.39%	7.80%	8.16%	0.00%					
																															
24	Против всех	1710	81	66	79	71	70	70	69	53	102	103	77	76	87	58	69	59	104	91	72	90	67	68	26	2					
		5.93%	7.09%	5.58%	6.66%	5.86%	5.44%	5.44%	5.55%	5.36%	7.50%	7.13%	6.32%	5.66%	6.07%	4.73%	4.81%	4.56%	8.26%	6.47%	5.27%	6.38%	4.46%	6.17%	5.31%	6.45%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
