Выборы Президента Российской Федерации								
								
Наименование Избирательной комиссии:    Алеутская								
								
Итоги голосования 								
								
		Сумма	УИК  173					
1	"Число избирателей, внесенных в список"	590	590					
2	Число полученных избирательных бюллетеней	600	600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	386	386					
5	"Число избирательных бюллетеней, выданных вне помещения"	13	13					
6	Число погашенных избирательных бюллетеней	201	201					
7	Число избирательных бюллетеней в переносных ящиках	13	13					
8	Число бюллетеней в стационарных ящиках для голосования	386	386					
9	Число недействительных избирательных бюллетеней	1	1					
10	Число действительных избирательных бюллетеней	398	398					
11	Число полученных открепительных  удостоверений	148	148					
12	Число выданных открепительных удостоверений	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0					
14	Число неиспользованных открепительных удостоверений	146	146					
15	"Число открепительных удостоверений, выданных в ТИК"	2	2					
16	Число утраченных избирательных бюллетеней	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0					
"Число голосов избирателей, поданных за каждый список"								
18	. Глазьев Сергей Юрьевич	8	8					
		2.01%	2.01%					
19	. Малышкин Олег Александрович	8	8					
		2.01%	2.01%					
20	. Миронов Сергей Михайлович	1	1					
		0.25%	0.25%					
21	. Путин Владимир Владимирович	344	344					
		86.22%	86.22%					
22	. Хакамада Ирина Муцуовна	15	15					
		3.76%	3.76%					
23	. Харитонов Николай Михайлович	16	16					
		4.01%	4.01%					
								
24	Против всех	6	6					
		1.50%	1.50%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
