Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Добровская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471					
1	"Число избирателей, внесенных в список"	20224	296	914	972	223	247	832	258	593	749	732	494	882	1569	510	457	736	745	584	1376	351	649	522	958	194	1284	759	777	1561					
2	Число полученных избирательных бюллетеней	20027	284	903	959	219	242	813	237	584	733	734	488	858	1584	503	449	727	743	587	1362	345	649	522	956	195	1255	775	772	1549					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12485	194	432	541	118	147	470	149	348	345	422	394	519	900	345	215	459	490	375	964	278	475	376	563	138	897	440	509	982					
5	"Число избирательных бюллетеней, выданных вне помещения"	3798	75	230	246	71	51	153	59	114	262	201	56	241	135	110	156	110	181	156	211	47	126	66	253	34	118	97	69	170					
6	Число погашенных избирательных бюллетеней	3744	15	241	172	30	44	190	29	122	126	111	38	98	549	48	78	158	72	56	187	20	48	80	140	23	240	238	194	397					
7	Число избирательных бюллетеней в переносных ящиках	3798	75	230	246	71	51	153	59	114	262	201	56	241	135	110	156	110	181	156	211	47	126	66	253	34	118	97	69	170					
8	Число бюллетеней в стационарных ящиках для голосования	12485	194	432	541	118	147	470	149	348	345	422	394	519	900	345	215	459	490	375	964	278	475	376	563	138	897	440	509	982					
9	Число недействительных избирательных бюллетеней	199	1	8	5	2	3	4	3	2	6	2	3	12	21	14	4	12	7	2	22	11	0	13	7	0	9	8	3	15					
10	Число действительных избирательных бюллетеней	16084	268	654	782	187	195	619	205	460	601	621	447	748	1014	441	367	557	664	529	1153	314	601	429	809	172	1006	529	575	1137					
