Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Ленинская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793					
1	"Число избирателей, внесенных в список"	78670	2260	1653	1901	2072	2026	1670	1392	1097	1170	1900	1875	1361	2127	1112	2040	2707	2350	1041	2312	1173	1497	1529	1618	1570	2183	2044	2232	2003	2177	1970	1477	2591	2046	2351	2239	1972	2135	2055	2295	2514	694	264	704	365	335	571					
2	Число полученных избирательных бюллетеней	79295	2445	1630	1750	2100	2150	1790	1325	1070	1165	1810	1800	1300	2300	1060	2030	2790	2375	1080	2335	1260	1440	1480	1600	1605	2160	2000	2240	2000	2180	2000	1550	2550	2030	2400	2200	2075	2180	2230	2280	2500	650	300	750	400	350	580					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	62502	1641	1309	1515	1824	1608	1294	1068	894	928	1667	1395	999	1812	805	1619	1946	1791	703	1746	1038	1064	1365	1337	1502	1689	1620	1874	1818	1905	1698	1086	2030	1741	1797	1650	1607	1600	1556	1807	1952	622	157	429	238	185	571					
5	"Число избирательных бюллетеней, выданных вне помещения"	7702	555	215	112	95	258	136	91	137	193	129	367	147	264	213	208	172	314	103	364	54	224	93	120	5	281	249	117	119	105	82	141	87	137	224	119	159	99	225	121	199	10	107	275	127	150	0					
6	Число погашенных избирательных бюллетеней	9091	249	106	123	181	284	360	166	39	44	14	38	154	224	42	203	672	270	274	225	168	152	22	143	98	190	131	249	63	170	220	323	433	152	379	431	309	481	449	352	349	18	36	46	35	15	9					
7	Число избирательных бюллетеней в переносных ящиках	7702	555	215	112	95	258	136	91	137	193	129	367	147	264	213	208	172	314	103	364	54	224	93	120	5	281	249	117	119	105	82	141	87	137	224	119	159	99	225	121	199	10	107	275	127	150	0					
8	Число бюллетеней в стационарных ящиках для голосования	62460	1641	1309	1513	1824	1608	1294	1068	894	928	1667	1395	999	1812	805	1618	1946	1791	703	1746	1038	1028	1365	1337	1502	1689	1620	1874	1818	1902	1698	1086	2030	1741	1797	1650	1607	1600	1556	1807	1952	622	157	429	238	185	571					
9	Число недействительных избирательных бюллетеней	405	17	1	8	0	46	0	20	0	0	9	3	4	0	0	36	12	13	2	7	4	7	1	10	5	8	11	4	4	28	3	13	10	0	16	10	4	41	0	4	22	0	14	3	5	0	0					
10	Число действительных избирательных бюллетеней	69757	2179	1523	1617	1919	1820	1430	1139	1031	1121	1787	1759	1142	2076	1018	1790	2106	2092	804	2103	1088	1245	1457	1447	1502	1962	1858	1987	1933	1979	1777	1214	2107	1878	2005	1759	1762	1658	1781	1924	2129	632	250	701	360	335	571					
11	Число полученных открепительных  удостоверений	2735	70	70	60	60	85	60	110	60	60	60	60	60	80	60	60	60	75	60	100	80	60	60	60	60	60	75	80	60	60	60	60	70	60	90	70	60	60	60	60	60	60	0	0	0	0	0					
12	Число выданных открепительных удостоверений	2132	65	64	51	55	67	47	82	30	48	60	46	40	80	15	58	48	62	29	80	65	45	30	47	41	52	75	63	51	60	29	43	58	51	87	55	31	53	36	60	60	13	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2505	20	19	144	27	63	58	92	32	50	24	79	106	27	15	23	25	20	23	74	23	71	361	45	34	36	37	41	10	27	21	10	41	14	24	18	23	23	26	21	34	71	34	204	65	175	95					
14	Число неиспользованных открепительных удостоверений	603	5	6	9	5	18	13	28	30	12	0	14	20	0	45	2	12	13	31	20	15	15	30	13	19	8	0	17	9	0	31	17	12	9	3	15	29	7	24	0	0	47	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																					
18	. Глазьев Сергей Юрьевич	1567	19	14	68	21	18	19	20	31	11	8	22	29	9	12	52	89	52	53	33	55	37	41	24	41	67	65	21	21	39	10	36	80	39	75	79	49	59	36	59	27	13	0	3	4	6	1					
		2.23%	0.87%	0.92%	4.18%	1.09%	0.96%	1.33%	1.73%	3.01%	0.98%	0.45%	1.25%	2.53%	0.43%	1.18%	2.85%	4.20%	2.47%	6.58%	1.56%	5.04%	2.96%	2.81%	1.65%	2.72%	3.40%	3.48%	1.05%	1.08%	1.94%	0.56%	2.93%	3.78%	2.08%	3.71%	4.47%	2.77%	3.47%	2.02%	3.06%	1.26%	2.06%	0.00%	0.43%	1.10%	1.79%	0.18%					
19	. Малышкин Олег Александрович	691	4	0	19	17	10	11	12	10	3	3	4	11	6	6	28	36	18	3	18	12	14	31	7	25	33	20	18	12	12	2	28	32	9	29	20	23	24	35	36	32	12	0	2	4	0	0					
		0.98%	0.18%	0.00%	1.17%	0.89%	0.54%	0.77%	1.04%	0.97%	0.27%	0.17%	0.23%	0.96%	0.29%	0.59%	1.53%	1.70%	0.86%	0.37%	0.85%	1.10%	1.12%	2.13%	0.48%	1.66%	1.68%	1.07%	0.90%	0.62%	0.60%	0.11%	2.28%	1.51%	0.48%	1.43%	1.13%	1.30%	1.41%	1.97%	1.87%	1.49%	1.90%	0.00%	0.28%	1.10%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	292	48	4	10	9	9	2	3	4	2	5	2	4	3	6	7	9	5	2	1	3	5	7	5	11	10	7	12	2	2	3	4	12	22	7	3	4	4	5	9	14	4	0	1	0	0	1					
		0.42%	2.19%	0.26%	0.62%	0.47%	0.48%	0.14%	0.26%	0.39%	0.18%	0.28%	0.11%	0.35%	0.14%	0.59%	0.38%	0.42%	0.24%	0.25%	0.05%	0.27%	0.40%	0.48%	0.34%	0.73%	0.51%	0.37%	0.60%	0.10%	0.10%	0.17%	0.33%	0.57%	1.17%	0.35%	0.17%	0.23%	0.24%	0.28%	0.47%	0.65%	0.63%	0.00%	0.14%	0.00%	0.00%	0.18%					
21	. Путин Владимир Владимирович	58984	2026	1373	1151	1751	1643	1316	959	886	936	1626	1603	942	1917	947	1479	1557	1633	653	1884	828	1036	1240	1345	1210	1644	1532	1628	1727	1755	1637	967	1577	1633	1595	1257	1356	1263	1427	1569	1856	527	243	648	335	309	558					
