Выборы Президента Российской Федерации											
											
Наименование Избирательной комиссии:    Светловская поселковая											
											
Итоги голосования 											
											
		Сумма	УИК №1620	УИК №1621	УИК №1622	УИК №1623					
1	"Число избирателей, внесенных в список"	10170	2764	2216	3124	2066					
2	Число полученных избирательных бюллетеней	9526	2625	2133	2861	1907					
3	"Число избирательных бюллетеней, выданных  досрочно"	737	34	28	641	34					
4	"Число избирательных бюллетеней, выданных в день голосования"	6768	1828	1458	2041	1441					
5	"Число избирательных бюллетеней, выданных вне помещения"	108	21	14	67	6					
6	Число погашенных избирательных бюллетеней	1913	742	633	112	426					
7	Число избирательных бюллетеней в переносных ящиках	844	55	42	707	40					
8	Число бюллетеней в стационарных ящиках для голосования	6764	1826	1457	2040	1441					
9	Число недействительных избирательных бюллетеней	59	15	17	12	15					
10	Число действительных избирательных бюллетеней	7549	1866	1482	2735	1466					
11	Число полученных открепительных  удостоверений	285	71	71	72	71					
12	Число выданных открепительных удостоверений	138	52	30	28	28					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	30	6	4	0	20					
14	Число неиспользованных открепительных удостоверений	147	19	41	44	43					
15	"Число открепительных удостоверений, выданных в ТИК"	15	0	3	10	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"											
18	. Глазьев Сергей Юрьевич	195	62	49	20	64					
		2.56%	3.30%	3.27%	0.73%	4.32%					
19	. Малышкин Олег Александрович	189	55	36	65	33					
		2.48%	2.92%	2.40%	2.37%	2.23%					
20	. Миронов Сергей Михайлович	45	13	12	14	6					
		0.59%	0.69%	0.80%	0.51%	0.41%					
21	. Путин Владимир Владимирович	5857	1362	1066	2392	1037					
		76.98%	72.41%	71.11%	87.08%	70.02%					
22	. Хакамада Ирина Муцуовна	241	81	54	57	49					
		3.17%	4.31%	3.60%	2.07%	3.31%					
23	. Харитонов Николай Михайлович	577	193	168	57	159					
		7.58%	10.26%	11.21%	2.07%	10.74%					
											
24	Против всех	445	100	97	130	118					
		5.85%	5.32%	6.47%	4.73%	7.97%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
