Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Волоконовская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440					
1	"Число избирателей, внесенных в список"	28009	1864	1638	1873	1156	1404	993	1121	1885	1966	683	590	324	302	127	258	505	172	547	793	158	196	815	251	370	184	341	277	871	326	394	419	705	392	785	355	531	119	657	110	340	321	233	658					
2	Число полученных избирательных бюллетеней	28097	1884	1639	1883	1163	1404	990	1127	1889	1977	684	593	324	303	128	259	511	173	544	796	160	197	817	251	374	186	342	279	876	326	395	419	709	395	787	357	532	122	657	111	341	323	234	636					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20310	1268	1085	1310	808	1026	726	871	1364	1414	464	455	196	206	102	103	407	136	292	606	95	179	584	211	349	155	231	161	640	264	273	295	545	333	678	288	365	42	476	78	266	236	200	527					
5	"Число избирательных бюллетеней, выданных вне помещения"	3137	109	82	101	67	76	68	68	120	70	131	107	120	91	12	119	53	23	187	115	58	6	69	34	16	27	96	105	111	33	74	65	98	37	43	43	140	75	82	18	58	39	19	72					
6	Число погашенных избирательных бюллетеней	4650	507	472	472	288	302	196	188	405	493	89	31	8	6	14	37	51	14	65	75	7	12	164	6	9	4	15	13	125	29	48	59	66	25	66	26	27	5	99	15	17	48	15	37					
7	Число избирательных бюллетеней в переносных ящиках	3137	109	82	101	67	76	68	68	120	70	131	107	120	91	12	119	53	23	187	115	58	6	69	34	16	27	96	105	111	33	74	65	98	37	43	43	140	75	82	18	58	39	19	72					
8	Число бюллетеней в стационарных ящиках для голосования	20310	1268	1085	1310	808	1026	726	871	1364	1414	464	455	196	206	102	103	407	136	292	606	95	179	584	211	349	155	231	161	640	264	273	295	545	333	678	288	365	42	476	78	266	236	200	527					
9	Число недействительных избирательных бюллетеней	222	6	12	16	4	8	7	7	5	13	3	3	4	1	2	1	21	1	2	7	0	2	5	5	2	0	12	2	6	4	0	1	3	0	9	2	19	10	2	0	5	3	0	7					
10	Число действительных избирательных бюллетеней	23225	1371	1155	1395	871	1094	787	932	1479	1471	592	559	312	296	112	221	439	158	477	714	153	183	648	240	363	182	315	264	745	293	347	359	640	370	712	329	486	107	556	96	319	272	219	592					
11	Число полученных открепительных  удостоверений	299	20	20	20	15	20	10	14	20	20	5	4	4	3	3	3	5	3	5	4	3	3	5	3	4	3	4	3	10	3	4	4	5	4	5	3	6	1	10	3	4	3	3	5					
