Выборы Президента Российской Федерации																																											
Дата голосования: 02.03.2008																																											
																																											
Наименование Избирательной комиссии:    район Орехово-Борисово Южное																																											
																																											
Сводная таблица результатов выборов																																											
																																											
	Число участковых избирательных комиссий	36																																									
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	36																																									
																																											
		Сумма	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913					
1	"Число избирателей, включенных в списки избирателей"	89888	2716	2608	2621	2787	1925	2207	2026	1945	2297	2439	2624	2429	2316	2582	2764	2222	2264	2256	2418	2143	2858	2555	2661	2548	2804	2567	2714	2754	2670	2176	2789	2424	2861	2731	2439	2748					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	75800	2300	2600	2600	2400	1800	1900	1800	1900	1900	2300	2100	2000	1900	2050	2150	1800	1800	1700	1950	1750	2300	2100	2200	2300	2200	2100	2200	2250	2200	1800	2300	2000	2500	2400	2000	2250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	68846	2201	2100	2140	2235	1379	1791	1589	1608	1862	1971	1672	1902	1617	2014	2117	1384	1160	1537	1829	1641	2248	1994	1780	2012	2163	2072	2152	2163	2096	1760	2276	1940	2272	2205	1859	2105					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	1272	26	40	48	28	36	24	65	36	20	20	43	40	52	33	30	36	38	44	26	46	39	56	67	52	32	22	19	51	42	7	2	25	35	49	27	16					
6	Число погашенных избирательных бюллетеней	5682	73	460	412	137	385	85	146	256	18	309	385	58	231	3	3	380	602	119	95	63	13	50	353	236	5	6	29	36	62	33	22	35	193	146	114	129					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1272	26	40	48	28	36	24	65	36	20	20	43	40	52	33	30	36	38	44	26	46	39	56	67	52	32	22	19	51	42	7	2	25	35	49	27	16					
8	Число бюллетеней в стационарных ящиках для голосования	68439	2201	2060	2090	2235	1374	1791	1580	1608	1841	1971	1672	1902	1617	2014	2117	1348	1152	1502	1780	1641	2248	1994	1770	1952	2154	2072	2152	2163	2090	1757	2276	1936	2272	2198	1849	2060					
9	Число недействительных избирательных бюллетеней	1195	43	52	14	21	9	37	52	21	34	21	32	38	42	42	44	40	32	34	21	37	32	22	29	11	46	110	41	25	12	22	2	30	41	23	40	43					
10	Число действительных избирательных бюллетеней	68516	2184	2048	2124	2242	1401	1778	1593	1623	1827	1970	1683	1904	1627	2005	2103	1344	1158	1512	1785	1650	2255	2028	1808	1993	2140	1984	2130	2189	2120	1742	2276	1931	2266	2224	1836	2033					
11	Число полученных открепительных  удостоверений	2398	60	40	50	65	50	60	45	60	50	85	70	55	70	70	70	50	50	80	50	50	100	75	85	70	60	60	70	90	70	70	90	60	90	78	70	80					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2174	51	40	50	53	42	50	44	49	44	85	70	51	69	64	61	49	46	75	48	43	89	65	83	59	43	57	66	80	64	67	84	60	77	71	55	70					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1726	45	41	37	97	26	105	25	24	49	20	46	29	27	112	172	117	71	22	45	25	46	28	44	44	35	51	21	39	43	22	33	40	34	40	34	37					
14	Число неиспользованных открепительных удостоверений	224	9	0	0	12	8	10	1	11	6	0	0	4	1	6	9	1	4	5	2	7	11	10	2	11	17	3	4	10	6	3	6	0	13	7	15	10					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	428	20	11	15	13	4	7	7	2	15	9	19	7	13	6	20	8	12	13	13	9	19	8	12	24	16	10	11	14	12	8	12	11	11	18	7	12					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	Богданов Андрей Владимирович	1054	43	43	15	35	4	29	17	23	44	8	46	32	28	33	46	43	35	32	19	26	36	29	24	9	36	29	29	10	7	25	16	27	45	19	40	72					
		1.51%	1.93%	2.05%	0.70%	1.55%	0.28%	1.60%	1.03%	1.40%	2.36%	0.40%	2.68%	1.65%	1.68%	1.61%	2.14%	3.11%	2.94%	2.07%	1.05%	1.54%	1.57%	1.41%	1.31%	0.45%	1.65%	1.38%	1.34%	0.45%	0.33%	1.42%	0.70%	1.38%	1.95%	0.85%	2.13%	3.47%					
19	Жириновский Владимир Вольфович	4704	126	146	204	118	53	164	97	112	90	87	171	96	256	105	170	132	94	146	107	86	121	133	92	92	136	211	233	152	92	140	101	140	177	107	116	101					
		6.75%	5.66%	6.95%	9.54%	5.21%	3.76%	9.04%	5.90%	6.81%	4.84%	4.37%	9.97%	4.94%	15.34%	5.13%	7.92%	9.54%	7.90%	9.44%	5.92%	5.10%	5.29%	6.49%	5.01%	4.59%	6.22%	10.08%	10.73%	6.87%	4.32%	7.94%	4.43%	7.14%	7.67%	4.76%	6.18%	4.87%					
20	Зюганов Геннадий Андреевич	10936	333	253	255	365	260	247	195	261	362	358	427	342	500	304	304	253	281	229	247	311	380	325	303	344	293	147	239	343	456	167	408	236	281	372	226	329					
