Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    район Орехово-Борисово Южное																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881					
1	"Число избирателей, внесенных в список"	87621	2690	2666	2656	2721	1954	2119	2201	1913	2288	2325	2550	2499	2392	2360	2299	2180	2124	2347	2202	2095	2831	2395	2757	2828	2584	2453	2609	2227	2608	2759	2747	2342	2459	2374	2318	2749					
2	Число полученных избирательных бюллетеней	80500	2500	2500	2500	2500	2000	2000	2000	2000	2000	2000	2500	2500	2500	2500	2000	2000	2000	2000	2000	2000	2500	2000	2500	2500	2500	2000	2500	2000	2500	2500	2500	2000	2000	2000	2000	2500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	49249	1456	1536	1459	1716	1068	1111	1258	1081	1260	1290	1665	1634	1448	1477	1360	1138	1219	1411	1318	1194	1467	1349	1401	1470	1420	1268	1353	1229	1519	1440	1437	1340	1353	1310	1250	1544					
5	"Число избирательных бюллетеней, выданных вне помещения"	1048	18	54	32	44	21	30	48	30	14	24	48	35	44	38	10	23	22	24	12	49	40	36	42	20	24	24	28	21	39	25	10	30	16	21	36	16					
6	Число погашенных избирательных бюллетеней	30203	1026	910	1009	740	911	859	694	889	726	686	787	831	1008	985	630	839	759	565	670	757	993	615	1057	1010	1056	708	1119	750	942	1035	1053	630	631	669	714	940					
7	Число избирательных бюллетеней в переносных ящиках	1048	18	54	32	44	21	30	48	30	14	24	48	35	44	38	10	23	22	24	12	49	40	36	42	20	24	24	28	21	39	25	10	30	16	21	36	16					
8	Число бюллетеней в стационарных ящиках для голосования	49082	1456	1480	1459	1716	1063	1098	1256	1079	1257	1290	1659	1634	1448	1477	1357	1133	1218	1411	1318	1183	1467	1313	1398	1469	1417	1268	1352	1229	1518	1440	1436	1340	1353	1306	1249	1535					
9	Число недействительных избирательных бюллетеней	447	21	10	21	18	15	6	7	3	26	15	9	13	20	12	8	5	10	11	8	4	0	13	8	19	23	13	9	18	12	14	10	15	13	9	16	13					
10	Число действительных избирательных бюллетеней	49683	1453	1524	1470	1742	1069	1122	1297	1106	1245	1299	1698	1656	1472	1503	1359	1151	1230	1424	1322	1228	1507	1336	1432	1470	1418	1279	1371	1232	1545	1451	1436	1355	1356	1318	1269	1538					
