Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Кандалакшская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227					
11	Число полученных открепительных  удостоверений	1370	40	50	50	50	40	40	50	50	40	50	10	30	40	50	50	20	20	40	30	30	15	50	50	40	15	30	30	15	20	40	40	30	50	40	15	15	15	15	15	15	15	20					
12	Число выданных открепительных удостоверений	280	8	17	9	11	6	4	10	19	12	13	1	1	11	6	14	0	3	12	2	3	0	6	6	8	1	7	3	5	7	37	3	4	14	8	1	0	4	0	0	0	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	156	10	11	9	3	4	0	3	13	4	3	0	0	7	7	4	5	3	4	13	0	0	2	2	0	3	6	0	0	1	1	0	1	3	3	10	0	0	12	1	2	2	4					
14	Число неиспользованных открепительных удостоверений	1090	32	33	41	39	34	36	40	31	28	37	9	29	29	44	36	20	17	28	28	27	15	44	44	32	14	23	27	10	13	3	37	26	36	32	14	15	11	15	15	15	15	16					
15	"Число открепительных удостоверений, выданных в ТИК"	23	2	1	1	3	1	0	0	1	0	2	0	1	0	1	3	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	929	41	61	63	52	33	24	46	56	32	53	2	9	38	47	37	3	4	22	9	11	2	62	23	17	2	7	11	1	3	6	13	6	45	44	9	5	5	0	0	5	4	16					
		3.39%	4.05%	4.49%	4.43%	4.53%	4.38%	4.07%	3.19%	4.15%	3.43%	4.56%	4.26%	3.14%	3.89%	4.03%	3.12%	0.85%	1.65%	3.41%	2.15%	3.30%	2.53%	4.70%	2.23%	2.13%	5.41%	2.37%	2.79%	0.90%	0.70%	0.85%	1.91%	1.31%	4.23%	4.59%	3.20%	2.94%	0.79%	0.00%	0.00%	4.10%	2.68%	4.15%					
19	. Малышкин Олег Александрович	659	21	35	34	29	24	10	32	39	25	34	0	2	18	27	23	7	9	24	4	8	1	30	31	31	2	6	7	2	6	14	13	4	39	32	5	7	6	9	1	1	3	4					
		2.41%	2.07%	2.58%	2.39%	2.53%	3.18%	1.69%	2.22%	2.89%	2.68%	2.93%	0.00%	0.70%	1.84%	2.31%	1.94%	1.99%	3.72%	3.72%	0.95%	2.40%	1.27%	2.27%	3.00%	3.89%	5.41%	2.03%	1.78%	1.80%	1.40%	1.98%	1.91%	0.87%	3.67%	3.34%	1.78%	4.12%	0.95%	2.35%	1.45%	0.82%	2.01%	1.04%					
20	. Миронов Сергей Михайлович	332	16	19	15	16	7	9	13	25	12	13	0	6	14	23	19	6	4	5	4	4	0	24	12	8	0	2	2	0	5	6	5	3	6	11	2	1	2	3	1	1	0	8					
		1.21%	1.58%	1.40%	1.06%	1.39%	0.93%	1.53%	0.90%	1.85%	1.29%	1.12%	0.00%	2.09%	1.43%	1.97%	1.60%	1.70%	1.65%	0.77%	0.95%	1.20%	0.00%	1.82%	1.16%	1.00%	0.00%	0.68%	0.51%	0.00%	1.17%	0.85%	0.73%	0.66%	0.56%	1.15%	0.71%	0.59%	0.32%	0.78%	1.45%	0.82%	0.00%	2.07%					
21	. Путин Владимир Владимирович	20044	701	903	1008	785	500	418	1022	913	664	785	43	223	722	799	860	316	202	473	340	277	57	838	684	580	30	238	274	91	383	647	595	419	772	641	247	136	585	342	62	78	114	277					
		73.20%	69.20%	66.45%	70.94%	68.38%	66.31%	70.85%	70.78%	67.58%	71.17%	67.56%	91.49%	77.70%	73.98%	68.47%	72.45%	89.77%	83.47%	73.22%	81.15%	83.18%	72.15%	63.53%	66.28%	72.77%	81.08%	80.68%	69.54%	81.98%	89.28%	91.64%	87.24%	91.48%	72.56%	66.84%	87.90%	80.00%	92.86%	89.30%	89.86%	63.93%	76.51%	71.76%					
22	. Хакамада Ирина Муцуовна	1101	54	85	52	69	40	19	77	75	47	57	1	8	39	59	40	2	8	28	14	8	1	46	28	20	0	5	7	1	5	10	15	6	56	69	6	2	4	3	0	5	5	25					
		4.02%	5.33%	6.25%	3.66%	6.01%	5.31%	3.22%	5.33%	5.55%	5.04%	4.91%	2.13%	2.79%	4.00%	5.06%	3.37%	0.57%	3.31%	4.33%	3.34%	2.40%	1.27%	3.49%	2.71%	2.51%	0.00%	1.69%	1.78%	0.90%	1.17%	1.42%	2.20%	1.31%	5.26%	7.19%	2.14%	1.18%	0.63%	0.78%	0.00%	4.10%	3.36%	6.48%					
23	. Харитонов Николай Михайлович	3169	131	189	196	137	110	87	176	157	100	177	1	22	102	156	145	14	6	66	38	18	12	278	219	113	3	26	74	14	16	10	22	16	108	111	8	14	17	5	3	21	17	34					
		11.57%	12.93%	13.91%	13.79%	11.93%	14.59%	14.75%	12.19%	11.62%	10.72%	15.23%	2.13%	7.67%	10.45%	13.37%	12.22%	3.98%	2.48%	10.22%	9.07%	5.41%	15.19%	21.08%	21.22%	14.18%	8.11%	8.81%	18.78%	12.61%	3.73%	1.42%	3.23%	3.49%	10.15%	11.57%	2.85%	8.24%	2.70%	1.31%	4.35%	17.21%	11.41%	8.81%					
																																																	
24	Против всех	1008	38	59	47	60	38	20	72	80	50	37	0	12	41	50	51	2	8	26	10	5	6	36	26	19	0	7	12	1	9	13	16	3	35	50	4	5	10	15	2	9	6	18					
		3.68%	3.75%	4.34%	3.31%	5.23%	5.04%	3.39%	4.99%	5.92%	5.36%	3.18%	0.00%	4.18%	4.20%	4.28%	4.30%	0.57%	3.31%	4.02%	2.39%	1.50%	7.59%	2.73%	2.52%	2.38%	0.00%	2.37%	3.05%	0.90%	2.10%	1.84%	2.35%	0.66%	3.29%	5.21%	1.42%	2.94%	1.59%	3.92%	2.90%	7.38%	4.03%	4.66%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
