Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Снежинская городская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268					
1	"Число избирателей, внесенных в список"	41062	1708	2610	1602	1905	2955	1725	2914	2749	2956	2894	2673	2799	2891	2955	2581	2274	622	249					
2	Число полученных избирательных бюллетеней	40090	1700	2600	1400	1900	3000	1700	2800	2600	2900	2900	2600	2800	2900	3000	2500	2000	550	240					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25451	1085	1557	911	1173	1723	1097	1792	1580	1965	1997	1739	1706	1829	1926	1711	1241	296	123					
5	"Число избирательных бюллетеней, выданных вне помещения"	1197	59	76	172	38	38	26	35	32	40	50	31	28	46	34	14	388	73	17					
6	Число погашенных избирательных бюллетеней	13442	556	967	317	689	1239	577	973	988	895	853	830	1066	1025	1040	775	371	181	100					
7	Число избирательных бюллетеней в переносных ящиках	1198	59	76	172	38	38	27	35	32	40	50	31	28	46	34	14	388	73	17					
8	Число бюллетеней в стационарных ящиках для голосования	25430	1083	1557	911	1173	1721	1094	1788	1580	1963	1995	1738	1706	1827	1925	1709	1241	296	123					
9	Число недействительных избирательных бюллетеней	163	6	7	8	4	4	20	10	8	12	19	7	4	7	24	4	15	2	2					
10	Число действительных избирательных бюллетеней	26465	1136	1626	1075	1207	1755	1101	1813	1604	1991	2026	1762	1730	1866	1935	1719	1614	367	138					
11	Число полученных открепительных  удостоверений	595	20	30	20	25	30	20	40	40	40	40	40	40	30	40	40	80	10	10					
12	Число выданных открепительных удостоверений	504	20	25	20	22	30	19	27	38	28	31	32	30	29	38	24	77	10	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	295	5	2	101	6	5	8	6	18	8	3	18	6	5	5	19	26	49	5					
14	Число неиспользованных открепительных удостоверений	91	0	5	0	3	0	1	13	2	12	9	8	10	1	2	16	3	0	6					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	1325	75	93	70	52	87	49	110	67	134	95	77	90	112	94	76	27	15	2					
		4.98%	6.57%	5.70%	6.46%	4.29%	4.95%	4.37%	6.03%	4.16%	6.69%	4.65%	4.35%	5.19%	5.98%	4.80%	4.41%	1.66%	4.07%	1.43%					
19	. Малышкин Олег Александрович	480	22	26	21	17	31	25	33	31	29	32	39	31	28	34	29	26	18	8					
		1.80%	1.93%	1.59%	1.94%	1.40%	1.76%	2.23%	1.81%	1.92%	1.45%	1.56%	2.20%	1.79%	1.49%	1.74%	1.68%	1.60%	4.88%	5.71%					
20	. Миронов Сергей Михайлович	174	7	7	8	7	11	7	10	11	15	14	13	14	12	16	10	9	1	2					
		0.65%	0.61%	0.43%	0.74%	0.58%	0.63%	0.62%	0.55%	0.68%	0.75%	0.68%	0.73%	0.81%	0.64%	0.82%	0.58%	0.55%	0.27%	1.43%					
21	. Путин Владимир Владимирович	17973	737	1092	684	809	1219	745	1232	1131	1294	1335	1194	1169	1242	1289	1167	1277	248	109					
		67.50%	64.54%	66.87%	63.16%	66.80%	69.30%	66.46%	67.58%	70.16%	64.60%	65.28%	67.50%	67.42%	66.31%	65.80%	67.73%	78.39%	67.21%	77.86%					
22	. Хакамада Ирина Муцуовна	1881	78	130	92	86	111	73	116	100	158	166	144	101	137	151	148	70	15	5					
		7.06%	6.83%	7.96%	8.49%	7.10%	6.31%	6.51%	6.36%	6.20%	7.89%	8.12%	8.14%	5.82%	7.31%	7.71%	8.59%	4.30%	4.07%	3.57%					
23	. Харитонов Николай Михайлович	3095	162	200	145	162	215	137	226	175	239	250	157	220	202	242	155	146	52	10					
		11.62%	14.19%	12.25%	13.39%	13.38%	12.22%	12.22%	12.40%	10.86%	11.93%	12.22%	8.88%	12.69%	10.78%	12.35%	9.00%	8.96%	14.09%	7.14%					
																									
24	Против всех	1537	55	78	55	74	81	65	86	89	122	134	138	105	133	109	134	59	18	2					
		5.77%	4.82%	4.78%	5.08%	6.11%	4.60%	5.80%	4.72%	5.52%	6.09%	6.55%	7.80%	6.06%	7.10%	5.56%	7.78%	3.62%	4.88%	1.43%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
