		12.49%	12.73%	14.04%	12.16%	10.82%	12.39%	13.79%	13.77%	13.86%	13.32%	10.32%	12.88%	11.77%	18.62%	16.12%	11.53%	11.13%	13.50%	11.89%	12.33%	11.12%	13.80%	11.05%	13.88%	14.90%	12.99%	15.13%	17.13%	13.57%	13.57%	12.80%	11.73%	13.00%	13.88%	10.81%	12.72%	10.62%	10.36%	11.99%	12.87%	13.94%	12.79%	12.62%	11.63%	12.91%	11.65%	13.22%	11.30%	14.18%	11.91%	11.92%	12.18%	13.31%	16.59%	9.40%	12.92%	15.91%	11.63%	10.56%	10.42%	14.41%	12.48%	12.55%	11.38%	14.04%	13.50%	13.10%	11.44%	14.30%	15.78%	13.95%	13.31%	13.55%	13.68%	13.33%	12.16%	10.85%	10.88%	7.72%	10.27%	13.46%	10.78%	7.91%	9.66%	11.85%	6.88%	7.32%	12.90%	8.47%	9.18%	10.09%	12.47%	12.55%	11.26%	9.83%	15.06%	8.43%	12.12%	9.53%	11.54%	12.34%	13.10%	13.45%	16.55%	12.09%	12.01%	10.12%	12.50%	13.45%	10.27%	8.24%	15.11%	13.13%	13.12%	13.33%	9.28%	9.38%									
15	Жириновский Владимир Вольфович	6365	69	68	51	44	58	46	64	54	80	69	75	44	59	56	30	31	43	66	82	46	100	60	53	50	65	141	43	71	31	47	63	63	69	63	43	52	57	69	53	57	32	54	61	50	65	46	75	88	42	55	38	28	33	55	77	50	55	46	57	60	69	42	54	52	42	31	61	58	52	51	48	52	56	51	52	29	30	24	119	20	68	59	55	57	25	49	54	60	28	27	35	33	106	34	48	76	66	48	63	39	62	56	71	40	86	56	69	37	54	38	62	39	45	55	59	61									
		5.35%	6.55%	6.97%	5.08%	6.35%	6.20%	4.99%	4.82%	6.14%	7.01%	8.00%	5.68%	4.93%	5.52%	3.96%	5.16%	4.21%	4.64%	6.76%	6.69%	5.28%	6.57%	6.20%	4.72%	5.00%	4.33%	7.14%	4.47%	4.55%	2.53%	5.10%	5.56%	6.16%	5.29%	6.42%	4.45%	6.42%	5.96%	4.99%	4.52%	4.65%	3.35%	3.03%	4.22%	4.11%	5.61%	5.07%	8.31%	6.74%	5.50%	6.07%	5.44%	3.84%	3.86%	5.94%	6.10%	5.27%	5.71%	5.46%	6.12%	4.41%	5.22%	4.51%	5.39%	5.00%	3.46%	3.90%	5.72%	4.85%	3.51%	5.65%	4.60%	4.86%	5.55%	4.39%	4.90%	4.31%	3.33%	5.01%	6.86%	4.81%	4.17%	5.84%	5.01%	6.08%	3.91%	7.17%	5.40%	6.77%	5.35%	4.13%	8.08%	4.71%	6.63%	5.39%	4.76%	8.78%	7.76%	5.65%	6.80%	4.05%	6.71%	5.27%	6.22%	3.48%	7.38%	6.30%	6.12%	4.18%	5.84%	4.29%	4.96%	4.27%	4.72%	5.60%	6.15%	5.72%									
16	Путин Владимир Владимирович	86319	764	677	734	492	680	648	953	633	820	623	959	667	698	965	444	562	662	720	871	645	1084	715	805	702	1084	1388	627	1113	865	665	818	720	951	723	703	588	727	1025	830	864	694	1290	1074	893	851	664	628	884	565	658	507	532	578	681	902	638	685	627	671	972	928	694	752	720	865	576	773	826	1008	623	746	747	699	830	779	529	666	364	1291	306	1264	798	849	714	514	539	728	692	406	514	301	536	1206	485	726	664	595	658	688	710	636	775	751	856	832	651	819	616	691	704	878	665	642	706	733	847									
		72.50%	72.55%	69.36%	73.18%	70.99%	72.65%	70.36%	71.71%	71.93%	71.87%	72.27%	72.65%	74.78%	65.29%	68.25%	76.42%	76.26%	71.49%	73.77%	71.10%	73.97%	71.22%	73.86%	71.62%	70.20%	72.22%	70.24%	65.11%	71.25%	70.73%	72.13%	72.13%	70.38%	72.93%	73.70%	72.70%	72.59%	76.05%	74.06%	70.76%	70.42%	72.75%	72.35%	74.33%	73.44%	73.43%	73.13%	69.55%	67.74%	73.95%	72.63%	72.64%	72.98%	67.52%	73.54%	71.47%	67.23%	71.13%	74.38%	72.07%	71.47%	70.20%	74.46%	75.05%	69.23%	71.19%	72.54%	72.51%	69.06%	67.97%	68.99%	71.46%	69.81%	69.28%	71.37%	73.42%	78.60%	73.92%	75.99%	74.45%	73.56%	77.45%	78.93%	77.39%	76.20%	80.31%	78.92%	72.80%	78.10%	77.63%	78.59%	69.52%	76.46%	75.42%	76.86%	71.95%	76.67%	70.00%	77.41%	74.22%	73.65%	68.83%	72.91%	65.76%	74.43%	71.36%	73.23%	72.61%	69.60%	74.70%	79.46%	70.18%	72.76%	67.37%	71.82%	76.43%	79.46%									
17	Собчак Ксения Анатольевна	3729	17	35	36	27	26	31	40	22	25	27	36	22	40	67	9	23	29	24	42	29	40	34	36	29	52	54	50	46	63	18	35	25	40	21	32	25	24	46	56	48	43	90	51	42	26	21	29	41	16	22	17	18	33	27	33	38	44	28	27	40	45	25	25	36	62	23	37	43	61	34	43	45	36	57	44	13	45	23	33	14	30	18	24	16	20	13	31	16	10	19	11	11	25	17	17	11	33	21	17	33	31	32	54	45	33	29	34	45	29	25	39	25	47	23	22	12									
		3.13%	1.61%	3.59%	3.59%	3.90%	2.78%	3.37%	3.01%	2.50%	2.19%	3.13%	2.73%	2.47%	3.74%	4.74%	1.55%	3.12%	3.13%	2.46%	3.43%	3.33%	2.63%	3.51%	3.20%	2.90%	3.46%	2.73%	5.19%	2.94%	5.15%	1.95%	3.09%	2.44%	3.07%	2.14%	3.31%	3.09%	2.51%	3.32%	4.77%	3.91%	4.51%	5.05%	3.53%	3.45%	2.24%	2.31%	3.21%	3.14%	2.09%	2.43%	2.44%	2.47%	3.86%	2.92%	2.61%	4.00%	4.57%	3.32%	2.90%	2.94%	3.40%	2.68%	2.50%	3.46%	5.10%	2.90%	3.47%	3.60%	4.11%	3.77%	4.12%	4.21%	3.57%	4.90%	4.15%	1.93%	4.99%	4.80%	1.90%	3.37%	1.84%	1.78%	2.19%	1.71%	3.13%	1.90%	3.10%	1.81%	1.91%	2.91%	2.54%	1.57%	1.56%	2.69%	1.68%	1.27%	3.88%	2.47%	1.83%	3.42%	3.35%	3.01%	4.73%	3.91%	2.83%	3.26%	3.01%	5.08%	3.14%	2.82%	3.12%	2.74%	4.93%	2.34%	2.29%	1.13%									
18	Сурайкин Максим Александрович	890	8	8	3	7	8	6	11	7	8	6	9	3	11	8	3	4	5	18	14	12	13	4	12	4	11	11	10	14	3	12	9	10	9	14	5	8	10	10	6	9	6	8	3	8	11	9	18	16	12	4	7	5	12	10	9	13	6	7	4	10	8	10	5	8	4	2	8	8	16	6	7	5	13	2	4	5	3	6	17	9	9	4	9	4	8	3	4	6	1	4	8	5	11	2	9	2	4	6	7	10	6	6	8	5	10	9	4	9	8	6	4	10	6	10	1	5									
		0.75%	0.76%	0.82%	0.30%	1.01%	0.85%	0.65%	0.83%	0.80%	0.70%	0.70%	0.68%	0.34%	1.03%	0.57%	0.52%	0.54%	0.54%	1.84%	1.14%	1.38%	0.85%	0.41%	1.07%	0.40%	0.73%	0.56%	1.04%	0.90%	0.25%	1.30%	0.79%	0.98%	0.69%	1.43%	0.52%	0.99%	1.05%	0.72%	0.51%	0.73%	0.63%	0.45%	0.21%	0.66%	0.95%	0.99%	1.99%	1.23%	1.57%	0.44%	1.00%	0.69%	1.40%	1.08%	0.71%	1.37%	0.62%	0.83%	0.43%	0.74%	0.61%	1.07%	0.50%	0.77%	0.33%	0.25%	0.75%	0.67%	1.08%	0.66%	0.67%	0.47%	1.29%	0.17%	0.38%	0.74%	0.33%	1.25%	0.98%	2.16%	0.55%	0.40%	0.82%	0.43%	1.25%	0.44%	0.40%	0.68%	0.19%	0.61%	1.85%	0.71%	0.69%	0.32%	0.89%	0.23%	0.47%	0.71%	0.76%	1.04%	0.65%	0.56%	0.70%	0.43%	0.86%	1.01%	0.35%	1.02%	0.86%	0.68%	0.32%	1.09%	0.63%	1.02%	0.10%	0.47%									
19	Титов Борис Юрьевич	1669	12	9	13	11	7	18	24	10	11	13	17	14	23	27	5	7	10	6	10	13	17	6	17	8	22	18	18	28	27	15	20	17	6	8	9	5	12	22	25	18	13	30	25	19	13	12	6	11	13	10	10	16	15	19	15	17	12	14	13	14	19	13	12	22	17	22	16	22	29	12	16	27	15	22	15	11	23	10	16	3	23	4	10	13	8	5	13	8	9	13	4	9	22	12	13	7	10	6	5	22	18	17	24	23	19	14	17	13	11	8	19	13	16	14	4	6									
		1.40%	1.14%	0.92%	1.30%	1.59%	0.75%	1.95%	1.81%	1.14%	0.96%	1.51%	1.29%	1.57%	2.15%	1.91%	0.86%	0.95%	1.08%	0.61%	0.82%	1.49%	1.12%	0.62%	1.51%	0.80%	1.47%	0.91%	1.87%	1.79%	2.21%	1.63%	1.76%	1.66%	0.46%	0.82%	0.93%	0.62%	1.26%	1.59%	2.13%	1.47%	1.36%	1.68%	1.73%	1.56%	1.12%	1.32%	0.66%	0.84%	1.70%	1.10%	1.43%	2.19%	1.75%	2.05%	1.19%	1.79%	1.25%	1.66%	1.40%	1.03%	1.44%	1.39%	1.20%	2.12%	1.40%	2.77%	1.50%	1.84%	1.96%	1.33%	1.53%	2.52%	1.49%	1.89%	1.41%	1.63%	2.55%	2.09%	0.92%	0.72%	1.41%	0.40%	0.91%	1.39%	1.25%	0.73%	1.30%	0.90%	1.72%	1.99%	0.92%	1.28%	1.38%	1.90%	1.29%	0.81%	1.18%	0.71%	0.54%	2.28%	1.95%	1.60%	2.10%	2.00%	1.63%	1.57%	1.51%	1.47%	1.19%	0.90%	1.52%	1.42%	1.68%	1.42%	0.42%	0.56%									
20	Явлинский Григорий Алексеевич	2437	16	16	17	20	15	16	29	14	17	16	29	11	15	33	11	12	7	11	21	18	21	22	22	25	28	20	31	40	35	18	32	26	21	18	35	25	12	20	28	24	24	39	29	20	34	21	21	38	13	24	17	20	24	17	33	20	29	13	27	39	45	11	24	28	36	26	27	39	47	29	29	20	26	29	24	4	23	7	33	4	26	15	19	10	7	15	19	4	10	6	12	9	9	2	15	13	19	8	18	20	21	21	20	20	18	20	19	24	17	15	35	23	30	16	12	10									
		2.05%	1.52%	1.64%	1.69%	2.89%	1.60%	1.74%	2.18%	1.59%	1.49%	1.86%	2.20%	1.23%	1.40%	2.33%	1.89%	1.63%	0.76%	1.13%	1.71%	2.06%	1.38%	2.27%	1.96%	2.50%	1.87%	1.01%	3.22%	2.56%	2.86%	1.95%	2.82%	2.54%	1.61%	1.83%	3.62%	3.09%	1.26%	1.45%	2.39%	1.96%	2.52%	2.19%	2.01%	1.64%	2.93%	2.31%	2.33%	2.91%	1.70%	2.65%	2.44%	2.74%	2.80%	1.84%	2.61%	2.11%	3.01%	1.54%	2.90%	2.87%	3.40%	1.18%	2.40%	2.69%	2.96%	3.27%	2.53%	3.26%	3.17%	3.21%	2.78%	1.87%	2.58%	2.49%	2.26%	0.59%	2.55%	1.46%	1.90%	0.96%	1.59%	1.48%	1.73%	1.07%	1.09%	2.20%	1.90%	0.45%	1.91%	0.92%	2.77%	1.28%	0.56%	0.32%	1.49%	1.50%	2.24%	0.94%	1.94%	2.07%	2.27%	1.98%	1.75%	1.74%	1.54%	2.25%	1.68%	2.71%	1.84%	1.69%	2.80%	2.52%	3.15%	1.63%	1.25%	0.94%									
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
