Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Трехгорная городская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	316	17	13	16	23	20	17	35	32	15	32	18	12	37	26	3									
		2.08%	2.31%	1.84%	2.24%	3.13%	2.82%	2.36%	2.17%	2.04%	2.27%	2.27%	2.68%	1.43%	2.26%	1.79%	0.30%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6147	303	284	264	285	269	268	613	595	229	536	244	351	649	578	679									
		40.50%	41.17%	40.11%	37.03%	38.72%	37.99%	37.17%	38.05%	37.92%	34.59%	38.04%	36.36%	41.79%	39.62%	39.73%	67.90%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	134	4	4	6	4	5	8	20	17	6	13	6	4	21	13	3									
		0.88%	0.54%	0.56%	0.84%	0.54%	0.71%	1.11%	1.24%	1.08%	0.91%	0.92%	0.89%	0.48%	1.28%	0.89%	0.30%									
24	"6. Политическая партия ""Гражданская Платформа"""	27	3	1	0	1	2	1	3	2	0	3	2	1	5	2	1									
		0.18%	0.41%	0.14%	0.00%	0.14%	0.28%	0.14%	0.19%	0.13%	0.00%	0.21%	0.30%	0.12%	0.31%	0.14%	0.10%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2640	135	115	141	123	110	120	259	249	126	238	107	169	327	239	182									
		17.39%	18.34%	16.24%	19.78%	16.71%	15.54%	16.64%	16.08%	15.87%	19.03%	16.89%	15.95%	20.12%	19.96%	16.43%	18.20%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	99	6	5	6	7	6	3	11	10	3	9	1	5	13	9	5									
		0.65%	0.82%	0.71%	0.84%	0.95%	0.85%	0.42%	0.68%	0.64%	0.45%	0.64%	0.15%	0.60%	0.79%	0.62%	0.50%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	192	13	10	6	16	4	6	15	22	10	22	12	8	19	25	4									
		1.27%	1.77%	1.41%	0.84%	2.17%	0.56%	0.83%	0.93%	1.40%	1.51%	1.56%	1.79%	0.95%	1.16%	1.72%	0.40%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	25	0	0	3	1	2	0	1	6	0	1	2	0	4	3	2									
		0.16%	0.00%	0.00%	0.42%	0.14%	0.28%	0.00%	0.06%	0.38%	0.00%	0.07%	0.30%	0.00%	0.24%	0.21%	0.20%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	200	12	16	14	7	10	3	36	21	11	19	9	3	22	13	4									
		1.32%	1.63%	2.26%	1.96%	0.95%	1.41%	0.42%	2.23%	1.34%	1.66%	1.35%	1.34%	0.36%	1.34%	0.89%	0.40%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1482	73	77	60	74	52	82	160	181	51	160	66	85	177	136	48									
		9.76%	9.92%	10.88%	8.42%	10.05%	7.34%	11.37%	9.93%	11.54%	7.70%	11.36%	9.84%	10.12%	10.81%	9.35%	4.80%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	77	6	5	2	7	3	2	9	7	2	6	3	6	7	8	4									
		0.51%	0.82%	0.71%	0.28%	0.95%	0.42%	0.28%	0.56%	0.45%	0.30%	0.43%	0.45%	0.71%	0.43%	0.55%	0.40%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2897	111	132	147	132	174	158	358	346	161	279	158	130	274	307	30									
		19.09%	15.08%	18.64%	20.62%	17.93%	24.58%	21.91%	22.22%	22.05%	24.32%	19.80%	23.55%	15.48%	16.73%	21.10%	3.00%									
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
