Выборы Президента Российской Федерации																																														
																																														
"Наименование Избирательной комиссии:    Тверь, Пролетарская"																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК  1150	УИК  1151	УИК  1152	УИК  1153	УИК  1154	УИК  1155	УИК  1156	УИК  1157	УИК  1158	УИК  1159	УИК  1160	УИК  1161	УИК  1162	УИК  1163	УИК  1164	УИК  1165	УИК  1166	УИК  1167	УИК  1168	УИК  1169	УИК  1170	УИК  1171	УИК  1172	УИК  1173	УИК  1174	УИК  1175	УИК  1176	УИК  1177	УИК  1178	УИК  1179	УИК  1180	УИК  1181	УИК  1182	УИК  1183	УИК  1184	УИК  1185	УИК  1186	УИК  1187	УИК  1188					
1	"Число избирателей, внесенных в список"	78964	2643	2540	2337	2750	1808	2212	2457	2294	2803	2558	1331	1438	2356	1828	2269	2309	2215	2662	2441	2580	2272	2328	2656	2518	2345	2131	1871	1850	1477	2723	2362	2784	2396	2351	339	339	210	78	103					
2	Число полученных избирательных бюллетеней	77648	2582	2472	2333	2740	1774	2210	2404	2224	2808	2490	1304	1409	2265	1784	2233	2278	2205	2568	2470	2593	2213	2280	2591	2510	2295	2101	1767	1803	1461	2648	2344	2744	2375	2314	334	300	202	100	120					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	36925	1435	1170	1121	1353	528	865	909	1072	1160	1367	528	670	1173	821	1182	1321	1095	1299	1269	1233	1023	1160	1245	1302	1369	1222	993	754	601	1005	882	883	1189	1220	130	31	164	78	103					
5	"Число избирательных бюллетеней, выданных вне помещения"	1248	33	55	34	22	54	59	38	17	30	44	9	31	21	37	30	12	47	25	29	14	20	18	59	26	31	20	9	27	17	73	131	45	8	3	2	118	0	0	0					
6	Число погашенных избирательных бюллетеней	39475	1114	1247	1178	1365	1192	1286	1457	1135	1618	1079	767	708	1071	926	1021	945	1063	1244	1172	1346	1170	1102	1287	1182	895	859	765	1022	843	1570	1331	1816	1178	1091	202	151	38	22	17					
7	Число избирательных бюллетеней в переносных ящиках	1248	33	55	34	22	54	59	38	17	30	44	9	31	21	37	30	12	47	25	29	14	20	18	59	26	31	20	9	27	17	73	131	45	8	3	2	118	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	36881	1435	1170	1117	1353	524	865	909	1072	1160	1367	528	670	1173	821	1181	1320	1095	1299	1268	1232	1002	1160	1245	1302	1368	1212	993	754	601	1005	882	883	1189	1220	130	31	164	78	103					
9	Число недействительных избирательных бюллетеней	193	0	6	11	6	8	1	13	3	5	13	1	4	1	8	7	12	3	1	16	2	6	5	4	7	5	3	3	2	3	7	9	7	1	3	3	0	0	4	0					
10	Число действительных избирательных бюллетеней	37936	1468	1219	1140	1369	570	923	934	1086	1185	1398	536	697	1193	850	1204	1320	1139	1323	1281	1244	1016	1173	1300	1321	1394	1229	999	779	615	1071	1004	921	1196	1220	129	149	164	74	103					
