Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Балейская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК  487	УИК  488	УИК  489	УИК  490	УИК  491	УИК  492	УИК  493	УИК  494	УИК  495	УИК  496	УИК  497	УИК  498	УИК  499	УИК  500	УИК  501	УИК  502	УИК  503	УИК  504	УИК  505	УИК  506	УИК  507	УИК  508	УИК  509					
1	"Число избирателей, внесенных в список"	6868	1118	371	181	187	112	238	183	235	450	125	137	83	972	693	250	306	134	107	521	55	108	120	182					
2	Число полученных избирательных бюллетеней	6799	1114	372	178	187	110	236	183	233	449	124	135	90	930	678	249	299	139	107	515	56	110	121	184					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5125	710	262	160	140	103	193	169	175	353	110	124	77	528	577	187	253	105	90	433	47	90	108	131					
5	"Число избирательных бюллетеней, выданных вне помещения"	392	105	23	0	15	5	2	3	33	22	6	7	4	98	0	21	4	5	2	4	6	8	0	19					
6	Число погашенных избирательных бюллетеней	1282	299	87	18	32	2	41	11	25	74	8	4	9	304	101	41	42	29	15	78	3	12	13	34					
7	Число избирательных бюллетеней в переносных ящиках	392	105	23	0	15	5	2	3	33	22	6	7	4	98	0	21	4	5	2	4	6	8	0	19					
8	Число бюллетеней в стационарных ящиках для голосования	5125	710	262	160	140	103	193	169	175	353	110	124	77	528	577	187	253	105	90	433	47	90	108	131					
9	Число недействительных избирательных бюллетеней	55	13	8	0	0	1	2	0	0	1	1	2	0	4	13	2	1	2	1	2	0	0	1	1					
10	Число действительных избирательных бюллетеней	5462	802	277	160	155	107	193	172	208	374	115	129	81	622	564	206	256	108	91	435	53	98	107	149					
11	Число полученных открепительных  удостоверений	100	15	5	3	3	2	3	3	3	5	2	2	2	13	10	4	4	2	2	8	2	2	2	3					
12	Число выданных открепительных удостоверений	20	1	2	0	0	0	2	0	1	0	0	0	0	5	3	0	3	1	0	1	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	19	0	1	3	1	2	1	1	1	1	1	2	0	0	3	0	0	0	0	0	1	1	0	0					
14	Число неиспользованных открепительных удостоверений	80	14	3	3	3	2	1	3	2	5	2	2	2	8	7	4	1	1	2	7	1	2	2	3					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	138	34	3	0	1	1	0	1	10	2	1	2	2	6	33	4	7	3	4	15	0	1	1	7					
		2.50%	4.17%	1.05%	0.00%	0.65%	0.93%	0.00%	0.58%	4.81%	0.53%	0.86%	1.53%	2.47%	0.96%	5.72%	1.92%	2.72%	2.73%	4.35%	3.43%	0.00%	1.02%	0.93%	4.67%					
19	. Малышкин Олег Александрович	185	20	4	4	3	8	5	0	7	11	8	4	1	15	16	10	5	11	8	25	0	4	8	8					
		3.35%	2.45%	1.40%	2.50%	1.94%	7.41%	2.56%	0.00%	3.37%	2.93%	6.90%	3.05%	1.23%	2.40%	2.77%	4.81%	1.95%	10.00%	8.70%	5.72%	0.00%	4.08%	7.41%	5.33%					
20	. Миронов Сергей Михайлович	59	7	3	1	1	1	1	2	0	4	1	1	1	8	7	2	4	2	0	5	2	1	1	4					
		1.07%	0.86%	1.05%	0.62%	0.65%	0.93%	0.51%	1.16%	0.00%	1.07%	0.86%	0.76%	1.23%	1.28%	1.21%	0.96%	1.56%	1.82%	0.00%	1.14%	3.77%	1.02%	0.93%	2.67%					
21	. Путин Владимир Владимирович	3798	475	194	91	121	79	170	116	160	286	79	90	63	448	387	160	149	66	58	308	44	77	72	105					
		68.84%	58.28%	68.07%	56.88%	78.06%	73.15%	87.18%	67.44%	76.92%	76.27%	68.10%	68.70%	77.78%	71.57%	67.07%	76.92%	57.98%	60.00%	63.04%	70.48%	83.02%	78.57%	66.67%	70.00%					
22	. Хакамада Ирина Муцуовна	68	18	2	2	1	0	0	1	4	2	0	1	1	6	8	2	0	2	0	6	0	2	3	7					
		1.23%	2.21%	0.70%	1.25%	0.65%	0.00%	0.00%	0.58%	1.92%	0.53%	0.00%	0.76%	1.23%	0.96%	1.39%	0.96%	0.00%	1.82%	0.00%	1.37%	0.00%	2.04%	2.78%	4.67%					
23	. Харитонов Николай Михайлович	1111	230	68	61	25	7	17	52	26	62	24	30	13	127	99	24	87	23	15	66	4	12	22	17					
		20.14%	28.22%	23.86%	38.12%	16.13%	6.48%	8.72%	30.23%	12.50%	16.53%	20.69%	22.90%	16.05%	20.29%	17.16%	11.54%	33.85%	20.91%	16.30%	15.10%	7.55%	12.24%	20.37%	11.33%					
																														
24	Против всех	103	18	3	1	3	11	0	0	1	7	2	1	0	12	14	4	4	1	6	10	3	1	0	1					
		1.87%	2.21%	1.05%	0.62%	1.94%	10.19%	0.00%	0.00%	0.48%	1.87%	1.72%	0.76%	0.00%	1.92%	2.43%	1.92%	1.56%	0.91%	6.52%	2.29%	5.66%	1.02%	0.00%	0.67%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
