Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Пировская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817					
1	"Число избирателей, внесенных в список"	6340	148	235	288	142	673	265	347	146	50	283	2449	178	140	83	458	148	71	236					
2	Число полученных избирательных бюллетеней	6300	148	235	300	140	700	258	340	150	55	275	2385	175	135	80	470	149	70	235					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3559	117	124	198	98	351	130	193	129	33	230	1051	122	112	43	315	101	66	146					
5	"Число избирательных бюллетеней, выданных вне помещения"	416	5	51	9	15	38	19	37	5	2	0	157	0	11	16	13	23	0	15					
6	Число погашенных избирательных бюллетеней	2325	26	60	93	27	311	109	110	16	20	45	1177	53	12	21	142	25	4	74					
7	Число избирательных бюллетеней в переносных ящиках	416	5	51	9	15	38	19	37	5	2	0	157	0	11	16	13	23	0	15					
8	Число бюллетеней в стационарных ящиках для голосования	3559	117	124	198	98	351	130	193	129	33	230	1051	122	112	43	315	101	66	146					
9	Число недействительных избирательных бюллетеней	42	2	2	2	0	4	4	3	3	0	6	6	0	0	0	6	2	0	2					
10	Число действительных избирательных бюллетеней	3933	120	173	205	113	385	145	227	131	35	224	1202	122	123	59	322	122	66	159					
11	Число полученных открепительных  удостоверений	100	5	5	5	5	10	5	5	5	5	5	10	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	24	1	1	1	0	3	0	0	0	0	0	10	0	0	0	3	2	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	47	30	1	1	0	0	1	0	0	1	0	5	1	3	0	0	0	1	3					
14	Число неиспользованных открепительных удостоверений	76	4	4	4	5	7	5	5	5	5	5	0	5	5	5	2	3	5	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	449	19	27	15	8	31	18	37	18	10	31	163	11	14	6	27	5	5	4					
		11.30%	15.57%	15.43%	7.25%	7.08%	7.97%	12.08%	16.09%	13.43%	28.57%	13.48%	13.49%	9.02%	11.38%	10.17%	8.23%	4.03%	7.58%	2.48%					
19	. Малышкин Олег Александрович	69	11	7	0	0	11	2	3	0	1	9	12	6	1	1	3	0	2	0					
		1.74%	9.02%	4.00%	0.00%	0.00%	2.83%	1.34%	1.30%	0.00%	2.86%	3.91%	0.99%	4.92%	0.81%	1.69%	0.91%	0.00%	3.03%	0.00%					
20	. Миронов Сергей Михайлович	28	0	4	0	1	3	0	0	0	0	0	9	0	0	4	4	3	0	0					
		0.70%	0.00%	2.29%	0.00%	0.88%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.00%	6.78%	1.22%	2.42%	0.00%	0.00%					
21	. Путин Владимир Владимирович	2532	68	96	135	68	281	105	133	102	10	109	782	72	33	41	214	91	50	142					
		63.70%	55.74%	54.86%	65.22%	60.18%	72.24%	70.47%	57.83%	76.12%	28.57%	47.39%	64.74%	59.02%	26.83%	69.49%	65.24%	73.39%	75.76%	88.20%					
22	. Хакамада Ирина Муцуовна	81	1	5	2	0	7	1	13	0	0	3	30	0	4	4	6	2	1	2					
		2.04%	0.82%	2.86%	0.97%	0.00%	1.80%	0.67%	5.65%	0.00%	0.00%	1.30%	2.48%	0.00%	3.25%	6.78%	1.83%	1.61%	1.52%	1.24%					
23	. Харитонов Николай Михайлович	734	20	32	53	36	47	17	37	10	14	70	199	32	69	3	64	18	4	9					
		18.47%	16.39%	18.29%	25.60%	31.86%	12.08%	11.41%	16.09%	7.46%	40.00%	30.43%	16.47%	26.23%	56.10%	5.08%	19.51%	14.52%	6.06%	5.59%					
																									
24	Против всех	40	1	2	0	0	5	2	4	1	0	2	7	1	2	0	4	3	4	2					
		1.01%	0.82%	1.14%	0.00%	0.00%	1.29%	1.34%	1.74%	0.75%	0.00%	0.87%	0.58%	0.82%	1.63%	0.00%	1.22%	2.42%	6.06%	1.24%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
