Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Ачхой-Мартановская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31					
1	"Число избирателей, внесенных в список"	40910	2910	2008	1121	1121	1407	1568	1504	1050	1634	1456	1593	2267	2162	2056	2051	1922	1755	2053	2228	1011	1587	521	340	3585					
2	Число полученных избирательных бюллетеней	40365	2890	1955	1110	1135	1395	1530	1475	1070	1620	1440	1580	2245	2090	2020	2015	1905	1737	2030	2235	1000	1560	515	336	3477					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	38986	2860	1420	1110	1093	1395	1493	1377	996	1578	1440	1580	2245	2080	1971	2008	1878	1737	2024	2196	991	1508	477	323	3206					
5	"Число избирательных бюллетеней, выданных вне помещения"	462	0	458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0					
6	Число погашенных избирательных бюллетеней	917	30	77	0	42	0	37	98	74	42	0	0	0	10	49	7	27	0	6	39	9	52	34	13	271					
7	Число избирательных бюллетеней в переносных ящиках	462	0	458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	38986	2860	1420	1110	1093	1395	1493	1377	996	1578	1440	1580	2245	2080	1971	2008	1878	1737	2024	2196	991	1508	477	323	3206					
9	Число недействительных избирательных бюллетеней	241	0	10	15	6	10	14	10	8	5	10	6	0	0	3	0	0	5	64	36	28	0	6	0	5					
10	Число действительных избирательных бюллетеней	39207	2860	1868	1095	1087	1385	1479	1367	988	1573	1430	1574	2245	2080	1968	2008	1878	1732	1960	2160	963	1508	475	323	3201					
11	Число полученных открепительных  удостоверений	329	15	13	13	13	13	13	15	13	14	14	14	17	13	13	17	16	13	17	17	13	13	10	6	14					
12	Число выданных открепительных удостоверений	7	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
14	Число неиспользованных открепительных удостоверений	322	15	13	13	12	12	13	15	13	14	14	14	16	13	12	17	15	12	17	17	13	13	10	6	13					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	302	72	3	0	5	6	4	1	6	10	10	10	5	0	3	0	29	16	26	11	5	10	4	0	66					
		0.77%	2.52%	0.16%	0.00%	0.46%	0.43%	0.27%	0.07%	0.60%	0.63%	0.69%	0.63%	0.22%	0.00%	0.15%	0.00%	1.54%	0.92%	1.28%	0.50%	0.50%	0.66%	0.83%	0.00%	2.06%					
19	. Малышкин Олег Александрович	176	31	4	10	1	4	1	4	1	5	4	0	4	17	2	2	12	4	0	8	8	7	3	0	44					
		0.45%	1.08%	0.21%	0.90%	0.09%	0.29%	0.07%	0.29%	0.10%	0.32%	0.28%	0.00%	0.18%	0.82%	0.10%	0.10%	0.64%	0.23%	0.00%	0.36%	0.81%	0.46%	0.62%	0.00%	1.37%					
20	. Миронов Сергей Михайлович	146	8	3	0	3	4	11	2	0	8	5	0	37	6	1	0	22	10	10	6	0	5	2	0	3					
		0.37%	0.28%	0.16%	0.00%	0.27%	0.29%	0.74%	0.15%	0.00%	0.51%	0.35%	0.00%	1.65%	0.29%	0.05%	0.00%	1.17%	0.58%	0.49%	0.27%	0.00%	0.33%	0.42%	0.00%	0.09%					
21	. Путин Владимир Владимирович	35737	2307	1812	1041	961	1295	1379	1246	894	1457	1354	1544	2153	1955	1933	1965	1544	1678	1743	1782	757	1362	408	243	2924					
		90.59%	80.66%	96.49%	93.78%	87.92%	92.83%	92.36%	90.49%	89.76%	92.33%	94.03%	97.72%	95.90%	93.99%	98.07%	97.86%	82.22%	96.60%	86.12%	81.15%	76.39%	90.32%	84.82%	75.23%	91.20%					
22	. Хакамада Ирина Муцуовна	1403	121	15	23	77	37	32	61	40	72	36	7	26	67	19	22	192	5	7	254	110	59	37	69	15					
