Выборы Президента Российской Федерации																																																													
Дата голосования: 18.03.2018																																																													
																																																													
"Наименование Избирательной комиссии:    Ульяновск, Засвияжская N2"																																																													
																																																													
Сводная таблица итогов голосования																																																													
																																																													
	Число участковых избирательных комиссий	50																																																											
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	50																																																											
																																																													
		Сумма	УИК №3801	УИК №3802	УИК №3803	УИК №3804	УИК №3805	УИК №3806	УИК №3807	УИК №3808	УИК №3809	УИК №3810	УИК №3811	УИК №3812	УИК №3813	УИК №3814	УИК №3815	УИК №3816	УИК №3817	УИК №3818	УИК №3819	УИК №3820	УИК №3821	УИК №3822	УИК №3823	УИК №3824	УИК №3825	УИК №3826	УИК №3827	УИК №3828	УИК №3829	УИК №3830	УИК №3831	УИК №3832	УИК №3833	УИК №3834	УИК №3835	УИК №3836	УИК №3837	УИК №3838	УИК №3839	УИК №3840	УИК №3841	УИК №3842	УИК №3843	УИК №3844	УИК №3845	УИК №3846	УИК №3847	УИК №3848	УИК №3849	УИК №3850									
14	Грудинин Павел Николаевич	8611	181	133	211	133	137	156	137	189	218	226	144	224	190	255	175	185	198	137	169	205	185	192	177	149	128	191	184	160	176	200	172	201	108	192	219	226	183	170	228	203	223	215	211	130	8	184	115	27	45	206									
		14.92%	13.83%	13.10%	18.08%	12.83%	15.46%	14.16%	14.27%	12.38%	14.39%	15.46%	15.30%	14.91%	15.81%	17.10%	14.27%	17.21%	15.31%	11.09%	14.06%	14.70%	14.99%	15.56%	14.57%	13.81%	14.40%	15.43%	14.56%	13.51%	15.15%	14.65%	14.13%	14.77%	12.80%	14.53%	14.48%	18.80%	19.61%	16.67%	15.98%	13.57%	17.38%	15.64%	14.52%	15.97%	14.55%	14.87%	14.20%	10.38%	10.90%	16.06%									
15	Жириновский Владимир Вольфович	3718	76	83	81	62	60	81	74	82	95	89	61	95	77	107	84	67	66	87	88	83	73	82	95	76	66	92	88	66	65	105	71	77	45	95	78	59	46	60	77	107	72	101	87	70	6	104	58	15	20	64									
		6.44%	5.81%	8.18%	6.94%	5.98%	6.77%	7.35%	7.71%	5.37%	6.27%	6.09%	6.48%	6.32%	6.41%	7.18%	6.85%	6.23%	5.10%	7.04%	7.32%	5.95%	5.92%	6.65%	7.82%	7.04%	7.42%	7.43%	6.96%	5.57%	5.59%	7.69%	5.83%	5.66%	5.33%	7.19%	5.16%	4.91%	4.93%	5.88%	5.40%	7.15%	5.61%	7.35%	5.99%	8.60%	10.91%	8.41%	7.16%	5.77%	4.84%	4.99%									
16	Путин Владимир Владимирович	42035	977	745	805	761	637	786	684	1154	1103	1061	670	1093	848	1037	881	768	959	942	885	1019	910	887	892	795	653	881	918	890	852	998	899	995	642	963	1110	856	666	746	1054	1092	896	976	1060	582	41	878	611	207	333	937									
		72.82%	74.64%	73.40%	68.98%	73.38%	71.90%	71.32%	71.25%	75.57%	72.81%	72.57%	71.20%	72.77%	70.55%	69.55%	71.86%	71.44%	74.17%	76.28%	73.63%	73.05%	73.74%	71.88%	73.42%	73.68%	73.45%	71.16%	72.63%	75.17%	73.32%	73.11%	73.87%	73.11%	76.07%	72.90%	73.41%	71.21%	71.38%	73.14%	73.86%	72.99%	69.84%	70.98%	72.95%	71.50%	74.55%	70.98%	75.43%	79.62%	80.63%	73.03%									
17	Собчак Ксения Анатольевна	822	14	13	13	14	12	22	15	26	25	25	15	24	23	29	24	14	18	15	11	22	14	16	17	8	9	19	17	15	22	19	20	17	13	14	27	15	12	12	12	21	24	20	28	9	0	8	6	0	6	28									
		1.42%	1.07%	1.28%	1.11%	1.35%	1.35%	1.99%	1.56%	1.70%	1.65%	1.71%	1.59%	1.60%	1.91%	1.95%	1.96%	1.30%	1.39%	1.21%	0.92%	1.58%	1.13%	1.30%	1.40%	0.74%	1.01%	1.53%	1.34%	1.27%	1.89%	1.39%	1.64%	1.25%	1.54%	1.06%	1.79%	1.25%	1.29%	1.18%	0.84%	1.40%	1.87%	1.45%	1.93%	1.11%	0.00%	0.65%	0.74%	0.00%	1.45%	2.18%									
18	Сурайкин Максим Александрович	527	11	11	10	12	6	13	10	22	17	13	9	12	7	16	7	9	14	15	8	10	13	13	7	15	6	14	11	10	16	10	8	26	2	6	14	12	6	9	14	12	12	13	18	4	0	9	3	2	3	7									
		0.91%	0.84%	1.08%	0.86%	1.16%	0.68%	1.18%	1.04%	1.44%	1.12%	0.89%	0.96%	0.80%	0.58%	1.07%	0.57%	0.84%	1.08%	1.21%	0.67%	0.72%	1.05%	1.05%	0.58%	1.39%	0.67%	1.13%	0.87%	0.84%	1.38%	0.73%	0.66%	1.91%	0.24%	0.45%	0.93%	0.99%	0.64%	0.88%	0.98%	0.80%	0.94%	0.95%	1.24%	0.49%	0.00%	0.73%	0.37%	0.77%	0.73%	0.55%									
