Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Мензелинская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026					
1	"Число избирателей, внесенных в список"	21081	278	228	291	80	410	116	530	73	384	298	279	194	229	212	583	214	646	153	84	347	366	119	244	325	331	111	101	336	280	296	148	246	196	452	166	272	275	241	1023	1287	799	706	1103	957	944	750	621	930	830	997					
2	Число полученных избирательных бюллетеней	21011	280	228	291	81	413	116	530	74	386	300	276	194	229	210	592	214	633	153	86	347	372	119	244	332	337	120	105	336	283	310	154	250	198	457	166	272	275	244	1032	1363	753	705	1058	939	919	770	635	880	832	918					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18844	278	228	279	79	342	112	467	69	382	286	276	180	203	174	544	198	580	145	74	340	341	75	231	258	287	93	85	308	260	286	148	238	196	394	157	252	257	230	912	1215	650	603	949	822	849	691	508	746	753	814					
5	"Число избирательных бюллетеней, выданных вне помещения"	1727	0	0	12	0	65	4	63	4	2	12	0	12	26	34	36	16	35	8	10	7	23	44	13	67	44	17	16	28	20	6	0	8	0	58	9	20	18	11	70	72	95	55	96	82	61	46	108	134	57	103					
6	Число погашенных избирательных бюллетеней	440	2	0	0	2	6	0	0	1	2	2	0	2	0	2	12	0	18	0	2	0	8	0	0	7	6	10	4	0	3	18	6	4	2	5	0	0	0	3	50	76	8	47	13	35	9	33	19	0	22	1					
7	Число избирательных бюллетеней в переносных ящиках	1727	0	0	12	0	65	4	63	4	2	12	0	12	26	34	36	16	35	8	10	7	23	44	13	67	44	17	16	28	20	6	0	8	0	58	9	20	18	11	70	72	95	55	96	82	61	46	108	134	57	103					
8	Число бюллетеней в стационарных ящиках для голосования	18844	278	228	279	79	342	112	467	69	382	286	276	180	203	174	544	198	580	145	74	340	341	75	231	258	287	93	85	308	260	286	148	238	196	394	157	252	257	230	912	1215	650	603	949	822	849	691	508	746	753	814					
9	Число недействительных избирательных бюллетеней	105	0	0	0	0	3	0	0	1	0	0	1	3	0	1	5	0	0	0	0	0	2	0	0	6	0	0	4	0	0	0	0	0	1	2	0	0	0	0	14	8	0	7	0	10	1	14	5	0	7	10					
10	Число действительных избирательных бюллетеней	20466	278	228	291	79	404	116	530	72	384	298	275	189	229	207	575	214	615	153	84	347	362	119	244	319	331	110	97	336	280	292	148	246	195	450	166	272	275	241	968	1279	745	651	1045	894	909	723	611	880	803	907					
