Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Альшеевская																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680					
1	"Число избирателей, внесенных в список"	32770	1144	1108	1445	958	761	463	993	732	1193	1944	2122	943	434	196	756	448	154	140	704	819	315	158	643	526	249	243	272	478	203	270	201	618	162	524	552	175	209	174	557	666	356	418	805	201	435	824	593	927	770	395	319	194	1391	490					
2	Число полученных избирательных бюллетеней	32633	1196	1130	1422	944	739	469	989	759	1183	1900	2165	936	441	197	744	437	155	140	706	822	317	155	631	514	249	239	268	473	199	270	197	606	158	517	543	173	208	170	553	655	355	419	792	198	437	821	593	927	769	394	319	194	1381	465					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	29083	1002	940	1276	793	682	410	879	697	1057	1642	1845	842	392	96	723	409	147	138	606	754	301	153	604	455	228	205	257	443	143	260	178	531	152	391	496	165	94	155	496	621	337	377	757	173	419	744	586	825	736	372	295	182	1173	449					
5	"Число избирательных бюллетеней, выданных вне помещения"	1873	84	63	108	85	13	12	39	35	19	131	65	38	20	97	21	9	5	0	85	27	0	1	23	33	21	32	10	24	53	10	10	75	0	66	31	6	87	3	54	28	6	29	29	20	8	41	5	68	32	18	16	2	76	0					
6	Число погашенных избирательных бюллетеней	1677	110	127	38	66	44	47	71	27	107	127	255	56	29	4	0	19	3	2	15	41	16	1	4	26	0	2	1	6	3	0	9	0	6	60	16	2	27	12	3	6	12	13	6	5	10	36	2	34	1	4	8	10	132	16					
7	Число избирательных бюллетеней в переносных ящиках	1873	84	63	108	85	13	12	39	35	19	131	65	38	20	97	21	9	5	0	85	27	0	1	23	33	21	32	10	24	53	10	10	75	0	66	31	6	87	3	54	28	6	29	29	20	8	41	5	68	32	18	16	2	76	0					
8	Число бюллетеней в стационарных ящиках для голосования	29083	1002	940	1276	793	682	410	879	697	1057	1642	1845	842	392	96	723	409	147	138	606	754	301	153	604	455	228	205	257	443	143	260	178	531	152	391	496	165	94	155	496	621	337	377	757	173	419	744	586	825	736	372	295	182	1173	449					
9	Число недействительных избирательных бюллетеней	104	0	4	1	0	4	2	0	0	10	0	2	2	2	0	0	0	0	9	0	6	2	1	17	0	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	1	0	5	8	6	5	0	0	0	4	0					
10	Число действительных избирательных бюллетеней	30852	1086	999	1383	878	691	420	918	732	1066	1773	1908	878	410	193	744	418	152	129	691	775	299	153	610	488	249	236	262	466	196	270	188	606	152	457	527	171	181	158	550	647	343	406	782	192	427	780	583	887	763	390	311	184	1245	449					
11	Число полученных открепительных  удостоверений	457	20	20	20	20	20	10	20	20	20	30	40	18	5	2	10	10	2	2	5	8	3	2	5	2	2	5	2	5	2	2	2	5	2	10	2	2	2	2	2	5	2	2	5	2	8	5	10	10	5	5	5	2	20	10					
12	Число выданных открепительных удостоверений	214	5	8	9	6	6	0	4	10	14	16	24	12	5	1	7	3	1	0	1	8	3	0	1	0	0	1	0	1	1	1	1	2	0	1	0	2	1	0	2	4	1	2	4	0	6	1	5	3	4	3	1	0	18	5					
