Выборы Президента Российской Федерации																																										
																																										
"Наименование Избирательной комиссии:    Центральная, Чита"																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35					
1	"Число избирателей, внесенных в список"	90096	2857	2731	2791	2721	2850	2557	2909	2891	2783	2872	2827	1908	2524	2994	2758	2729	2844	2756	2651	2120	1904	1868	2126	2750	2892	2649	2488	2570	2470	2506	2228	2131	2535	2461	2445					
2	Число полученных избирательных бюллетеней	79330	2500	2450	2500	2400	2550	2300	2600	2500	2470	2500	2600	1600	2300	2600	2500	2500	2500	2400	2400	1800	1800	1600	1800	2400	2400	2300	2060	2200	2000	2300	2000	2000	2200	2000	2300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	46721	1484	1526	1669	1446	1513	1189	1451	1506	1423	1450	1435	889	1304	1258	1225	1160	1404	1456	1467	1067	945	948	1265	1516	1782	1442	1395	1380	862	1426	1090	1140	1204	1226	1778					
5	"Число избирательных бюллетеней, выданных вне помещения"	2703	41	52	49	20	52	26	13	14	22	62	123	84	59	71	45	73	75	45	36	47	256	19	25	54	184	44	605	39	104	27	28	65	34	69	141					
6	Число погашенных избирательных бюллетеней	29906	975	872	782	934	985	1085	1136	980	1025	988	1042	627	937	1271	1230	1267	1021	899	897	686	599	633	510	830	434	814	60	781	1034	847	882	795	962	705	381					
7	Число избирательных бюллетеней в переносных ящиках	2702	41	52	49	20	52	26	13	14	22	62	123	84	59	71	45	73	75	45	36	47	255	19	25	54	184	44	605	39	104	27	28	65	34	69	141					
8	Число бюллетеней в стационарных ящиках для голосования	46456	1471	1523	1655	1446	1512	1189	1451	1506	1408	1447	1435	889	1299	1258	1225	1160	1395	1456	1467	1065	939	947	1263	1516	1601	1441	1395	1380	860	1426	1087	1139	1204	1226	1775					
9	Число недействительных избирательных бюллетеней	213	3	10	11	5	5	12	2	10	5	5	2	6	12	3	2	8	0	7	10	6	6	4	4	8	3	9	6	2	11	7	3	2	3	7	14					
10	Число действительных избирательных бюллетеней	48945	1509	1565	1693	1461	1559	1203	1462	1510	1425	1504	1556	967	1346	1326	1268	1225	1470	1494	1493	1106	1188	962	1284	1562	1782	1476	1994	1417	953	1446	1112	1202	1235	1288	1902					
11	Число полученных открепительных  удостоверений	1111	35	25	25	25	25	25	25	35	25	30	25	25	25	25	25	25	25	30	25	25	45	45	35	25	65	35	25	46	25	25	25	25	25	25	110					
12	Число выданных открепительных удостоверений	861	33	16	23	13	14	16	12	31	20	26	16	10	19	16	14	17	15	28	15	13	40	36	25	22	51	34	24	38	7	24	14	25	25	24	105					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	979	16	14	12	13	8	12	25	21	22	22	12	24	27	30	22	11	8	24	18	13	17	33	19	15	167	31	171	28	26	18	9	18	15	26	32					
14	Число неиспользованных открепительных удостоверений	250	2	9	2	12	11	9	13	4	5	4	9	15	6	9	11	8	10	2	10	12	5	9	10	3	14	1	1	8	18	1	11	0	0	1	5					
15	"Число открепительных удостоверений, выданных в ТИК"	89	4	1	1	5	2	7	4	2	1	2	0	2	4	1	4	1	2	5	1	4	0	1	0	6	2	4	0	3	5	0	2	4	4	4	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
