Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Переславль-Залесская городская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК  861					
1	"Число избирателей, внесенных в список"	34938	1640	2993	1353	1636	1513	1508	1504	1646	1839	1926	1766	1646	1757	1722	1845	1681	1691	1689	1617	1764	202					
2	Число полученных избирательных бюллетеней	34160	1590	2940	1300	1600	1500	1500	1470	1600	1790	1890	1600	1650	1700	1700	1800	1650	1700	1600	1580	1700	300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18626	907	2302	656	763	734	862	750	705	821	936	884	928	914	924	938	900	919	764	940	1004	75					
5	"Число избирательных бюллетеней, выданных вне помещения"	804	32	88	95	56	71	64	21	39	21	39	25	27	21	6	11	22	19	13	15	20	99					
6	Число погашенных избирательных бюллетеней	14730	651	550	549	781	695	574	699	856	948	915	691	695	765	770	851	728	762	823	625	676	126					
7	Число избирательных бюллетеней в переносных ящиках	804	32	88	95	56	71	64	21	39	21	39	25	27	21	6	11	22	19	13	15	20	99					
8	Число бюллетеней в стационарных ящиках для голосования	18614	907	2302	656	761	733	862	750	705	821	936	880	927	914	922	938	899	918	764	940	1004	75					
9	Число недействительных избирательных бюллетеней	176	5	9	8	12	5	14	15	5	5	16	10	7	11	4	7	12	5	7	12	6	1					
10	Число действительных избирательных бюллетеней	19242	934	2381	743	805	799	912	756	739	837	959	895	947	924	924	942	909	932	770	943	1018	173					
11	Число полученных открепительных  удостоверений	1195	60	60	55	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	0					
12	Число выданных открепительных удостоверений	105	8	23	0	7	1	6	7	0	7	2	3	2	6	4	5	7	4	2	7	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	69	4	8	8	1	7	4	3	0	2	6	2	3	2	0	1	2	4	3	5	4	0					
14	Число неиспользованных открепительных удостоверений	1090	52	37	55	53	59	54	53	60	53	58	57	58	54	56	55	53	56	58	53	56	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	1090	66	73	23	38	27	44	51	39	38	51	33	59	64	69	69	69	82	31	87	73	4					
		5.61%	7.03%	3.05%	3.06%	4.65%	3.36%	4.75%	6.61%	5.24%	4.51%	5.23%	3.65%	6.18%	6.84%	7.44%	7.27%	7.49%	8.75%	3.99%	9.11%	7.13%	2.30%					
19	. Малышкин Олег Александрович	343	20	38	10	17	17	11	16	17	12	20	16	19	14	18	23	17	10	18	16	7	7					
		1.77%	2.13%	1.59%	1.33%	2.08%	2.11%	1.19%	2.08%	2.28%	1.43%	2.05%	1.77%	1.99%	1.50%	1.94%	2.42%	1.85%	1.07%	2.32%	1.68%	0.68%	4.02%					
20	. Миронов Сергей Михайлович	142	7	24	2	10	4	4	3	9	5	12	3	10	7	6	4	7	5	4	6	9	1					
		0.73%	0.75%	1.00%	0.27%	1.22%	0.50%	0.43%	0.39%	1.21%	0.59%	1.23%	0.33%	1.05%	0.75%	0.65%	0.42%	0.76%	0.53%	0.51%	0.63%	0.88%	0.57%					
21	. Путин Владимир Владимирович	14543	678	2023	580	623	601	718	529	548	664	735	700	688	673	661	684	654	656	587	652	751	138					
		74.89%	72.20%	84.64%	77.23%	76.25%	74.75%	77.54%	68.61%	73.66%	78.86%	75.38%	77.35%	72.12%	71.98%	71.23%	72.08%	71.01%	70.01%	75.55%	68.27%	73.34%	79.31%					
22	. Хакамада Ирина Муцуовна	625	35	37	21	10	27	20	38	23	26	28	29	29	41	47	48	40	27	31	34	30	4					
		3.22%	3.73%	1.55%	2.80%	1.22%	3.36%	2.16%	4.93%	3.09%	3.09%	2.87%	3.20%	3.04%	4.39%	5.06%	5.06%	4.34%	2.88%	3.99%	3.56%	2.93%	2.30%					
23	. Харитонов Николай Михайлович	1963	94	124	92	87	106	97	94	84	72	93	94	114	102	82	76	104	132	68	110	123	15					
		10.11%	10.01%	5.19%	12.25%	10.65%	13.18%	10.48%	12.19%	11.29%	8.55%	9.54%	10.39%	11.95%	10.91%	8.84%	8.01%	11.29%	14.09%	8.75%	11.52%	12.01%	8.62%					
																												
24	Против всех	536	34	62	15	20	17	18	25	19	20	20	20	28	23	41	38	18	20	31	38	25	4					
		2.76%	3.62%	2.59%	2.00%	2.45%	2.11%	1.94%	3.24%	2.55%	2.38%	2.05%	2.21%	2.94%	2.46%	4.42%	4.00%	1.95%	2.13%	3.99%	3.98%	2.44%	2.30%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
