Выборы Президента Российской Федерации																																																																											
																																																																											
Наименование Избирательной комиссии:    Октябрьский территориальный округ г. Томска																																																																											
																																																																											
Итоги голосования 																																																																											
																																																																											
		Сумма	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149					
1	"Число избирателей, внесенных в список"	108827	1840	1786	1719	1992	1800	1326	1331	1061	1173	1182	1900	1554	1490	1084	1593	1087	1159	1035	1591	1863	1424	1010	636	1863	1918	2043	1996	1704	1284	1202	1110	2507	1378	1949	1891	1829	1605	1631	2206	2202	1852	1957	1766	1907	1910	1814	1894	1734	1524	1808	1161	1784	1764	1881	1810	855	551	1751	1915	1852	1226	1786	1041	1676	1283	1840	1882	1649					
2	Число полученных избирательных бюллетеней	102900	1800	1700	1700	1900	1700	1200	1200	1000	1100	1100	1700	1500	1400	1000	1400	1000	1000	1000	1500	1700	1300	900	600	1700	1800	2000	1900	1600	1200	1100	1000	2400	1300	1900	1800	1800	1500	1500	2100	2100	1800	1900	1700	1900	1800	1700	1800	1700	1500	1700	1000	1700	1700	1800	1500	800	500	1700	1900	1800	1300	1700	1100	1600	1200	1700	1800	1500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	64856	1153	1118	1056	1260	1000	604	792	538	604	594	1098	765	741	487	1190	600	623	497	931	1091	778	504	363	1197	1221	1250	1178	877	787	776	617	1545	852	1210	1123	1120	910	994	1278	1300	1214	1321	994	1269	1146	1201	1211	1039	891	1122	681	965	925	1003	1104	546	347	1146	1108	1089	1030	1149	1022	826	586	1161	1080	1058					
5	"Число избирательных бюллетеней, выданных вне помещения"	2428	19	6	13	27	93	94	29	37	70	44	47	29	41	49	16	81	20	68	21	29	35	24	23	26	27	24	32	52	25	13	10	44	12	21	29	58	18	21	29	32	22	36	39	19	33	15	19	39	28	29	67	46	111	93	106	3	26	24	46	39	5	21	19	52	27	16	44	16					
6	Число погашенных избирательных бюллетеней	35616	628	576	631	613	607	502	379	425	426	462	555	706	618	464	194	319	357	435	548	580	487	372	214	477	552	726	690	671	388	311	373	811	436	669	648	622	572	485	793	768	564	543	667	612	621	484	570	622	581	549	252	689	664	704	290	251	127	530	746	672	265	530	59	722	587	523	676	426					
7	Число избирательных бюллетеней в переносных ящиках	2428	19	6	13	27	93	94	29	37	70	44	47	29	41	49	16	81	20	68	21	29	35	24	23	26	27	24	32	52	25	13	10	44	12	21	29	58	18	21	29	32	22	36	39	19	33	15	19	39	28	29	67	46	111	93	106	3	26	24	46	39	5	21	19	52	27	16	44	16					
8	Число бюллетеней в стационарных ящиках для голосования	64787	1153	1117	1056	1260	1000	604	791	538	604	594	1098	764	741	487	1190	598	622	497	931	1091	778	503	363	1196	1221	1250	1177	875	787	776	617	1521	852	1210	1122	1120	910	994	1278	1300	1214	1321	993	1269	1146	1200	1211	1038	879	1121	681	964	925	1003	1103	546	347	1146	1108	1079	1030	1149	1022	822	586	1161	1079	1058					
9	Число недействительных избирательных бюллетеней	560	3	4	5	5	11	1	8	5	4	4	7	2	7	3	10	11	4	7	5	5	1	5	5	10	5	11	8	11	15	2	4	12	4	13	12	8	13	4	9	12	11	9	7	4	7	7	8	8	5	9	11	19	14	8	6	5	2	14	11	11	13	10	41	11	2	8	20	4					
10	Число действительных избирательных бюллетеней	66655	1169	1119	1064	1282	1082	697	812	570	670	634	1138	791	775	533	1196	668	638	558	947	1115	812	522	381	1212	1243	1263	1201	916	797	787	623	1553	860	1218	1139	1170	915	1011	1298	1320	1225	1348	1025	1284	1172	1208	1222	1069	902	1141	737	991	1022	1088	1203	544	371	1156	1143	1107	1022	1160	1000	863	611	1169	1103	1070					
