Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Нехаевская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181					
1	"Число избирателей, внесенных в список"	13993	2757	1158	271	286	458	186	511	553	57	436	430	690	154	151	875	63	141	1179	132	363	268	164	824	116	727	171	872					
2	Число полученных избирательных бюллетеней	13171	2500	1100	250	270	450	190	500	550	58	400	400	700	150	140	800	63	130	1100	130	350	250	150	800	120	650	170	800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8061	1353	554	154	232	311	110	300	334	53	224	311	367	136	106	588	61	84	676	84	219	220	108	411	86	413	94	472					
5	"Число избирательных бюллетеней, выданных вне помещения"	1003	106	64	20	0	20	21	85	58	0	118	30	78	0	10	43	0	26	39	21	40	0	13	92	5	25	11	78					
6	Число погашенных избирательных бюллетеней	4107	1041	482	76	38	119	59	115	158	5	58	59	255	14	24	169	2	20	385	25	91	30	29	297	29	212	65	250					
7	Число избирательных бюллетеней в переносных ящиках	1003	106	64	20	0	20	21	85	58	0	118	30	78	0	10	43	0	26	39	21	40	0	13	92	5	25	11	78					
8	Число бюллетеней в стационарных ящиках для голосования	8061	1353	554	154	232	311	110	300	334	53	224	311	367	136	106	588	61	84	676	84	219	220	108	411	86	413	94	472					
9	Число недействительных избирательных бюллетеней	63	11	5	3	2	1	2	2	0	0	4	1	3	0	2	5	0	0	6	0	0	1	0	6	4	0	0	5					
10	Число действительных избирательных бюллетеней	9001	1448	613	171	230	330	129	383	392	53	338	340	442	136	114	626	61	110	709	105	259	219	121	497	87	438	105	545					
11	Число полученных открепительных  удостоверений	299	54	20	5	5	10	5	15	15	2	10	10	15	5	5	15	3	5	20	5	10	5	5	15	5	15	5	15					
12	Число выданных открепительных удостоверений	62	22	7	1	2	2	2	1	1	0	4	1	0	0	0	2	0	2	3	0	1	0	0	6	3	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	35	4	1	1	2	1	1	2	0	1	1	0	0	0	1	2	0	0	5	0	1	1	3	5	0	3	0	0					
14	Число неиспользованных открепительных удостоверений	237	32	13	4	3	8	3	14	14	2	6	9	15	5	5	13	3	3	17	5	9	5	5	9	2	13	5	15					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	192	43	8	0	7	9	1	5	18	0	18	2	5	2	3	8	0	2	13	3	7	5	2	11	1	7	0	12					
		2.12%	2.95%	1.29%	0.00%	3.02%	2.72%	0.76%	1.30%	4.59%	0.00%	5.26%	0.59%	1.12%	1.47%	2.59%	1.27%	0.00%	1.82%	1.82%	2.86%	2.70%	2.27%	1.65%	2.19%	1.10%	1.60%	0.00%	2.18%					
19	. Малышкин Олег Александрович	254	26	10	4	9	6	1	18	12	0	5	16	9	3	2	15	2	11	22	13	2	3	4	20	8	14	12	7					
		2.80%	1.78%	1.62%	2.30%	3.88%	1.81%	0.76%	4.68%	3.06%	0.00%	1.46%	4.69%	2.02%	2.21%	1.72%	2.38%	3.28%	10.00%	3.08%	12.38%	0.77%	1.36%	3.31%	3.98%	8.79%	3.20%	11.43%	1.27%					
20	. Миронов Сергей Михайлович	57	13	2	1	2	2	2	7	5	0	0	1	1	1	0	0	0	0	5	0	0	0	0	5	0	5	2	3					
		0.63%	0.89%	0.32%	0.57%	0.86%	0.60%	1.53%	1.82%	1.28%	0.00%	0.00%	0.29%	0.22%	0.74%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.99%	0.00%	1.14%	1.90%	0.55%					
21	. Путин Владимир Владимирович	5017	782	360	121	100	210	75	211	214	26	189	222	247	111	83	410	42	30	443	60	127	96	69	317	47	198	36	191					
		55.35%	53.60%	58.25%	69.54%	43.10%	63.44%	57.25%	54.81%	54.59%	49.06%	55.26%	65.10%	55.51%	81.62%	71.55%	64.98%	68.85%	27.27%	61.96%	57.14%	49.03%	43.64%	57.02%	63.02%	51.65%	45.21%	34.29%	34.73%					
22	. Хакамада Ирина Муцуовна	147	20	14	6	1	3	4	8	3	3	7	3	5	2	1	3	1	0	10	0	4	4	4	9	2	18	7	5					
		1.62%	1.37%	2.27%	3.45%	0.43%	0.91%	3.05%	2.08%	0.77%	5.66%	2.05%	0.88%	1.12%	1.47%	0.86%	0.48%	1.64%	0.00%	1.40%	0.00%	1.54%	1.82%	3.31%	1.79%	2.20%	4.11%	6.67%	0.91%					
23	. Харитонов Николай Михайлович	3150	530	209	37	111	94	43	131	131	23	109	93	173	15	25	178	14	62	187	24	113	111	38	128	24	183	47	317					
		34.75%	36.33%	33.82%	21.26%	47.84%	28.40%	32.82%	34.03%	33.42%	43.40%	31.87%	27.27%	38.88%	11.03%	21.55%	28.21%	22.95%	56.36%	26.15%	22.86%	43.63%	50.45%	31.40%	25.45%	26.37%	41.78%	44.76%	57.64%					
																																		
24	Против всех	184	34	10	2	0	6	3	3	9	1	10	3	2	2	0	12	2	5	29	5	6	0	4	7	5	13	1	10					
		2.03%	2.33%	1.62%	1.15%	0.00%	1.81%	2.29%	0.78%	2.30%	1.89%	2.92%	0.88%	0.45%	1.47%	0.00%	1.90%	3.28%	4.55%	4.06%	4.76%	2.32%	0.00%	3.31%	1.39%	5.49%	2.97%	0.95%	1.82%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
