Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Белоглинская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522					
1	"Число избирателей, внесенных в список"	25332	1794	1707	1897	952	1534	1051	1359	2029	1374	131	565	952	324	154	399	1754	1593	752	885	1609	1843	674					
2	Число полученных избирательных бюллетеней	23670	1630	1530	1680	850	1340	1520	1210	1830	1230	130	560	850	380	150	360	1610	1450	680	820	1480	1720	660					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15545	1001	876	986	544	837	992	824	1150	810	99	418	635	297	131	287	1199	1192	509	526	881	925	426					
5	"Число избирательных бюллетеней, выданных вне помещения"	1244	132	28	47	73	51	59	48	98	74	10	11	50	27	4	36	49	144	87	35	51	101	29					
6	Число погашенных избирательных бюллетеней	6881	497	626	647	233	452	469	338	582	346	21	131	165	56	15	37	362	114	84	259	548	694	205					
7	Число избирательных бюллетеней в переносных ящиках	1244	132	28	47	73	51	59	48	98	74	10	11	50	27	4	36	49	144	87	35	51	101	29					
8	Число бюллетеней в стационарных ящиках для голосования	15544	1001	876	986	544	836	992	824	1150	810	99	418	635	297	131	287	1199	1192	509	526	881	925	426					
9	Число недействительных избирательных бюллетеней	120	9	10	5	1	6	7	8	7	4	3	3	5	6	0	6	3	9	2	5	7	13	1					
10	Число действительных избирательных бюллетеней	16668	1124	894	1028	616	881	1044	864	1241	880	106	426	680	318	135	317	1245	1327	594	556	925	1013	454					
11	Число полученных открепительных  удостоверений	195	10	10	10	10	10	10	10	10	10	5	5	10	10	5	5	10	10	10	10	10	10	5					
12	Число выданных открепительных удостоверений	92	3	7	5	2	4	5	7	2	5	1	1	5	6	2	3	9	4	3	1	8	6	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	51	1	1	1	0	1	11	11	7	3	0	2	4	0	2	0	3	1	2	0	0	1	0					
14	Число неиспользованных открепительных удостоверений	103	7	3	5	8	6	5	3	8	5	4	4	5	4	3	2	1	6	7	9	2	4	2					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	474	35	26	29	20	45	41	19	46	34	1	6	26	3	3	1	41	24	16	13	12	26	7					
		2.82%	3.09%	2.88%	2.81%	3.24%	5.07%	3.90%	2.18%	3.69%	3.85%	0.92%	1.40%	3.80%	0.93%	2.22%	0.31%	3.29%	1.80%	2.68%	2.32%	1.29%	2.53%	1.54%					
19	. Малышкин Олег Александрович	282	18	14	14	8	12	11	14	18	12	5	11	22	8	4	3	14	14	10	14	24	11	21					
		1.68%	1.59%	1.55%	1.36%	1.30%	1.35%	1.05%	1.61%	1.44%	1.36%	4.59%	2.56%	3.21%	2.47%	2.96%	0.93%	1.12%	1.05%	1.68%	2.50%	2.58%	1.07%	4.62%					
20	. Миронов Сергей Михайлович	65	7	2	5	4	0	5	2	2	3	0	1	5	5	0	2	4	1	2	1	6	5	3					
		0.39%	0.62%	0.22%	0.48%	0.65%	0.00%	0.48%	0.23%	0.16%	0.34%	0.00%	0.23%	0.73%	1.54%	0.00%	0.62%	0.32%	0.07%	0.34%	0.18%	0.64%	0.49%	0.66%					
21	. Путин Владимир Владимирович	10131	661	578	648	403	470	625	491	728	510	73	322	423	247	90	171	755	789	344	295	624	680	204					
		60.35%	58.34%	63.94%	62.73%	65.32%	52.99%	59.47%	56.31%	58.33%	57.69%	66.97%	75.06%	61.75%	76.23%	66.67%	52.94%	60.50%	59.06%	57.72%	52.58%	66.95%	66.28%	44.84%					
22	. Хакамада Ирина Муцуовна	265	25	10	13	5	9	19	17	23	15	4	6	13	4	2	10	17	23	10	7	11	14	8					
		1.58%	2.21%	1.11%	1.26%	0.81%	1.01%	1.81%	1.95%	1.84%	1.70%	3.67%	1.40%	1.90%	1.23%	1.48%	3.10%	1.36%	1.72%	1.68%	1.25%	1.18%	1.36%	1.76%					
23	. Харитонов Николай Михайлович	5068	345	231	289	162	328	308	294	392	285	19	76	171	49	29	119	400	451	206	220	231	265	198					
		30.19%	30.45%	25.55%	27.98%	26.26%	36.98%	29.31%	33.72%	31.41%	32.24%	17.43%	17.72%	24.96%	15.12%	21.48%	36.84%	32.05%	33.76%	34.56%	39.22%	24.79%	25.83%	43.52%					
																													
24	Против всех	383	33	33	30	14	17	35	27	32	21	4	4	20	2	7	11	14	25	6	6	17	12	13					
		2.28%	2.91%	3.65%	2.90%	2.27%	1.92%	3.33%	3.10%	2.56%	2.38%	3.67%	0.93%	2.92%	0.62%	5.19%	3.41%	1.12%	1.87%	1.01%	1.07%	1.82%	1.17%	2.86%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
