Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Донецкая городская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №2606	УИК №2607	УИК №2608	УИК №2609					
1	"Число избирателей, внесенных в список"	40319	1424	1224	1415	2435	2595	1220	1103	1594	2228	2287	1200	2061	1274	1489	1268	1618	1118	1038	1980	1443	1090	2153	1940	1861	1261					
2	Число полученных избирательных бюллетеней	40618	1415	1233	1420	2455	2612	1032	1085	1601	2287	2321	1222	2093	1303	1517	1263	1643	1105	1047	2019	1521	1124	2126	2002	1950	1222					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21614	863	428	691	1331	1451	520	560	763	1163	1316	748	1058	831	856	566	835	520	585	1171	729	546	1237	1104	1123	619					
5	"Число избирательных бюллетеней, выданных вне помещения"	5056	193	430	295	174	108	365	135	276	402	262	85	228	63	108	227	217	155	72	88	228	211	263	75	121	275					
6	Число погашенных избирательных бюллетеней	13948	359	375	434	950	1053	147	390	562	722	743	389	807	409	553	470	591	430	390	760	564	367	626	823	706	328					
7	Число избирательных бюллетеней в переносных ящиках	5055	193	430	295	173	108	365	135	276	402	262	85	228	63	108	227	217	155	72	88	228	211	263	75	121	275					
8	Число бюллетеней в стационарных ящиках для голосования	21613	863	428	691	1330	1451	520	560	763	1163	1316	748	1058	831	856	566	835	520	585	1171	729	546	1237	1104	1123	619					
9	Число недействительных избирательных бюллетеней	146	8	5	13	13	8	6	3	6	9	9	3	0	2	4	5	7	1	5	5	9	3	4	5	8	5					
10	Число действительных избирательных бюллетеней	26522	1048	853	973	1490	1551	879	692	1033	1556	1569	830	1286	892	960	788	1045	674	652	1254	948	754	1496	1174	1236	889					
11	Число полученных открепительных  удостоверений	990	40	40	40	55	65	15	40	42	38	40	40	40	30	40	25	40	25	40	40	40	30	40	50	55	40					
12	Число выданных открепительных удостоверений	677	12	9	14	49	65	10	8	42	36	36	40	38	25	21	18	14	9	15	24	40	18	36	41	46	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	454	31	3	1	28	18	190	10	11	4	16	9	17	11	6	9	7	10	9	2	7	4	8	16	10	17					
14	Число неиспользованных открепительных удостоверений	313	28	31	26	6	0	5	32	0	2	4	0	2	5	19	7	26	16	25	16	0	12	4	9	9	29					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	1	0	3	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	1220	40	17	40	71	84	47	15	47	78	69	51	71	42	57	30	47	35	45	63	53	38	72	41	22	45					
		4.57%	3.79%	1.98%	4.06%	4.72%	5.39%	5.31%	2.16%	4.52%	4.98%	4.37%	6.12%	5.52%	4.70%	5.91%	3.78%	4.47%	5.19%	6.85%	5.00%	5.54%	5.02%	4.80%	3.48%	1.77%	5.03%					
19	. Малышкин Олег Александрович	1186	31	58	56	53	80	45	28	40	64	63	27	52	32	38	20	57	41	35	60	40	60	57	52	54	43					
