Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Озерская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397					
1	"Число избирателей, внесенных в список"	12393	380	426	355	358	706	474	519	663	429	273	285	448	456	404	445	738	417	2559	2058					
2	Число полученных избирательных бюллетеней	10860	360	380	320	350	680	420	460	500	390	240	250	370	400	370	380	660	380	2300	1650					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7202	224	233	198	208	350	304	315	338	316	186	194	223	243	182	278	384	226	1403	1397					
5	"Число избирательных бюллетеней, выданных вне помещения"	620	18	32	33	19	71	28	54	45	20	20	28	15	32	40	14	40	28	42	41					
6	Число погашенных избирательных бюллетеней	3038	118	115	89	123	259	88	91	117	54	34	28	132	125	148	88	236	126	855	212					
7	Число избирательных бюллетеней в переносных ящиках	620	18	32	33	19	71	28	54	45	20	20	28	15	32	40	14	40	28	42	41					
8	Число бюллетеней в стационарных ящиках для голосования	7201	224	233	198	208	350	304	315	338	316	186	194	223	242	182	278	384	226	1403	1397					
9	Число недействительных избирательных бюллетеней	79	2	5	4	4	3	4	1	3	7	3	2	5	1	3	6	5	4	14	3					
10	Число действительных избирательных бюллетеней	7742	240	260	227	223	418	328	368	380	329	203	220	233	273	219	286	419	250	1431	1435					
11	Число полученных открепительных  удостоверений	150	5	5	5	9	10	5	5	5	5	4	4	5	5	10	5	7	5	23	28					
12	Число выданных открепительных удостоверений	96	5	2	1	7	7	2	1	1	5	2	2	1	5	6	4	4	5	14	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	52	2	2	3	4	2	1	2	1	2	0	7	0	3	2	2	1	1	7	10					
14	Число неиспользованных открепительных удостоверений	54	0	3	4	2	3	3	4	4	0	2	2	4	0	4	1	3	0	9	6					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	154	1	2	5	5	7	7	8	6	4	4	0	3	6	3	5	18	1	38	31					
		1.97%	0.41%	0.75%	2.16%	2.20%	1.66%	2.11%	2.17%	1.57%	1.19%	1.94%	0.00%	1.26%	2.19%	1.35%	1.71%	4.25%	0.39%	2.63%	2.16%					
19	. Малышкин Олег Александрович	188	8	7	0	2	8	7	8	7	4	9	9	5	4	5	15	13	3	38	36					
		2.40%	3.31%	2.64%	0.00%	0.88%	1.90%	2.11%	2.17%	1.83%	1.19%	4.37%	4.05%	2.10%	1.46%	2.25%	5.14%	3.07%	1.18%	2.63%	2.50%					
20	. Миронов Сергей Михайлович	63	1	7	2	1	3	1	3	1	3	1	4	5	1	1	2	3	0	14	10					
		0.81%	0.41%	2.64%	0.87%	0.44%	0.71%	0.30%	0.81%	0.26%	0.89%	0.49%	1.80%	2.10%	0.36%	0.45%	0.68%	0.71%	0.00%	0.97%	0.70%					
21	. Путин Владимир Владимирович	6193	210	211	204	194	339	259	316	349	292	163	160	179	233	190	243	318	197	1037	1099					
		79.18%	86.78%	79.62%	88.31%	85.46%	80.52%	78.01%	85.64%	91.12%	86.90%	79.13%	72.07%	75.21%	85.04%	85.59%	83.22%	75.00%	77.56%	71.76%	76.43%					
22	. Хакамада Ирина Муцуовна	122	2	4	1	5	6	4	4	0	8	6	1	5	2	0	2	9	3	30	30					
		1.56%	0.83%	1.51%	0.43%	2.20%	1.43%	1.20%	1.08%	0.00%	2.38%	2.91%	0.45%	2.10%	0.73%	0.00%	0.68%	2.12%	1.18%	2.08%	2.09%					
23	. Харитонов Николай Михайлович	880	17	26	12	10	53	45	20	17	13	16	40	34	22	15	14	50	43	239	194					
		11.25%	7.02%	9.81%	5.19%	4.41%	12.59%	13.55%	5.42%	4.44%	3.87%	7.77%	18.02%	14.29%	8.03%	6.76%	4.79%	11.79%	16.93%	16.54%	13.49%					
																										
24	Против всех	142	1	3	3	6	2	5	9	0	5	4	6	2	5	5	5	8	3	35	35					
		1.82%	0.41%	1.13%	1.30%	2.64%	0.48%	1.51%	2.44%	0.00%	1.49%	1.94%	2.70%	0.84%	1.82%	2.25%	1.71%	1.89%	1.18%	2.42%	2.43%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
