Выборы Президента Российской Федерации																																																																																							
																																																																																							
"Наименование Избирательной комиссии:    Екатеринбург, Верх-Исетская"																																																																																							
																																																																																							
Итоги голосования 																																																																																							
																																																																																							
		Сумма	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321					
1	"Число избирателей, внесенных в список"	152277	1103	1895	1925	1796	2467	1847	2459	2142	2656	2931	2343	2191	2365	2627	1018	1232	2707	2642	2847	1570	1739	1528	2017	1788	2061	2410	1909	1857	2682	2386	2529	2422	2428	2129	2630	1884	2018	2310	1418	1961	2348	2626	1651	2300	1994	1959	1436	1576	1961	1974	1044	1876	2605	2268	2297	2702	2508	2492	2880	2386	2733	2618	2454	2748	2853	2882	1846	331	566	462	789	679	710	72	134	294	755	721	765	113					
2	Число полученных избирательных бюллетеней	138555	950	1710	1720	1600	2210	1620	2180	1920	2370	2540	2100	1990	2140	2350	960	915	2430	2360	2460	1420	1560	1360	1810	1600	1800	2300	1720	1640	2450	2160	2250	2160	2250	1960	2360	1700	1840	2060	1280	1770	2110	2350	1485	2080	1810	1760	1280	1430	1770	1800	910	1670	2300	2030	2020	2410	2240	2260	2560	2150	2460	2350	2180	2380	2460	2600	1820	290	510	385	1300	750	1400	100	220	400	760	770	900	120					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	82059	573	1219	1264	892	1371	986	1114	1091	1327	1529	1255	1230	1313	1372	534	471	1368	1408	1404	917	905	791	1093	1041	899	1525	968	1033	1503	1347	1468	1377	1253	1165	1452	940	1054	1398	649	1096	1318	1382	903	1201	1048	960	680	865	1125	1162	549	939	1121	1296	1190	1283	1326	1123	1448	1230	1442	1324	1218	1369	1373	1448	1043	185	243	234	678	679	423	59	116	205	697	704	762	113					
5	"Число избирательных бюллетеней, выданных вне помещения"	3090	98	37	30	36	21	37	32	21	31	8	7	12	29	23	66	186	30	27	66	23	19	26	37	29	28	34	18	21	32	42	17	27	22	19	38	24	28	25	39	34	35	45	26	44	32	52	22	32	14	25	120	6	109	58	13	41	10	14	14	18	20	21	24	34	30	18	264	3	48	76	111	0	264	11	0	57	0	0	0	0					
6	Число погашенных избирательных бюллетеней	53406	279	454	426	672	818	597	1034	808	1012	1003	838	748	798	955	360	258	1032	925	990	480	636	543	680	530	873	741	734	586	915	771	765	756	975	776	870	736	758	637	592	640	757	923	556	835	730	748	578	533	631	613	241	725	1070	676	817	1086	904	1123	1098	902	998	1005	938	977	1057	1134	513	102	219	75	511	71	713	30	104	138	63	66	138	7					
7	Число избирательных бюллетеней в переносных ящиках	3090	98	37	30	36	21	37	32	21	31	8	7	12	29	23	66	186	30	27	66	23	19	26	37	29	28	34	18	21	32	42	17	27	22	19	38	24	28	25	39	34	35	45	26	44	32	52	22	32	14	25	120	6	109	58	13	41	10	14	14	18	20	21	24	34	30	18	264	3	48	76	111	0	264	11	0	57	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	81997	572	1219	1234	892	1371	986	1104	1091	1327	1529	1255	1217	1312	1372	534	471	1368	1408	1404	917	905	791	1093	1039	898	1525	968	1033	1503	1346	1468	1376	1253	1165	1452	940	1054	1398	648	1096	1318	1382	903	1201	1048	960	680	865	1124	1162	549	939	1121	1296	1190	1283	1326	1123	1448	1230	1442	1324	1218	1369	1373	1448	1043	185	243	234	678	679	423	59	116	205	697	704	762	113					
9	Число недействительных избирательных бюллетеней	628	2	1	8	8	13	4	3	10	7	20	6	8	12	10	2	5	17	13	10	5	7	4	13	7	8	14	11	8	8	10	16	10	4	8	17	6	9	6	10	3	6	8	6	6	9	5	0	9	6	7	3	4	8	5	0	16	9	10	11	14	10	13	7	6	15	5	12	2	5	0	12	8	9	1	3	1	11	4	18	1					
10	Число действительных избирательных бюллетеней	84459	668	1255	1256	920	1379	1019	1133	1102	1351	1517	1256	1221	1329	1385	598	652	1381	1422	1460	935	917	813	1117	1061	918	1545	975	1046	1527	1378	1469	1393	1271	1176	1473	958	1073	1417	677	1127	1347	1419	923	1239	1071	1007	702	888	1132	1180	666	941	1222	1349	1203	1308	1327	1127	1451	1234	1452	1332	1235	1397	1388	1461	1295	186	286	310	777	671	678	69	113	261	686	700	744	112					
