Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Конышевская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562					
1	"Число избирателей, внесенных в список"	11681	2271	1036	345	185	118	267	326	350	203	151	306	326	383	141	223	263	258	370	91	180	195	335	498	269	69	109	183	512	116	143	207	106	344	118	307	96	112	169					
2	Число полученных избирательных бюллетеней	11348	2180	995	327	188	120	257	320	338	193	153	293	317	364	144	210	250	245	351	93	182	199	314	472	254	73	110	184	500	124	149	202	109	332	121	296	97	116	176					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7978	1375	647	280	151	68	195	178	248	131	116	200	194	274	96	176	222	203	283	61	121	106	233	370	174	38	91	141	376	72	110	164	84	244	75	214	66	85	116					
5	"Число избирательных бюллетеней, выданных вне помещения"	1287	77	33	31	0	30	50	85	45	41	20	53	71	49	27	27	19	34	32	15	25	53	26	28	49	16	9	24	36	31	22	24	11	39	24	59	25	18	29					
6	Число погашенных избирательных бюллетеней	2083	728	315	16	37	22	12	57	45	21	17	40	52	41	21	7	9	8	36	17	36	40	55	74	31	19	10	19	88	21	17	14	14	49	22	23	6	13	31					
7	Число избирательных бюллетеней в переносных ящиках	1287	77	33	31	0	30	50	85	45	41	20	53	71	49	27	27	19	34	32	15	25	53	26	28	49	16	9	24	36	31	22	24	11	39	24	59	25	18	29					
8	Число бюллетеней в стационарных ящиках для голосования	7978	1375	647	280	151	68	195	178	248	131	116	200	194	274	96	176	222	203	283	61	121	106	233	370	174	38	91	141	376	72	110	164	84	244	75	214	66	85	116					
9	Число недействительных избирательных бюллетеней	104	17	7	7	5	0	4	2	3	0	0	9	1	0	0	4	2	2	9	0	0	4	3	5	4	0	2	1	5	0	0	0	0	0	0	6	0	1	1					
10	Число действительных избирательных бюллетеней	9161	1435	673	304	146	98	241	261	290	172	136	244	264	323	123	199	239	235	306	76	146	155	256	393	219	54	98	164	407	103	132	188	95	283	99	267	91	102	144					
11	Число полученных открепительных  удостоверений	224	44	20	5	2	2	5	12	5	5	2	5	9	5	2	5	5	2	5	2	2	2	5	5	5	2	2	2	18	7	7	5	2	5	2	5	2	2	2					
12	Число выданных открепительных удостоверений	123	32	11	0	1	0	3	12	5	0	0	0	9	0	0	0	1	0	2	1	0	1	0	2	0	0	0	0	18	6	6	4	0	3	0	2	0	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	56	13	5	1	1	1	1	3	3	1	0	1	1	1	0	2	0	3	2	0	0	1	1	2	1	0	1	1	2	1	3	1	0	0	0	0	1	2	0					
14	Число неиспользованных открепительных удостоверений	101	12	9	5	1	2	2	0	0	5	2	5	0	5	2	5	4	2	3	1	2	1	5	3	5	2	2	2	0	1	1	1	2	2	2	3	2	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	196	45	32	6	1	0	0	2	10	5	2	1	1	3	0	4	7	1	3	0	5	3	3	8	12	5	2	4	10	1	9	1	1	2	0	4	1	0	2					
		2.12%	3.10%	4.71%	1.93%	0.66%	0.00%	0.00%	0.76%	3.41%	2.91%	1.47%	0.40%	0.38%	0.93%	0.00%	1.97%	2.90%	0.42%	0.95%	0.00%	3.42%	1.89%	1.16%	2.01%	5.38%	9.26%	2.00%	2.42%	2.43%	0.97%	6.82%	0.53%	1.05%	0.71%	0.00%	1.47%	1.10%	0.00%	1.38%					
19	. Малышкин Олег Александрович	207	50	17	3	0	1	8	4	5	10	0	3	2	7	0	2	4	10	5	1	2	6	5	17	6	0	1	1	16	0	3	3	2	6	3	1	0	1	2					
		2.23%	3.44%	2.50%	0.96%	0.00%	1.02%	3.27%	1.52%	1.71%	5.81%	0.00%	1.19%	0.75%	2.17%	0.00%	0.99%	1.66%	4.22%	1.59%	1.32%	1.37%	3.77%	1.93%	4.27%	2.69%	0.00%	1.00%	0.61%	3.88%	0.00%	2.27%	1.60%	2.11%	2.12%	3.03%	0.37%	0.00%	0.97%	1.38%					
20	. Миронов Сергей Михайлович	56	5	6	0	1	0	1	1	6	1	0	3	3	0	0	4	2	0	0	0	0	3	8	0	0	0	0	2	6	0	0	1	0	2	0	0	0	0	1					
