Выборы Президента Российской Федерации																								
																								
"Наименование Избирательной комиссии:    Новороссийск, Восточная"																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3499					
1	"Число избирателей, внесенных в список"	26638	1367	2502	1472	1787	1548	1205	1470	1836	1958	1683	1947	1687	1575	2655	271	1530	145					
2	Число полученных избирательных бюллетеней	26152	1400	2300	1400	1700	1600	1200	1500	1800	2000	1600	1900	1700	1500	2600	280	1500	172					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13812	703	1227	669	934	851	668	670	878	991	894	971	874	910	1439	186	820	127					
5	"Число избирательных бюллетеней, выданных вне помещения"	551	49	37	74	22	45	2	30	43	74	32	40	49	16	17	0	21	0					
6	Число погашенных избирательных бюллетеней	11789	648	1036	657	744	704	530	800	879	935	674	889	777	574	1144	94	659	45					
7	Число избирательных бюллетеней в переносных ящиках	551	49	37	74	22	45	2	30	43	74	32	40	49	16	17	0	21	0					
8	Число бюллетеней в стационарных ящиках для голосования	13796	703	1227	669	934	851	668	670	878	991	894	971	874	894	1439	186	820	127					
9	Число недействительных избирательных бюллетеней	97	2	12	0	6	6	3	9	7	4	7	5	11	7	12	1	4	1					
10	Число действительных избирательных бюллетеней	14250	750	1252	743	950	890	667	691	914	1061	919	1006	912	903	1444	185	837	126					
11	Число полученных открепительных  удостоверений	479	11	264	15	15	15	11	31	15	15	15	16	11	15	11	4	15	0					
12	Число выданных открепительных удостоверений	366	6	264	2	11	8	3	6	6	9	10	11	9	9	8	1	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	320	26	122	12	35	21	10	6	3	12	15	9	5	15	9	10	8	2					
14	Число неиспользованных открепительных удостоверений	113	5	0	13	4	7	8	25	9	6	5	5	2	6	3	3	12	0					
15	"Число открепительных удостоверений, выданных в ТИК"	21	0	1	2	1	1	1	1	0	1	1	4	3	0	3	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	434	35	37	22	32	28	33	12	22	23	25	25	30	15	61	5	27	2					
		3.03%	4.65%	2.93%	2.96%	3.35%	3.12%	4.93%	1.71%	2.39%	2.16%	2.70%	2.47%	3.25%	1.65%	4.19%	2.69%	3.21%	1.57%					
19	. Малышкин Олег Александрович	355	17	44	22	27	19	25	12	16	19	24	17	28	19	37	1	26	2					
		2.47%	2.26%	3.48%	2.96%	2.82%	2.12%	3.73%	1.71%	1.74%	1.78%	2.59%	1.68%	3.03%	2.09%	2.54%	0.54%	3.09%	1.57%					
20	. Миронов Сергей Михайлович	72	6	2	5	2	3	9	2	6	7	10	4	5	2	2	2	3	2					
		0.50%	0.80%	0.16%	0.67%	0.21%	0.33%	1.34%	0.29%	0.65%	0.66%	1.08%	0.40%	0.54%	0.22%	0.14%	1.08%	0.36%	1.57%					
21	. Путин Владимир Владимирович	11079	570	982	568	760	670	506	529	704	872	706	808	678	721	1123	150	636	96					
		77.22%	75.80%	77.69%	76.45%	79.50%	74.78%	75.52%	75.57%	76.44%	81.88%	76.24%	79.92%	73.46%	79.23%	77.13%	80.65%	75.62%	75.59%					
22	. Хакамада Ирина Муцуовна	482	27	41	22	31	42	32	31	27	29	32	22	33	26	47	3	31	6					
		3.36%	3.59%	3.24%	2.96%	3.24%	4.69%	4.78%	4.43%	2.93%	2.72%	3.46%	2.18%	3.58%	2.86%	3.23%	1.61%	3.69%	4.72%					
23	. Харитонов Николай Михайлович	1422	80	109	79	66	106	49	85	110	80	96	110	113	102	137	18	73	9					
		9.91%	10.64%	8.62%	10.63%	6.90%	11.83%	7.31%	12.14%	11.94%	7.51%	10.37%	10.88%	12.24%	11.21%	9.41%	9.68%	8.68%	7.09%					
																								
24	Против всех	406	15	37	25	32	22	13	20	29	31	26	20	25	18	37	6	41	9					
		2.83%	1.99%	2.93%	3.36%	3.35%	2.46%	1.94%	2.86%	3.15%	2.91%	2.81%	1.98%	2.71%	1.98%	2.54%	3.23%	4.88%	7.09%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
