Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Северная																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858					
1	"Число избирателей, внесенных в список"	8910	423	110	313	56	238	189	250	2164	2134	253	526	99	335	76	264	205	278	213	469	94	149	72					
2	Число полученных избирательных бюллетеней	8157	388	109	290	56	220	195	230	1930	1900	230	480	100	310	80	240	190	260	200	430	92	152	75					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5485	272	91	239	50	188	146	178	1138	1039	183	319	82	247	57	197	165	203	109	351	66	116	49					
5	"Число избирательных бюллетеней, выданных вне помещения"	976	47	12	22	0	14	10	10	213	273	15	81	4	22	7	38	21	29	54	54	18	10	22					
6	Число погашенных избирательных бюллетеней	1696	69	6	29	6	18	39	42	579	588	32	80	14	41	16	5	4	28	37	25	8	26	4					
7	Число избирательных бюллетеней в переносных ящиках	976	47	12	22	0	14	10	10	213	273	15	81	4	22	7	38	21	29	54	54	18	10	22					
8	Число бюллетеней в стационарных ящиках для голосования	5482	272	91	239	50	188	146	178	1136	1038	183	319	82	247	57	197	165	203	109	351	66	116	49					
9	Число недействительных избирательных бюллетеней	75	2	0	5	0	2	4	9	17	9	2	4	0	0	1	3	1	5	5	3	1	1	1					
10	Число действительных избирательных бюллетеней	6383	317	103	256	50	200	152	179	1332	1302	196	396	86	269	63	232	185	227	158	402	83	125	70					
11	Число полученных открепительных  удостоверений	117	6	6	6	2	2	5	3	16	14	3	7	2	2	1	3	5	11	5	15	0	3	0					
12	Число выданных открепительных удостоверений	117	6	6	6	2	2	5	3	16	14	3	7	2	2	1	3	5	11	5	15	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	54	1	4	0	2	0	1	1	13	11	2	4	0	0	1	3	2	2	2	1	1	2	1					
14	Число неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	77	0	6	0	0	0	0	1	21	25	1	3	0	3	0	1	0	3	1	12	0	0	0					
		1.19%	0.00%	5.83%	0.00%	0.00%	0.00%	0.00%	0.53%	1.56%	1.91%	0.51%	0.75%	0.00%	1.12%	0.00%	0.43%	0.00%	1.29%	0.61%	2.96%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	148	12	7	6	0	4	10	2	31	29	3	4	2	6	1	2	0	5	3	14	2	4	1					
		2.29%	3.76%	6.80%	2.30%	0.00%	1.98%	6.41%	1.06%	2.30%	2.21%	1.52%	1.00%	2.33%	2.23%	1.56%	0.85%	0.00%	2.16%	1.84%	3.46%	2.38%	3.17%	1.41%					
20	. Миронов Сергей Михайлович	29	2	1	2	1	0	0	1	9	5	0	0	1	2	0	1	0	0	0	1	1	0	2					
		0.45%	0.63%	0.97%	0.77%	2.00%	0.00%	0.00%	0.53%	0.67%	0.38%	0.00%	0.00%	1.16%	0.74%	0.00%	0.43%	0.00%	0.00%	0.00%	0.25%	1.19%	0.00%	2.82%					
21	. Путин Владимир Владимирович	3275	131	53	146	39	162	67	76	738	708	91	197	53	144	38	100	64	80	53	212	22	66	35					
		50.71%	41.07%	51.46%	55.94%	78.00%	80.20%	42.95%	40.43%	54.71%	54.00%	45.96%	49.25%	61.63%	53.53%	59.38%	42.55%	34.41%	34.48%	32.52%	52.35%	26.19%	52.38%	49.30%					
22	. Хакамада Ирина Муцуовна	151	3	5	5	3	1	7	5	40	34	3	5	2	6	1	7	3	6	5	5	2	0	3					
		2.34%	0.94%	4.85%	1.92%	6.00%	0.50%	4.49%	2.66%	2.97%	2.59%	1.52%	1.25%	2.33%	2.23%	1.56%	2.98%	1.61%	2.59%	3.07%	1.23%	2.38%	0.00%	4.23%					
23	. Харитонов Николай Михайлович	2578	168	28	91	5	32	62	89	460	471	97	183	26	105	22	120	112	130	95	145	56	54	27					
		39.92%	52.66%	27.18%	34.87%	10.00%	15.84%	39.74%	47.34%	34.10%	35.93%	48.99%	45.75%	30.23%	39.03%	34.38%	51.06%	60.22%	56.03%	58.28%	35.80%	66.67%	42.86%	38.03%					
																													
24	Против всех	125	1	3	6	2	1	6	5	33	30	1	4	2	3	1	1	6	3	1	13	0	1	2					
		1.94%	0.31%	2.91%	2.30%	4.00%	0.50%	3.85%	2.66%	2.45%	2.29%	0.51%	1.00%	2.33%	1.12%	1.56%	0.43%	3.23%	1.29%	0.61%	3.21%	0.00%	0.79%	2.82%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
