Выборы Президента Российской Федерации																																																																									
																																																																									
"Наименование Избирательной комиссии:    Владивосток, Ленинская "																																																																									
																																																																									
Итоги голосования 																																																																									
																																																																									
		Сумма	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350					
1	"Число избирателей, внесенных в список"	115329	2225	1670	2104	2275	2234	1242	580	1601	1436	2678	2320	2454	2305	2611	2716	3002	2809	2506	2309	2712	2585	2830	2350	2708	2691	2684	2767	2232	1904	2178	2256	1847	1909	2185	2528	2044	1714	2501	1115	2283	2750	2659	2701	2892	2936	2728	2566	2687	659	133	36	128	163	187	227	391	204	241	326	309	475	244	173	201	74	139					
2	Число полученных избирательных бюллетеней	110897	2100	1500	1900	2100	2100	1300	500	1500	1400	2500	2200	2300	2300	2600	2600	2800	2700	2400	2200	2300	2400	2800	2200	2500	2500	2600	2600	2100	1800	2100	2100	1600	1900	2000	2400	2100	1700	2300	900	2200	2600	2500	2700	2800	2800	2600	2500	2500	1000	200	52	182	240	200	340	540	280	340	370	470	700	300	170	196	71	146					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	64314	1561	967	1105	1307	1130	1242	408	809	1158	1598	1210	1242	1306	1526	1593	1654	1567	1438	1174	1556	1493	1376	1149	1319	1491	1148	1451	1139	982	1066	1309	1081	916	1272	1454	1254	1001	1073	651	1133	1351	1235	1308	1547	1400	1451	1375	1411	415	133	36	106	107	185	227	391	204	240	305	305	475	237	170	181	71	139					
5	"Число избирательных бюллетеней, выданных вне помещения"	2184	49	45	77	39	52	0	31	38	26	48	37	55	58	20	23	27	19	29	25	34	27	40	43	70	72	55	44	52	24	38	60	17	43	113	26	19	24	79	27	22	28	28	47	42	27	38	53	21	214	0	0	3	56	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	44399	490	488	718	754	918	58	61	653	216	854	953	1003	936	1054	984	1119	1114	933	1001	710	880	1384	1008	1111	937	1397	1105	909	794	996	731	502	941	615	920	827	675	1148	222	1045	1221	1237	1345	1211	1373	1111	1072	1068	371	67	16	73	77	15	113	149	76	100	65	165	225	63	0	15	0	7					
7	Число избирательных бюллетеней в переносных ящиках	2184	49	45	77	39	52	0	31	38	26	48	37	55	58	20	23	27	19	29	25	34	27	40	43	70	72	55	44	52	24	38	60	17	43	113	26	19	24	79	27	22	28	28	47	42	27	38	53	21	214	0	0	3	56	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	64246	1561	967	1105	1307	1130	1242	408	809	1158	1588	1206	1238	1306	1525	1593	1654	1567	1437	1173	1556	1493	1334	1149	1319	1491	1148	1451	1139	982	1066	1306	1081	915	1272	1454	1254	1001	1073	651	1133	1351	1235	1308	1547	1400	1451	1375	1411	414	133	36	106	107	185	227	391	204	240	305	305	475	237	170	181	71	139					
9	Число недействительных избирательных бюллетеней	400	13	3	4	5	12	19	1	2	7	7	0	4	11	4	7	9	15	10	2	8	8	6	3	16	10	10	13	7	3	0	14	6	1	9	12	4	8	10	4	17	4	6	8	13	12	3	7	6	14	1	0	6	2	1	2	1	1	1	0	3	2	0	0	2	1	0					
10	Число действительных избирательных бюллетеней	66030	1597	1009	1178	1341	1170	1223	438	845	1177	1629	1243	1289	1353	1541	1609	1672	1571	1456	1196	1582	1512	1368	1189	1373	1553	1193	1482	1184	1003	1104	1352	1092	957	1376	1468	1269	1017	1142	674	1138	1375	1257	1347	1576	1415	1486	1421	1426	614	132	36	103	161	184	225	390	203	239	305	302	473	237	170	179	70	139					
