Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Надтеречная																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190					
1	"Число избирателей, внесенных в список"	29792	485	840	1288	1491	1730	1480	1454	1438	2113	1425	1608	3130	2138	2266	2704	522	791	1825	1064					
2	Число полученных избирательных бюллетеней	29767	485	840	1288	1491	1730	1480	1454	1438	2112	1425	1585	3129	2138	2266	2704	522	791	1825	1064					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	28923	485	816	1256	1285	1686	1436	1452	1419	2028	1385	1578	3087	2095	2101	2647	520	778	1816	1053					
5	"Число избирательных бюллетеней, выданных вне помещения"	233	0	5	3	152	0	0	0	0	0	0	4	15	0	51	3	0	0	0	0					
6	Число погашенных избирательных бюллетеней	611	0	19	29	54	44	44	2	19	84	40	3	27	43	114	54	2	13	9	11					
7	Число избирательных бюллетеней в переносных ящиках	233	0	5	3	152	0	0	0	0	0	0	4	15	0	51	3	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	28923	485	816	1256	1285	1686	1436	1452	1419	2028	1385	1578	3087	2095	2101	2647	520	778	1816	1053					
9	Число недействительных избирательных бюллетеней	19	0	1	2	0	9	0	2	0	5	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	29137	485	820	1257	1437	1677	1436	1450	1419	2023	1385	1582	3102	2095	2152	2650	520	778	1816	1053					
11	Число полученных открепительных  удостоверений	235	5	5	10	10	15	10	10	10	20	10	10	25	20	20	25	5	5	10	10					
12	Число выданных открепительных удостоверений	4	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	19	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	231	5	5	9	10	14	10	10	10	19	10	9	25	20	20	25	5	5	10	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	5	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0					
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	50	0	2	1	1	3	5	0	0	10	7	3	2	2	0	10	0	2	2	0					
		0.17%	0.00%	0.24%	0.08%	0.07%	0.18%	0.35%	0.00%	0.00%	0.49%	0.51%	0.19%	0.06%	0.10%	0.00%	0.38%	0.00%	0.26%	0.11%	0.00%					
20	. Миронов Сергей Михайлович	64	0	2	1	3	3	10	0	4	7	4	5	1	3	0	15	0	6	0	0					
		0.22%	0.00%	0.24%	0.08%	0.21%	0.18%	0.70%	0.00%	0.28%	0.35%	0.29%	0.32%	0.03%	0.14%	0.00%	0.57%	0.00%	0.77%	0.00%	0.00%					
21	. Путин Владимир Владимирович	28755	484	807	1242	1428	1656	1408	1417	1404	1987	1361	1564	3095	2078	2150	2570	518	764	1779	1043					
		98.62%	99.79%	98.29%	98.65%	99.37%	98.22%	98.05%	97.59%	98.94%	97.98%	98.27%	98.86%	99.77%	99.19%	99.91%	96.98%	99.62%	98.20%	97.96%	99.05%					
22	. Хакамада Ирина Муцуовна	66	0	1	2	2	4	2	7	3	5	2	3	1	7	1	12	2	2	10	0					
		0.23%	0.00%	0.12%	0.16%	0.14%	0.24%	0.14%	0.48%	0.21%	0.25%	0.14%	0.19%	0.03%	0.33%	0.05%	0.45%	0.38%	0.26%	0.55%	0.00%					
23	. Харитонов Николай Михайлович	172	1	6	10	3	11	9	23	8	14	11	7	3	3	1	43	0	4	5	10					
		0.59%	0.21%	0.73%	0.79%	0.21%	0.65%	0.63%	1.58%	0.56%	0.69%	0.79%	0.44%	0.10%	0.14%	0.05%	1.62%	0.00%	0.51%	0.28%	0.95%					
																										
24	Против всех	25	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	20	0					
		0.09%	0.00%	0.24%	0.08%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.10%	0.00%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
