Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Шебалинская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241					
1	"Число избирателей, внесенных в список"	9884	267	187	440	384	546	585	148	105	271	1358	435	236	66	1739	1764	244	442	56	142	124	199	146					
2	Число полученных избирательных бюллетеней	9798	268	186	435	366	542	583	149	103	266	1348	427	224	66	1731	1762	241	430	60	144	119	200	148					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5909	199	158	387	326	318	315	116	73	132	736	250	203	66	756	860	172	286	49	104	110	173	120					
5	"Число избирательных бюллетеней, выданных вне помещения"	812	19	8	14	7	58	43	14	6	58	135	33	6	0	179	164	26	11	3	0	1	5	22					
6	Число погашенных избирательных бюллетеней	3077	50	20	34	33	166	225	19	24	76	477	144	15	0	796	738	43	133	8	40	8	22	6					
7	Число избирательных бюллетеней в переносных ящиках	812	19	8	14	7	58	43	14	6	58	135	33	6	0	179	164	26	11	3	0	1	5	22					
8	Число бюллетеней в стационарных ящиках для голосования	5908	199	158	387	326	318	315	116	73	132	736	250	203	66	755	860	172	286	49	104	110	173	120					
9	Число недействительных избирательных бюллетеней	48	1	0	2	3	2	2	1	1	2	7	2	2	0	5	5	3	6	0	1	0	1	2					
10	Число действительных избирательных бюллетеней	6672	217	166	399	330	374	356	129	78	188	864	281	207	66	929	1019	195	291	52	103	111	177	140					
11	Число полученных открепительных  удостоверений	245	5	6	6	6	12	12	3	3	6	30	12	6	3	50	50	6	12	3	3	3	4	4					
12	Число выданных открепительных удостоверений	67	1	0	1	2	0	3	0	0	2	7	0	0	0	21	25	2	0	3	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	38	0	1	4	1	0	1	1	1	2	1	2	2	0	5	7	3	3	1	0	1	1	1					
14	Число неиспользованных открепительных удостоверений	178	4	6	5	4	12	9	3	3	4	23	12	6	3	29	25	4	12	0	3	3	4	4					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	127	3	4	10	3	8	5	5	0	3	11	8	4	0	21	24	2	15	0	0	0	1	0					
		1.89%	1.38%	2.41%	2.49%	0.90%	2.13%	1.40%	3.85%	0.00%	1.58%	1.26%	2.83%	1.91%	0.00%	2.25%	2.34%	1.01%	5.05%	0.00%	0.00%	0.00%	0.56%	0.00%					
19	. Малышкин Олег Александрович	78	2	1	2	2	5	5	2	1	6	10	1	1	0	11	8	5	7	3	2	2	2	0					
		1.16%	0.92%	0.60%	0.50%	0.60%	1.33%	1.40%	1.54%	1.27%	3.16%	1.15%	0.35%	0.48%	0.00%	1.18%	0.78%	2.53%	2.36%	5.77%	1.92%	1.80%	1.12%	0.00%					
20	. Миронов Сергей Михайлович	69	1	1	1	0	4	4	1	0	1	7	1	1	1	3	11	3	2	0	1	23	2	1					
		1.03%	0.46%	0.60%	0.25%	0.00%	1.06%	1.12%	0.77%	0.00%	0.53%	0.80%	0.35%	0.48%	1.52%	0.32%	1.07%	1.52%	0.67%	0.00%	0.96%	20.72%	1.12%	0.70%					
21	. Путин Владимир Владимирович	5255	191	138	323	261	298	257	98	69	165	701	231	143	62	728	778	142	202	47	91	72	134	124					
		78.20%	87.61%	83.13%	80.55%	78.38%	79.26%	71.79%	75.38%	87.34%	86.84%	80.48%	81.63%	68.42%	93.94%	77.94%	75.98%	71.72%	68.01%	90.38%	87.50%	64.86%	75.28%	87.32%					
22	. Хакамада Ирина Муцуовна	203	5	0	18	11	12	8	5	0	9	20	4	13	0	38	25	4	18	1	0	0	8	4					
		3.02%	2.29%	0.00%	4.49%	3.30%	3.19%	2.23%	3.85%	0.00%	4.74%	2.30%	1.41%	6.22%	0.00%	4.07%	2.44%	2.02%	6.06%	1.92%	0.00%	0.00%	4.49%	2.82%					
23	. Харитонов Николай Михайлович	857	14	20	43	50	45	69	18	8	2	109	34	44	3	101	157	38	45	1	8	11	26	11					
		12.75%	6.42%	12.05%	10.72%	15.02%	11.97%	19.27%	13.85%	10.13%	1.05%	12.51%	12.01%	21.05%	4.55%	10.81%	15.33%	19.19%	15.15%	1.92%	7.69%	9.91%	14.61%	7.75%					
																													
24	Против всех	83	1	2	2	3	2	8	0	0	2	6	2	1	0	27	16	1	2	0	1	3	4	0					
		1.24%	0.46%	1.20%	0.50%	0.90%	0.53%	2.23%	0.00%	0.00%	1.05%	0.69%	0.71%	0.48%	0.00%	2.89%	1.56%	0.51%	0.67%	0.00%	0.96%	2.70%	2.25%	0.00%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
