Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    район Метрогородок 																							
																							
Итоги голосования 																							
																							
		Сумма	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №3086	УИК №3087	УИК №3088	УИК №3089	УИК №3090	УИК  3214					
1	"Число избирателей, внесенных в список"	24200	1783	2680	2544	2285	2964	2121	2049	2048	2638	2252	247	24	254	98	77	136					
2	Число полученных избирательных бюллетеней	22388	1560	2450	2300	2030	2680	2320	1860	1840	2370	2040	300	30	304	90	79	135					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13245	905	1354	1463	1297	1597	1189	1115	1119	1358	1116	224	24	236	82	77	89					
5	"Число избирательных бюллетеней, выданных вне помещения"	378	26	65	26	15	55	63	24	20	43	41	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	8765	629	1031	811	718	1028	1068	721	701	969	883	76	6	68	8	2	46					
7	Число избирательных бюллетеней в переносных ящиках	378	26	65	26	15	55	63	24	20	43	41	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	13161	902	1351	1437	1297	1597	1189	1107	1119	1317	1114	224	24	235	82	77	89					
9	Число недействительных избирательных бюллетеней	88	5	10	20	6	16	0	3	7	9	6	1	0	2	3	0	0					
10	Число действительных избирательных бюллетеней	13451	923	1406	1443	1306	1636	1252	1128	1132	1351	1149	223	24	233	79	77	89					
11	Число полученных открепительных  удостоверений	510	50	50	50	50	60	50	50	50	50	50	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	311	20	31	39	29	56	45	23	24	22	22	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	605	36	13	26	66	14	43	14	25	20	21	224	6	13	82	0	2					
14	Число неиспользованных открепительных удостоверений	199	30	19	11	21	4	5	27	26	28	28	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	769	45	88	71	76	94	80	69	62	75	79	13	2	9	4	1	1					
		5.68%	4.85%	6.21%	4.85%	5.79%	5.69%	6.39%	6.10%	5.44%	5.51%	6.84%	5.80%	8.33%	3.83%	4.88%	1.30%	1.12%					
19	. Малышкин Олег Александрович	143	7	13	26	15	8	8	10	15	19	15	1	0	3	0	1	2					
		1.06%	0.75%	0.92%	1.78%	1.14%	0.48%	0.64%	0.88%	1.32%	1.40%	1.30%	0.45%	0.00%	1.28%	0.00%	1.30%	2.25%					
20	. Миронов Сергей Михайлович	72	4	4	4	6	18	7	6	8	6	7	0	0	1	0	1	0					
		0.53%	0.43%	0.28%	0.27%	0.46%	1.09%	0.56%	0.53%	0.70%	0.44%	0.61%	0.00%	0.00%	0.43%	0.00%	1.30%	0.00%					
21	. Путин Владимир Владимирович	9810	678	1040	1091	918	1192	930	819	824	989	794	161	13	167	56	69	69					
		72.46%	73.06%	73.45%	74.57%	69.97%	72.15%	74.28%	72.41%	72.34%	72.72%	68.74%	71.88%	54.17%	71.06%	68.29%	89.61%	77.53%					
22	. Хакамада Ирина Муцуовна	912	66	82	77	106	112	76	78	64	99	117	16	2	7	2	1	7					
		6.74%	7.11%	5.79%	5.26%	8.08%	6.78%	6.07%	6.90%	5.62%	7.28%	10.13%	7.14%	8.33%	2.98%	2.44%	1.30%	7.87%					
23	. Харитонов Николай Михайлович	937	70	87	99	101	90	81	85	89	94	70	20	6	33	8	4	0					
		6.92%	7.54%	6.14%	6.77%	7.70%	5.45%	6.47%	7.52%	7.81%	6.91%	6.06%	8.93%	25.00%	14.04%	9.76%	5.19%	0.00%					
																							
24	Против всех	808	53	92	75	84	122	70	61	70	69	67	12	1	13	9	0	10					
		5.97%	5.71%	6.50%	5.13%	6.40%	7.38%	5.59%	5.39%	6.15%	5.07%	5.80%	5.36%	4.17%	5.53%	10.98%	0.00%	11.24%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
