Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Балтайская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334					
1	"Число избирателей, внесенных в список"	10189	1518	1574	647	574	133	1008	296	66	156	176	458	1195	451	115	627	1127	68					
2	Число полученных избирательных бюллетеней	10317	1520	1585	659	578	132	1015	297	66	157	177	473	1205	457	117	645	1165	69					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7550	987	1082	511	483	123	804	178	64	132	155	264	876	383	115	503	835	55					
5	"Число избирательных бюллетеней, выданных вне помещения"	1108	99	112	84	51	8	154	87	0	19	18	152	105	41	0	69	98	11					
6	Число погашенных избирательных бюллетеней	1659	434	391	64	44	1	57	32	2	6	4	57	224	33	2	73	232	3					
7	Число избирательных бюллетеней в переносных ящиках	1108	99	112	84	51	8	154	87	0	19	18	152	105	41	0	69	98	11					
8	Число бюллетеней в стационарных ящиках для голосования	7546	987	1078	511	483	123	804	178	64	132	155	264	876	383	115	503	835	55					
9	Число недействительных избирательных бюллетеней	89	12	15	3	2	0	3	2	0	7	0	11	8	12	0	3	11	0					
10	Число действительных избирательных бюллетеней	8565	1074	1175	592	532	131	955	263	64	144	173	405	973	412	115	569	922	66					
11	Число полученных открепительных  удостоверений	199	29	20	10	10	5	10	5	5	5	5	10	20	10	5	15	30	5					
12	Число выданных открепительных удостоверений	140	25	16	10	6	0	10	0	0	0	0	9	18	3	0	15	28	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	36	11	2	1	2	1	4	0	2	1	1	1	4	0	1	1	3	1					
14	Число неиспользованных открепительных удостоверений	59	4	4	0	4	5	0	5	5	5	5	1	2	7	5	0	2	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	186	23	31	23	5	1	13	0	1	10	1	5	42	8	1	5	17	0					
		2.15%	2.12%	2.61%	3.87%	0.94%	0.76%	1.36%	0.00%	1.56%	6.62%	0.58%	1.20%	4.28%	1.89%	0.87%	0.87%	1.82%	0.00%					
19	. Малышкин Олег Александрович	220	33	31	15	8	7	16	5	4	3	6	12	31	11	1	16	19	2					
		2.54%	3.04%	2.61%	2.52%	1.50%	5.34%	1.67%	1.89%	6.25%	1.99%	3.47%	2.88%	3.16%	2.59%	0.87%	2.80%	2.04%	3.03%					
20	. Миронов Сергей Михайлович	31	4	1	3	2	2	1	0	2	0	0	1	1	3	0	2	8	1					
		0.36%	0.37%	0.08%	0.50%	0.37%	1.53%	0.10%	0.00%	3.12%	0.00%	0.00%	0.24%	0.10%	0.71%	0.00%	0.35%	0.86%	1.52%					
21	. Путин Владимир Владимирович	6315	721	794	413	427	93	862	195	49	76	147	298	643	312	88	475	684	38					
		72.97%	66.39%	66.72%	69.41%	79.96%	70.99%	89.98%	73.58%	76.56%	50.33%	84.97%	71.63%	65.55%	73.58%	76.52%	83.04%	73.31%	57.58%					
22	. Хакамада Ирина Муцуовна	96	7	16	14	3	0	10	3	2	2	1	3	12	5	4	6	8	0					
		1.11%	0.64%	1.34%	2.35%	0.56%	0.00%	1.04%	1.13%	3.12%	1.32%	0.58%	0.72%	1.22%	1.18%	3.48%	1.05%	0.86%	0.00%					
23	. Харитонов Николай Михайлович	1583	266	277	119	84	27	42	60	5	52	12	80	226	70	11	53	175	24					
		18.29%	24.49%	23.28%	20.00%	15.73%	20.61%	4.38%	22.64%	7.81%	34.44%	6.94%	19.23%	23.04%	16.51%	9.57%	9.27%	18.76%	36.36%					
																								
24	Против всех	134	20	25	5	3	1	11	0	1	1	6	6	18	3	10	12	11	1					
		1.55%	1.84%	2.10%	0.84%	0.56%	0.76%	1.15%	0.00%	1.56%	0.66%	3.47%	1.44%	1.83%	0.71%	8.70%	2.10%	1.18%	1.52%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
