Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Октябрьская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК  276	УИК  277	УИК  278	УИК  279	УИК  280	УИК  281	УИК  282	УИК  283	УИК  284	УИК  285	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291	УИК  292	УИК  293	УИК  294	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  304	УИК  305	УИК  306	УИК  307	УИК  308	УИК  309	УИК  310	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  2483	УИК  2484	УИК  2506	УИК  2507					
1	"Число избирателей, внесенных в список"	56618	906	1184	738	1060	162	294	368	207	1881	1315	320	742	156	287	1265	200	1330	1407	1454	465	932	184	800	1208	2089	922	99	1237	473	2750	1040	2425	298	821	1420	2254	2185	2653	831	2360	2651	1526	2879	2707	1556	318	308	1062	889					
2	Число полученных избирательных бюллетеней	57090	917	1175	721	1084	161	305	379	210	2018	1333	319	740	166	287	1337	201	1343	1486	1488	468	955	191	794	1218	2140	942	99	1247	477	2763	1045	2421	314	820	1436	2212	2138	2494	838	2511	2652	1520	2906	2665	1562	320	318	1067	887					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	50277	746	1094	690	955	160	245	272	202	1816	1298	197	659	108	224	1229	186	1023	1333	1420	422	873	183	699	1076	1791	750	98	1194	437	2610	978	2265	206	762	1412	2051	1965	2413	784	1901	2439	1161	2166	2510	948	311	288	943	784					
5	"Число избирательных бюллетеней, выданных вне помещения"	3202	99	76	31	35	0	43	88	3	22	3	120	79	45	62	36	10	196	63	20	39	50	0	81	116	122	97	0	12	34	95	48	133	90	58	6	6	24	16	28	274	0	76	142	140	332	4	14	107	27					
6	Число погашенных избирательных бюллетеней	3611	72	5	0	94	1	17	19	5	180	32	2	2	13	1	72	5	124	90	48	7	32	8	14	26	227	95	1	41	6	58	19	23	18	0	18	155	149	65	26	336	213	283	598	15	282	5	16	17	76					
7	Число избирательных бюллетеней в переносных ящиках	3202	99	76	31	35	0	43	88	3	22	3	120	79	45	62	36	10	196	63	20	39	50	0	81	116	122	97	0	12	34	95	48	133	90	58	6	6	24	16	28	274	0	76	142	140	332	4	14	107	27					
8	Число бюллетеней в стационарных ящиках для голосования	50277	746	1094	690	955	160	245	272	202	1816	1298	197	659	108	224	1229	186	1023	1333	1420	422	873	183	699	1076	1791	750	98	1194	437	2610	978	2265	206	762	1412	2051	1965	2413	784	1901	2439	1161	2166	2510	948	311	288	943	784					
9	Число недействительных избирательных бюллетеней	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	53468	845	1170	721	990	160	288	360	205	1838	1301	317	738	153	286	1265	196	1219	1396	1440	461	923	183	780	1192	1913	847	98	1206	471	2700	1026	2398	296	820	1418	2057	1989	2429	812	2175	2439	1231	2308	2650	1280	315	302	1050	811					
