Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Суражская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071					
1	"Число избирателей, внесенных в список"	20971	1120	1220	1110	1170	1191	1177	1114	1282	118	232	179	382	694	363	224	406	217	503	388	441	227	454	440	214	683	126	561	369	672	830	451	344	508	629	449	331	152					
2	Число полученных избирательных бюллетеней	20887	1110	1220	1110	1180	1180	1170	1110	1280	120	230	170	380	690	350	220	400	220	510	380	440	220	450	450	210	700	120	550	370	670	820	450	350	510	630	450	330	137					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11104	596	635	598	692	557	586	602	706	72	127	103	164	380	214	86	200	160	254	192	221	111	218	214	80	338	64	391	212	398	486	200	209	222	288	212	200	116					
5	"Число избирательных бюллетеней, выданных вне помещения"	2284	32	27	42	25	33	43	22	33	20	17	7	114	38	22	60	79	23	129	101	63	53	140	113	80	149	25	37	52	82	60	113	21	128	156	67	69	9					
6	Число погашенных избирательных бюллетеней	7499	482	558	470	463	590	541	486	541	28	86	60	102	272	114	74	121	37	127	87	156	56	92	123	50	213	31	122	106	190	274	137	120	160	186	171	61	12					
7	Число избирательных бюллетеней в переносных ящиках	2284	32	27	42	25	33	43	22	33	20	17	7	114	38	22	60	79	23	129	101	63	53	140	113	80	149	25	37	52	82	60	113	21	128	156	67	69	9					
8	Число бюллетеней в стационарных ящиках для голосования	11104	596	635	598	692	557	586	602	706	72	127	103	164	380	214	86	200	160	254	192	221	111	218	214	80	338	64	391	212	398	486	200	209	222	288	212	200	116					
9	Число недействительных избирательных бюллетеней	148	5	6	0	2	8	8	11	13	0	2	1	4	8	3	1	1	0	1	5	1	1	4	4	2	9	0	3	4	3	7	8	4	6	1	4	7	1					
10	Число действительных избирательных бюллетеней	13240	623	656	640	715	582	621	613	726	92	142	109	274	410	233	145	278	183	382	288	283	163	354	323	158	478	89	425	260	477	539	305	226	344	443	275	262	124					
