Выборы Президента Российской Федерации													
													
Наименование Избирательной комиссии:    Чеди-Хольская													
													
Итоги голосования 													
													
		Сумма	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175					
1	"Число избирателей, внесенных в список"	4464	2185	677	571	122	167	742					
2	Число полученных избирательных бюллетеней	4465	2170	643	578	118	163	793					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3034	1306	459	486	101	136	546					
5	"Число избирательных бюллетеней, выданных вне помещения"	392	159	103	32	13	17	68					
6	Число погашенных избирательных бюллетеней	1039	705	81	60	4	10	179					
7	Число избирательных бюллетеней в переносных ящиках	392	159	103	32	13	17	68					
8	Число бюллетеней в стационарных ящиках для голосования	3034	1306	459	486	101	136	546					
9	Число недействительных избирательных бюллетеней	35	12	10	3	0	0	10					
10	Число действительных избирательных бюллетеней	3391	1453	552	515	114	153	604					
11	Число полученных открепительных  удостоверений	98	40	14	14	5	5	20					
12	Число выданных открепительных удостоверений	50	26	10	0	4	4	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	31	8	3	4	5	3	8					
14	Число неиспользованных открепительных удостоверений	48	14	4	14	1	1	14					
15	"Число открепительных удостоверений, выданных в ТИК"	2	2	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"													
18	. Глазьев Сергей Юрьевич	30	23	5	2	0	0	0					
		0.88%	1.57%	0.89%	0.39%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	25	16	4	2	1	1	1					
		0.73%	1.09%	0.71%	0.39%	0.88%	0.65%	0.16%					
20	. Миронов Сергей Михайлович	7	4	1	1	0	0	1					
		0.20%	0.27%	0.18%	0.19%	0.00%	0.00%	0.16%					
21	. Путин Владимир Владимирович	3058	1230	485	497	112	144	590					
		89.26%	83.96%	86.30%	95.95%	98.25%	94.12%	96.09%					
22	. Хакамада Ирина Муцуовна	80	54	13	4	1	2	6					
		2.34%	3.69%	2.31%	0.77%	0.88%	1.31%	0.98%					
23	. Харитонов Николай Михайлович	165	108	38	8	0	5	6					
		4.82%	7.37%	6.76%	1.54%	0.00%	3.27%	0.98%					
													
24	Против всех	26	18	6	1	0	1	0					
		0.76%	1.23%	1.07%	0.19%	0.00%	0.65%	0.00%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
