Выборы Президента Российской Федерации																	
																	
Наименование Избирательной комиссии:    Знаменская 																	
																	
Итоги голосования 																	
																	
		Сумма	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124					
1	"Число избирателей, внесенных в список"	25782	2638	2469	2547	2642	2597	2713	2523	2733	2840	2080					
2	Число полученных избирательных бюллетеней	23400	2450	2290	2130	2420	2340	2450	2250	2500	2570	2000					
3	"Число избирательных бюллетеней, выданных  досрочно"	910	70	0	184	109	0	230	29	0	0	288					
4	"Число избирательных бюллетеней, выданных в день голосования"	16090	1840	1823	1391	1465	1571	1613	1629	1816	1791	1151					
5	"Число избирательных бюллетеней, выданных вне помещения"	445	23	17	199	67	25	48	19	12	4	31					
6	Число погашенных избирательных бюллетеней	5955	517	450	356	779	744	559	573	672	775	530					
7	Число избирательных бюллетеней в переносных ящиках	1355	93	17	383	176	25	278	48	12	4	319					
8	Число бюллетеней в стационарных ящиках для голосования	16040	1840	1822	1391	1424	1566	1612	1629	1814	1791	1151					
9	Число недействительных избирательных бюллетеней	117	14	7	16	6	10	12	32	8	7	5					
10	Число действительных избирательных бюллетеней	17278	1919	1832	1758	1594	1581	1878	1645	1818	1788	1465					
11	Число полученных открепительных  удостоверений	775	80	70	70	70	85	70	70	85	85	90					
12	Число выданных открепительных удостоверений	451	72	43	45	38	28	47	26	35	32	85					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	260	6	9	165	9	12	10	3	10	12	24					
14	Число неиспользованных открепительных удостоверений	324	8	27	25	32	57	23	44	50	53	5					
15	"Число открепительных удостоверений, выданных в ТИК"	17	0	8	1	1	2	2	1	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																	
18	. Глазьев Сергей Юрьевич	615	57	73	47	52	73	67	75	97	58	16					
		3.54%	2.95%	3.97%	2.65%	3.25%	4.59%	3.54%	4.47%	5.31%	3.23%	1.09%					
19	. Малышкин Олег Александрович	519	51	47	65	49	42	64	47	50	61	43					
		2.98%	2.64%	2.56%	3.66%	3.06%	2.64%	3.39%	2.80%	2.74%	3.40%	2.93%					
20	. Миронов Сергей Михайлович	127	9	7	23	13	11	17	10	13	12	12					
		0.73%	0.47%	0.38%	1.30%	0.81%	0.69%	0.90%	0.60%	0.71%	0.67%	0.82%					
21	. Путин Владимир Владимирович	12535	1411	1308	1302	1142	1077	1341	1191	1266	1256	1241					
		72.06%	73.00%	71.13%	73.39%	71.38%	67.69%	70.95%	71.02%	69.33%	69.97%	84.42%					
22	. Хакамада Ирина Муцуовна	524	61	63	52	44	49	51	57	63	62	22					
		3.01%	3.16%	3.43%	2.93%	2.75%	3.08%	2.70%	3.40%	3.45%	3.45%	1.50%					
23	. Харитонов Николай Михайлович	2046	240	230	181	228	226	251	184	209	218	79					
		11.76%	12.42%	12.51%	10.20%	14.25%	14.20%	13.28%	10.97%	11.45%	12.14%	5.37%					
																	
24	Против всех	912	90	104	88	66	103	87	81	120	121	52					
		5.24%	4.66%	5.66%	4.96%	4.12%	6.47%	4.60%	4.83%	6.57%	6.74%	3.54%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
