Выборы Президента Российской Федерации																
																
Наименование Избирательной комиссии:    Сельцовская городская																
																
Итоги голосования 																
																
		Сумма	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949					
1	"Число избирателей, внесенных в список"	15985	2532	2452	2630	2483	628	1585	1802	1600	273					
2	Число полученных избирательных бюллетеней	16000	2520	2420	2640	2520	650	1600	1800	1580	270					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8539	1389	1385	1560	1284	422	798	868	704	129					
5	"Число избирательных бюллетеней, выданных вне помещения"	565	84	45	48	96	5	89	106	64	28					
6	Число погашенных избирательных бюллетеней	6896	1047	990	1032	1140	223	713	826	812	113					
7	Число избирательных бюллетеней в переносных ящиках	565	84	45	48	96	5	89	106	64	28					
8	Число бюллетеней в стационарных ящиках для голосования	8538	1389	1384	1560	1284	422	798	868	704	129					
9	Число недействительных избирательных бюллетеней	59	21	11	3	8	4	4	0	7	1					
10	Число действительных избирательных бюллетеней	9044	1452	1418	1605	1372	423	883	974	761	156					
11	Число полученных открепительных  удостоверений	298	38	40	40	40	20	35	35	35	15					
12	Число выданных открепительных удостоверений	108	32	11	23	18	2	8	5	6	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	68	6	13	5	11	4	7	7	8	7					
14	Число неиспользованных открепительных удостоверений	190	6	29	17	22	18	27	30	29	12					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	1	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																
18	. Глазьев Сергей Юрьевич	457	58	86	68	99	40	41	26	28	11					
		5.02%	3.94%	6.02%	4.23%	7.17%	9.37%	4.62%	2.67%	3.65%	7.01%					
19	. Малышкин Олег Александрович	139	29	17	30	5	3	18	19	15	3					
		1.53%	1.97%	1.19%	1.87%	0.36%	0.70%	2.03%	1.95%	1.95%	1.91%					
20	. Миронов Сергей Михайлович	75	21	9	11	12	2	5	6	6	3					
		0.82%	1.43%	0.63%	0.68%	0.87%	0.47%	0.56%	0.62%	0.78%	1.91%					
21	. Путин Владимир Владимирович	5854	958	941	1035	868	251	521	635	548	97					
		64.31%	65.04%	65.85%	64.37%	62.90%	58.78%	58.74%	65.20%	71.35%	61.78%					
22	. Хакамада Ирина Муцуовна	238	27	31	52	39	10	31	17	27	4					
		2.61%	1.83%	2.17%	3.23%	2.83%	2.34%	3.49%	1.75%	3.52%	2.55%					
23	. Харитонов Николай Михайлович	1946	291	287	343	303	95	237	236	119	35					
		21.38%	19.76%	20.08%	21.33%	21.96%	22.25%	26.72%	24.23%	15.49%	22.29%					
																
24	Против всех	335	68	47	66	46	22	30	35	18	3					
		3.68%	4.62%	3.29%	4.10%	3.33%	5.15%	3.38%	3.59%	2.34%	1.91%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
